Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,0.98,1.0,0.972,0.98,16962
2024-12-03 05:00:00+00:00,0.96,0.9799,0.96,0.9752,8377
2024-12-04 05:00:00+00:00,0.98,0.9902,0.9447,0.9849,16721
2024-12-05 05:00:00+00:00,0.99,0.99,0.9014,0.9014,11866
2024-12-06 05:00:00+00:00,0.9199,0.9199,0.82,0.8704,36625
2024-12-09 05:00:00+00:00,0.88,0.88,0.8201,0.8201,9948
2024-12-10 05:00:00+00:00,0.83,0.858,0.82,0.84,10269
2024-12-11 05:00:00+00:00,0.85,0.87,0.8301,0.8683,4135
2024-12-12 05:00:00+00:00,0.89,0.89,0.8503,0.88,8616
2024-12-13 05:00:00+00:00,0.8881,0.9178,0.8525,0.89,12413
2024-12-16 05:00:00+00:00,0.89,0.9099,0.88,0.8991,9989
2024-12-17 05:00:00+00:00,0.9095,0.9198,0.856,0.86,13557
2024-12-18 05:00:00+00:00,0.86,0.86,0.8022,0.81,27618
2024-12-19 05:00:00+00:00,0.802,0.84,0.7,0.829,48524
2024-12-20 05:00:00+00:00,0.849,0.86,0.8101,0.84,12096
2024-12-23 05:00:00+00:00,0.849,0.849,0.7887,0.8101,8385
2024-12-24 05:00:00+00:00,0.8446,0.8446,0.79,0.79,3223
2024-12-26 05:00:00+00:00,0.8,0.838,0.7613,0.7801,51372
2024-12-27 05:00:00+00:00,0.78,0.78,0.74,0.7626,29728
2024-12-30 05:00:00+00:00,0.76,0.85,0.725,0.85,52066
2024-12-31 05:00:00+00:00,0.85,0.86,0.8127,0.846,18083
2025-01-02 05:00:00+00:00,0.832,0.9054,0.82,0.88,17613
2025-01-03 05:00:00+00:00,0.88,0.91,0.88,0.8999,23090
2025-01-06 05:00:00+00:00,0.9,0.94,0.9,0.9399,33567
2025-01-07 05:00:00+00:00,0.92,0.96,0.92,0.9441,19383
2025-01-08 05:00:00+00:00,0.95,0.9792,0.9205,0.9791,24448
2025-01-10 05:00:00+00:00,0.8792,0.9791,0.8792,0.9462,20972
2025-01-13 05:00:00+00:00,0.92,0.94,0.8851,0.94,13616
2025-01-14 05:00:00+00:00,0.9014,0.9299,0.9,0.92,13812
2025-01-15 05:00:00+00:00,0.91,1.03,0.91,1.03,84202
2025-01-16 05:00:00+00:00,1.04,1.04,0.97,0.99,11111
2025-01-17 05:00:00+00:00,0.995,0.995,0.92,0.95,9006
2025-01-21 05:00:00+00:00,0.971,1.0198,0.935,0.94,6962
2025-01-22 05:00:00+00:00,0.949,0.96,0.8888,0.8888,8867
2025-01-23 05:00:00+00:00,0.9,0.9229,0.89,0.9128,2815
