Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,15.81,15.82,15.51,15.6,922107.0
2025-11-04 05:00:00+00:00,15.54,15.78,15.53,15.64,537433.0
2025-11-05 05:00:00+00:00,15.62,15.79,15.62,15.74,417901.0
2025-11-06 05:00:00+00:00,15.68,15.85,15.68,15.69,424201.0
2025-11-07 05:00:00+00:00,15.7,15.78,15.41,15.52,539570.0
2025-11-10 05:00:00+00:00,15.52,15.6,15.39,15.54,500034.0
2025-11-11 05:00:00+00:00,15.53,15.84,15.52,15.84,364152.0
2025-11-12 05:00:00+00:00,15.78,16.0,15.72,15.85,735849.0
2025-11-13 05:00:00+00:00,15.8,16.03,15.75,16.02,365294.0
2025-11-14 05:00:00+00:00,16.04,16.145,15.7909,15.91,344505.0
2025-11-17 05:00:00+00:00,15.94,15.95,15.655,15.67,407025.0
2025-11-18 05:00:00+00:00,15.7,15.775,15.62,15.74,262593.0
2025-11-19 05:00:00+00:00,15.7,15.7,15.4,15.46,295142.0
2025-11-20 05:00:00+00:00,15.53,15.585,15.3359,15.42,419659.0
2025-11-21 05:00:00+00:00,15.53,15.76,15.46,15.66,360128.0
2025-11-24 05:00:00+00:00,15.62,15.625,15.4545,15.54,417763.0
2025-11-25 05:00:00+00:00,15.6,15.84,15.57,15.62,518605.0
2025-11-26 05:00:00+00:00,15.57,15.81,15.57,15.6,717126.0
2025-11-28 05:00:00+00:00,15.66,15.69,15.53,15.63,160216.0
2025-12-01 05:00:00+00:00,15.51,15.615,15.45,15.55,503189.0
2025-12-02 05:00:00+00:00,15.62,15.65,15.38,15.44,401755.0
2025-12-03 05:00:00+00:00,15.51,15.54,15.355,15.41,518700.0
2025-12-04 05:00:00+00:00,15.4,15.505,15.26,15.31,449094.0
2025-12-05 05:00:00+00:00,15.26,15.39,15.22,15.22,467400.0
2025-12-08 05:00:00+00:00,15.23,15.23,15.07,15.14,728437.0
2025-12-09 05:00:00+00:00,20.92,20.97,20.85,20.85,12375428.0
2025-12-10 05:00:00+00:00,20.85,20.9355,20.85,20.86,4173343.0
2025-12-11 05:00:00+00:00,20.86,20.92,20.86,20.92,1826799.0
2025-12-12 05:00:00+00:00,20.9,20.97,20.88,20.93,1574334.0
2025-12-15 05:00:00+00:00,20.94,21.02,20.93,20.96,1802450.0
2025-12-16 05:00:00+00:00,20.98,21.03,20.95,20.98,983535.0
2025-12-17 05:00:00+00:00,20.97,20.99,20.92,20.94,980994.0
2025-12-18 05:00:00+00:00,20.95,20.955,20.9,20.93,1317435.0
2025-12-19 05:00:00+00:00,20.63,20.64,20.57,20.64,2101515.0
2025-12-22 05:00:00+00:00,20.64,20.68,20.62,20.67,910155.0
2025-12-23 05:00:00+00:00,20.67,20.68,20.6,20.61,748274.0
2025-12-24 05:00:00+00:00,20.63,20.68,20.63,20.65,314682.0
2025-12-26 05:00:00+00:00,20.66,20.67,20.63,20.66,351945.0
2025-12-29 05:00:00+00:00,20.68,20.735,20.67,20.72,567499.0
2025-12-30 05:00:00+00:00,20.73,20.73,20.62,20.63,522676.0
2025-12-31 05:00:00+00:00,20.65,20.68,20.63,20.64,422110.0
