Date,Open,High,Low,Close,Volume
2026-02-03 05:00:00+00:00,0.2501,0.38,0.2501,0.299,17891.0
2026-02-04 05:00:00+00:00,0.5,0.5,0.245,0.251,14162.0
2026-02-05 05:00:00+00:00,0.3,0.3,0.2301,0.25,30043.0
2026-02-06 05:00:00+00:00,0.24,0.26,0.22,0.25,46373.0
2026-02-09 05:00:00+00:00,0.25,0.25,0.1806,0.25,11582.0
2026-02-10 05:00:00+00:00,0.2636,0.2775,0.25,0.25,6028.0
2026-02-11 05:00:00+00:00,0.25,0.25,0.2332,0.24,4428.0
2026-02-12 05:00:00+00:00,0.15,0.19,0.15,0.19,223.0
2026-02-13 05:00:00+00:00,0.19,0.19,0.175,0.175,10536.0
2026-02-17 05:00:00+00:00,0.2297,0.3,0.2297,0.3,7044.0
2026-02-18 05:00:00+00:00,0.33,0.35,0.2607,0.2607,13685.0
2026-02-19 05:00:00+00:00,0.28,0.28,0.25,0.25,4122.0
2026-02-20 05:00:00+00:00,0.33,0.33,0.29,0.29,5835.0
2026-02-23 05:00:00+00:00,0.3,0.3,0.24,0.24,5455.0
2026-02-24 05:00:00+00:00,0.2301,0.235,0.1996,0.235,3711.0
2026-02-25 05:00:00+00:00,0.235,0.24,0.235,0.24,4030.121233
2026-02-26 05:00:00+00:00,0.24,0.25,0.2252,0.2252,4108.0
2026-02-27 05:00:00+00:00,0.28,0.28,0.2498,0.25,5941.0
