Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,7.229,7.38,6.639,6.803,51735.9
2025-11-04 05:00:00+00:00,6.449,7.184,6.156,6.306,69529.3
2025-11-05 05:00:00+00:00,5.985,6.386,5.8,5.9,77643.5
2025-11-06 05:00:00+00:00,6.091,6.1,5.544,5.644,42548.0
2025-11-07 05:00:00+00:00,5.543,6.138,5.5,6.125,54908.4
2025-11-10 05:00:00+00:00,6.45,6.47,5.811,5.998,47534.6
2025-11-11 05:00:00+00:00,5.91,6.16,5.6,5.887,33849.6
2025-11-12 05:00:00+00:00,5.847,5.978,5.423,5.429,61188.6
2025-11-13 05:00:00+00:00,5.4,5.475,4.5,4.855,140081.9
2025-11-14 05:00:00+00:00,4.57,4.935,4.545,4.63,83062.7
2025-11-17 05:00:00+00:00,4.7,5.05,4.552,4.687,57006.0
2025-11-18 05:00:00+00:00,4.75,5.056,4.622,4.973,44958.5
2025-11-19 05:00:00+00:00,4.89,5.089,4.55,4.554,24751.8
2025-11-20 05:00:00+00:00,4.6,4.942,4.36,4.36,52376.6
2025-11-21 05:00:00+00:00,4.4,4.84,4.21,4.51,54252.9
2025-11-24 05:00:00+00:00,4.44,4.72,4.401,4.64,37535.2
2025-11-25 05:00:00+00:00,4.555,4.879,4.481,4.651,49174.0
2025-11-26 05:00:00+00:00,4.784,5.23,4.702,5.069,52215.2
2025-11-28 05:00:00+00:00,5.23,5.34,5.1,5.261,13949.9
2025-12-01 05:00:00+00:00,4.957,5.177,4.72,4.733,39037.5
2025-12-02 05:00:00+00:00,5.001,5.099,4.85,4.85,22143.0
2025-12-03 05:00:00+00:00,4.9,5.049,4.643,4.944,28378.8
2025-12-04 05:00:00+00:00,4.98,5.246,4.902,4.902,39697.5
2025-12-05 05:00:00+00:00,4.8,4.995,4.761,4.817,24931.4
2025-12-08 05:00:00+00:00,4.9,4.947,4.6,4.6,21119.2
2025-12-09 05:00:00+00:00,4.68,4.8,4.549,4.651,56779.4
2025-12-10 05:00:00+00:00,4.55,4.998,4.5,4.903,36314.2
2025-12-11 05:00:00+00:00,4.81,4.9,4.674,4.712,15944.9
2025-12-12 05:00:00+00:00,4.7,4.775,4.3,4.3,43323.4
2025-12-15 05:00:00+00:00,4.3,4.352,4.0,4.0,59936.3
2025-12-16 05:00:00+00:00,4.0,4.345,4.0,4.076,22801.0
2025-12-17 05:00:00+00:00,4.199,4.3,3.995,3.995,19117.4
2025-12-18 05:00:00+00:00,4.01,4.2,3.669,3.669,53684.7
2025-12-19 05:00:00+00:00,3.8,3.936,3.7,3.72,24327.5
2025-12-22 05:00:00+00:00,3.8,4.059,3.8,3.8,49265.5
2025-12-23 05:00:00+00:00,3.8,3.8,3.515,3.558,40442.2
2025-12-24 05:00:00+00:00,3.51,3.797,3.51,3.64,22458.3
2025-12-26 05:00:00+00:00,3.95,3.95,3.553,3.611,27713.8
2025-12-29 05:00:00+00:00,3.619,3.8,3.35,3.481,50477.4
2025-12-30 05:00:00+00:00,3.404,3.553,3.03,3.191,106854.8
2025-12-31 05:00:00+00:00,3.11,3.348,2.95,2.976,65401.9
