Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,34.82,34.89,33.89,33.98,92515
2024-12-03 05:00:00+00:00,33.93,34.03,33.5,33.98,114015
2024-12-04 05:00:00+00:00,33.95,34.73,33.84,33.98,70751
2024-12-05 05:00:00+00:00,34.0,34.46,33.7155,34.26,112732
2024-12-06 05:00:00+00:00,34.54,34.54,32.97,33.77,85028
2024-12-09 05:00:00+00:00,33.97,34.4,33.55,34.05,140409
2024-12-10 05:00:00+00:00,34.32,34.44,33.585,33.76,82129
2024-12-11 05:00:00+00:00,33.96,34.36,32.84,34.16,98150
2024-12-12 05:00:00+00:00,34.28,34.49,33.72,33.9,53427
2024-12-13 05:00:00+00:00,34.0,34.34,32.95,33.51,60121
2024-12-16 05:00:00+00:00,33.38,33.5924,33.1601,33.57,125008
2024-12-17 05:00:00+00:00,33.51,33.51,31.9,31.9,90850
2024-12-18 05:00:00+00:00,31.72,32.0425,29.64,30.05,134380
2024-12-19 05:00:00+00:00,30.44,30.67,29.75,30.47,155556
2024-12-20 05:00:00+00:00,30.32,31.6,30.32,31.37,166095
2024-12-23 05:00:00+00:00,31.36,31.73,30.46,31.13,85690
2024-12-24 05:00:00+00:00,31.84,31.84,30.78,31.16,24638
2024-12-26 05:00:00+00:00,31.25,31.4242,30.96,31.25,56671
2024-12-27 05:00:00+00:00,31.23,31.44,30.28,30.74,70327
2024-12-30 05:00:00+00:00,30.55,30.6,30.0101,30.51,48838
2024-12-31 05:00:00+00:00,29.58,31.39,29.58,30.67,52294
2025-01-02 05:00:00+00:00,31.04,31.3495,29.9,30.05,79476
2025-01-03 05:00:00+00:00,30.1,30.505,29.66,30.27,61762
2025-01-06 05:00:00+00:00,30.3,30.715,29.66,29.66,63454
2025-01-07 05:00:00+00:00,29.69,30.2968,28.825,29.33,106710
2025-01-08 05:00:00+00:00,29.25,29.79,28.8,29.74,81560
2025-01-10 05:00:00+00:00,29.45,29.45,28.38,28.8,117061
2025-01-13 05:00:00+00:00,28.6,29.4272,27.82,27.93,163631
2025-01-14 05:00:00+00:00,28.04,28.44,27.38,27.94,106193
2025-01-15 05:00:00+00:00,28.4,29.3,27.72,27.73,77302
2025-01-16 05:00:00+00:00,28.13,28.13,27.37,27.83,117314
2025-01-17 05:00:00+00:00,28.03,32.74,27.5,30.99,910858
2025-01-21 05:00:00+00:00,31.39,31.485,30.3765,30.83,148407
2025-01-22 05:00:00+00:00,30.69,30.69,29.79,29.84,120676
2025-01-23 05:00:00+00:00,29.76,30.31,28.985,29.52,95923
