Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,3.6,3.6,3.6,3.6,722
2025-11-07 05:00:00+00:00,3.3,3.58,3.21,3.55,9264
2025-11-10 05:00:00+00:00,3.6,3.6,3.6,3.6,950
2025-11-12 05:00:00+00:00,3.463,3.55,3.463,3.55,1748
2025-11-13 05:00:00+00:00,3.55,3.6,3.55,3.6,569
2025-11-17 05:00:00+00:00,3.4,3.6,3.4,3.6,1909
2025-11-19 05:00:00+00:00,3.54,3.54,3.54,3.54,778
2025-11-20 05:00:00+00:00,3.33,3.58,3.33,3.58,1948
2025-11-21 05:00:00+00:00,3.1101,3.52,3.1101,3.52,1310
2025-11-24 05:00:00+00:00,3.53,3.55,3.53,3.55,1154
2025-11-25 05:00:00+00:00,3.53,3.53,3.53,3.53,581
2025-11-26 05:00:00+00:00,3.31,3.53,3.27,3.5,1940
2025-12-03 05:00:00+00:00,3.31,3.499,3.31,3.499,1057
2025-12-04 05:00:00+00:00,3.46,3.48,3.46,3.48,1905
2025-12-08 05:00:00+00:00,3.19,3.48,2.9,3.48,1603
2025-12-09 05:00:00+00:00,3.2,3.45,3.2,3.45,2699
2025-12-16 05:00:00+00:00,3.06,3.4,3.06,3.39,1936
2025-12-18 05:00:00+00:00,3.4,3.4,3.4,3.4,428
2025-12-19 05:00:00+00:00,3.39,4.07,3.31,3.89,32484
2025-12-22 05:00:00+00:00,3.75,3.95,3.57,3.57,9786
2025-12-23 05:00:00+00:00,3.65,4.325,3.45,3.95,24355
2025-12-24 05:00:00+00:00,3.8,3.98,3.57,3.67,22535
2025-12-26 05:00:00+00:00,3.89,3.9,3.6,3.75,5491
2025-12-29 05:00:00+00:00,3.56,3.8,3.34,3.34,6148
2025-12-30 05:00:00+00:00,3.69,3.7,3.27,3.48,4642
2025-12-31 05:00:00+00:00,3.45,3.6,3.36,3.58,5289
