Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,3.501,3.62,2.922,2.922,65704.1
2025-03-04 05:00:00+00:00,2.8,2.98,2.514,2.706,49978.2
2025-03-05 05:00:00+00:00,2.625,2.87,2.625,2.652,29383.2
2025-03-06 05:00:00+00:00,2.85,2.87,2.245,2.499,74271.4
2025-03-07 05:00:00+00:00,2.424,2.695,2.2,2.475,40418.7
2025-03-10 04:00:00+00:00,2.6,2.665,2.351,2.47,30031.2
2025-03-11 04:00:00+00:00,2.5,2.6,2.341,2.55,13394.3
2025-03-12 04:00:00+00:00,2.49,2.66,2.47,2.511,23695.1
2025-03-13 04:00:00+00:00,2.517,2.601,2.4,2.46,17379.0
2025-03-14 04:00:00+00:00,2.521,2.609,2.321,2.56,13943.1
2025-03-17 04:00:00+00:00,2.41,2.662,2.4,2.588,4240.8
2025-03-18 04:00:00+00:00,2.41,2.588,2.4,2.584,4488.3
2025-03-19 04:00:00+00:00,2.417,2.666,2.417,2.511,7929.8
2025-03-20 04:00:00+00:00,2.533,3.28,2.5,2.813,95615.4
2025-03-21 04:00:00+00:00,2.745,2.855,2.551,2.578,32233.4
2025-03-24 04:00:00+00:00,2.65,2.865,2.6,2.792,17684.4
2025-03-25 04:00:00+00:00,2.71,2.988,2.7,2.878,13665.8
2025-03-26 04:00:00+00:00,2.71,2.888,2.558,2.565,17091.1
2025-03-27 04:00:00+00:00,2.511,2.558,2.303,2.466,23158.1
2025-03-28 04:00:00+00:00,2.4,2.494,2.029,2.29,79552.7
2025-03-31 04:00:00+00:00,2.27,2.27,1.922,2.04,25968.4
2025-04-01 04:00:00+00:00,1.979,2.426,1.943,2.201,57484.8
2025-04-02 04:00:00+00:00,2.069,2.2,1.94,1.94,23991.0
2025-04-03 04:00:00+00:00,1.94,2.14,1.75,1.876,185470.8
2025-04-04 04:00:00+00:00,2.02,2.02,1.46,1.68,144500.4
2025-04-07 04:00:00+00:00,1.545,1.77,1.495,1.743,58183.0
2025-04-08 04:00:00+00:00,1.94,2.085,1.6,1.72,88802.7
2025-04-09 04:00:00+00:00,1.668,1.87,1.616,1.87,26736.4
2025-04-10 04:00:00+00:00,1.81,1.81,1.701,1.79,6192.3
2025-04-11 04:00:00+00:00,1.79,2.05,1.684,2.03,39461.4
2025-04-14 04:00:00+00:00,2.11,2.4,2.0,2.37,125119.0
2025-04-15 04:00:00+00:00,2.364,2.65,2.25,2.579,1071114.3
2025-04-16 04:00:00+00:00,1.992,2.059,1.587,1.677,1913565.6
2025-04-17 04:00:00+00:00,1.461,1.53,1.25,1.405,323559.6
2025-04-21 04:00:00+00:00,1.45,1.45,1.102,1.24,113332.7
2025-04-22 04:00:00+00:00,1.185,1.492,1.163,1.31,132966.8
2025-04-23 04:00:00+00:00,1.322,1.465,1.322,1.439,32554.7
2025-04-24 04:00:00+00:00,1.51,1.575,1.32,1.473,102061.1
2025-04-25 04:00:00+00:00,1.47,1.72,1.47,1.576,88793.0
2025-04-28 04:00:00+00:00,1.532,1.579,1.322,1.54,38160.3
2025-04-29 04:00:00+00:00,1.494,1.684,1.48,1.584,100064.3
2025-04-30 04:00:00+00:00,1.55,1.573,1.426,1.494,73485.9
2025-05-01 04:00:00+00:00,1.45,2.244,1.45,2.058,1453290.9
2025-05-02 04:00:00+00:00,1.789,1.919,1.625,1.672,305690.9
2025-05-05 04:00:00+00:00,1.524,1.915,1.524,1.806,1943912.8
2025-05-06 04:00:00+00:00,3.587,3.863,1.812,1.896,17143395.1
2025-05-07 04:00:00+00:00,1.695,1.749,1.521,1.62,647113.5
2025-05-08 04:00:00+00:00,1.565,1.764,1.4,1.575,700208.9
2025-05-09 04:00:00+00:00,1.697,1.702,1.42,1.5,900307.8
2025-05-12 04:00:00+00:00,1.45,1.592,1.32,1.55,1149233.4
2025-05-13 04:00:00+00:00,1.465,1.548,1.355,1.416,1014782.3
2025-05-14 04:00:00+00:00,1.378,1.45,0.6,0.99,1640499.1
2025-05-15 04:00:00+00:00,0.845,1.3,0.845,1.166,1281073.8
2025-05-16 04:00:00+00:00,1.084,1.153,0.965,1.056,205284.4
2025-05-19 04:00:00+00:00,0.993,1.109,0.922,1.018,162218.1
2025-05-20 04:00:00+00:00,2.488,3.9,1.502,1.522,76310836.9
2025-05-21 04:00:00+00:00,1.41,1.5,1.217,1.299,1828635.0
2025-05-22 04:00:00+00:00,1.2,1.36,1.173,1.34,5558516.2
2025-05-23 04:00:00+00:00,2.5,2.592,1.814,2.1,39373349.4
2025-05-27 04:00:00+00:00,1.952,2.099,1.68,1.86,1667538.4
2025-05-28 04:00:00+00:00,1.859,1.86,1.523,1.595,759713.5
2025-05-29 04:00:00+00:00,1.5,1.551,1.35,1.476,440187.9
2025-05-30 04:00:00+00:00,1.397,1.46,1.347,1.396,354263.7
2025-06-02 04:00:00+00:00,1.451,1.488,1.38,1.445,353405.8
2025-06-03 04:00:00+00:00,1.398,1.83,1.398,1.674,4232475.7
2025-06-04 04:00:00+00:00,1.79,2.034,1.561,1.671,3349998.5
2025-06-05 04:00:00+00:00,1.555,1.8,1.553,1.749,671356.2
2025-06-06 04:00:00+00:00,1.636,1.672,1.59,1.62,554599.6
2025-06-09 04:00:00+00:00,1.68,1.725,1.59,1.68,336367.8
2025-06-10 04:00:00+00:00,1.6,1.805,1.6,1.75,768492.7
2025-06-11 04:00:00+00:00,1.627,1.753,1.627,1.67,366778.9
2025-06-12 04:00:00+00:00,1.66,1.66,1.551,1.59,296037.2
2025-06-13 04:00:00+00:00,1.567,1.568,1.422,1.56,303653.3
2025-06-16 04:00:00+00:00,1.589,1.589,1.465,1.515,139741.4
2025-06-17 04:00:00+00:00,1.45,1.522,1.431,1.482,128752.0
2025-06-18 04:00:00+00:00,1.571,1.68,1.479,1.56,394109.2
2025-06-20 04:00:00+00:00,1.6,1.64,1.451,1.567,2776561.6
2025-06-23 04:00:00+00:00,1.538,1.693,1.507,1.66,386772.2
2025-06-24 04:00:00+00:00,1.643,1.674,1.561,1.61,237823.3
2025-06-25 04:00:00+00:00,1.66,1.66,1.571,1.575,154671.9
2025-06-26 04:00:00+00:00,1.6,1.654,1.544,1.597,189318.3
2025-06-27 04:00:00+00:00,1.54,1.6,1.521,1.56,121641.4
2025-06-30 04:00:00+00:00,1.503,1.598,1.503,1.589,205339.1
2025-07-01 04:00:00+00:00,1.495,1.55,1.465,1.505,110614.6
2025-07-02 04:00:00+00:00,1.4,1.6,1.4,1.576,235831.4
2025-07-03 04:00:00+00:00,1.6,1.6,1.514,1.547,52173.3
2025-07-07 04:00:00+00:00,1.545,1.563,1.401,1.46,203477.7
2025-07-08 04:00:00+00:00,1.483,1.564,1.483,1.564,60458.2
2025-07-09 04:00:00+00:00,1.45,1.52,1.44,1.471,160366.4
2025-07-10 04:00:00+00:00,1.46,1.527,1.46,1.495,91171.1
2025-07-11 04:00:00+00:00,1.45,1.508,1.44,1.47,163418.8
2025-07-14 04:00:00+00:00,1.47,1.514,1.47,1.512,3990908.9
2025-07-15 04:00:00+00:00,2.97,3.023,1.931,2.127,31607040.6
2025-07-16 04:00:00+00:00,1.895,2.07,1.733,1.975,2225246.7
2025-07-17 04:00:00+00:00,2.084,2.2,1.997,2.094,775710.4
2025-07-18 04:00:00+00:00,1.962,2.16,1.923,1.948,413706.4
