Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,2.31,2.52,2.05,2.09,408793
2025-03-04 05:00:00+00:00,2.1104,2.1104,1.92,2.05,182725
2025-03-05 05:00:00+00:00,2.07,2.07,1.58,1.7,175340
2025-03-06 05:00:00+00:00,1.7,1.79,1.59,1.68,175898
2025-03-07 05:00:00+00:00,1.7,1.77,1.5,1.61,175477
2025-03-10 04:00:00+00:00,1.56,1.6,1.31,1.43,209337
2025-03-11 04:00:00+00:00,1.43,1.505,1.29,1.48,128249
2025-03-12 04:00:00+00:00,1.49,1.49,1.25,1.31,167584
2025-03-13 04:00:00+00:00,1.26,1.2665,0.8947,0.9875,153109
2025-03-14 04:00:00+00:00,1.0,1.14,1.0,1.13,150707
2025-03-17 04:00:00+00:00,1.13,1.24,1.0,1.1,192224
2025-03-18 04:00:00+00:00,1.11,1.1625,1.01,1.03,101203
2025-03-19 04:00:00+00:00,1.01,1.065,0.901,0.94,217892
2025-03-20 04:00:00+00:00,0.93,1.02,0.9,1.02,129532
2025-03-21 04:00:00+00:00,1.06,1.09,0.97,1.02,95314
2025-03-24 04:00:00+00:00,1.01,1.0459,0.958,1.01,111068
2025-03-25 04:00:00+00:00,1.0,1.01,0.95,0.97,124024
2025-03-26 04:00:00+00:00,0.9627,0.98,0.93,0.93,103114
2025-03-27 04:00:00+00:00,0.95,1.01,0.908,0.9806,102155
2025-03-28 04:00:00+00:00,0.9732,1.05,0.94,1.01,82467
2025-03-31 04:00:00+00:00,0.96,1.06,0.95,1.0,141081
2025-04-01 04:00:00+00:00,0.9833,1.0,0.9,0.9378,94460
2025-04-02 04:00:00+00:00,0.9,0.974,0.9,0.9542,83054
2025-04-03 04:00:00+00:00,0.963,1.0,0.9,0.9493,78215
2025-04-04 04:00:00+00:00,0.9208,0.9688,0.9023,0.9524,76211
2025-04-07 04:00:00+00:00,0.9041,1.12,0.7986,0.9905,135234
2025-04-08 04:00:00+00:00,1.09,1.1235,0.91,1.0,66166
2025-04-09 04:00:00+00:00,0.97,1.06,0.9257,1.06,131462
2025-04-10 04:00:00+00:00,1.04,1.08,0.99,1.04,68486
2025-04-11 04:00:00+00:00,1.05,1.09,0.97,1.01,63633
2025-04-14 04:00:00+00:00,1.02,1.26,0.97,1.25,79634
2025-04-15 04:00:00+00:00,1.27,1.27,1.12,1.18,90146
2025-04-16 04:00:00+00:00,1.21,1.21,1.07,1.13,60501
2025-04-17 04:00:00+00:00,1.12,1.13,1.02,1.04,72747
2025-04-21 04:00:00+00:00,1.06,1.14,1.0,1.14,65221
2025-04-22 04:00:00+00:00,1.18,1.22,1.0907,1.18,77012
2025-04-23 04:00:00+00:00,1.2,1.2,1.12,1.16,66843
2025-04-24 04:00:00+00:00,1.19,1.24,1.11,1.19,69342
2025-04-25 04:00:00+00:00,1.2,1.2,1.12,1.18,55111
2025-04-28 04:00:00+00:00,1.19,1.19,1.12,1.16,72182
2025-04-29 04:00:00+00:00,1.14,1.15,1.06,1.08,63245
2025-04-30 04:00:00+00:00,0.9879,1.2199,0.9879,1.21,74849
2025-05-01 04:00:00+00:00,1.17,1.2133,1.16,1.18,68542
2025-05-02 04:00:00+00:00,1.17,1.17,1.1198,1.16,52272
2025-05-05 04:00:00+00:00,1.1868,1.1868,1.14,1.16,55358
2025-05-06 04:00:00+00:00,1.08,1.16,1.08,1.115,36257
2025-05-07 04:00:00+00:00,1.1545,1.16,1.13,1.14,28270
2025-05-08 04:00:00+00:00,1.13,1.2,1.13,1.18,21774
2025-05-09 04:00:00+00:00,1.16,1.2,1.145,1.18,21580
2025-05-12 04:00:00+00:00,1.24,1.26,1.2,1.26,9895
2025-05-13 04:00:00+00:00,1.27,1.8,1.265,1.765,385507
2025-05-14 04:00:00+00:00,1.73,1.9086,1.68,1.69,64400
2025-05-15 04:00:00+00:00,1.62,1.855,1.52,1.57,93728
2025-05-16 04:00:00+00:00,1.55,1.66,1.4201,1.58,17685
2025-05-19 04:00:00+00:00,1.5,1.655,1.4386,1.55,12422
2025-05-20 04:00:00+00:00,1.53,1.77,1.48,1.67,30658
2025-05-21 04:00:00+00:00,1.63,1.7556,1.38,1.48,38302
2025-05-22 04:00:00+00:00,1.44,1.5582,1.43,1.43,17251
2025-05-23 04:00:00+00:00,1.4,1.61,1.37,1.41,43274
2025-05-27 04:00:00+00:00,1.38,1.43,1.257,1.32,47456
2025-05-28 04:00:00+00:00,1.33,1.335,1.16,1.22,53690
2025-05-29 04:00:00+00:00,1.1985,1.29,1.15,1.19,42980
2025-05-30 04:00:00+00:00,1.17,1.22,1.09,1.09,94957
2025-06-02 04:00:00+00:00,1.1,1.2899,1.06,1.17,54425
2025-06-03 04:00:00+00:00,1.2,1.35,1.11,1.27,59953
2025-06-04 04:00:00+00:00,1.305,1.4,1.1,1.2812,65542
2025-06-05 04:00:00+00:00,1.24,1.3847,1.19,1.19,37681
2025-06-06 04:00:00+00:00,1.21,1.32,1.161,1.29,21787
2025-06-09 04:00:00+00:00,1.31,1.4,1.26,1.39,28855
2025-06-10 04:00:00+00:00,1.36,1.62,1.36,1.57,17912
2025-06-11 04:00:00+00:00,1.75,1.77,1.51,1.52,27750
2025-06-12 04:00:00+00:00,1.5,1.6282,1.38,1.45,10784
2025-06-13 04:00:00+00:00,1.38,1.54,1.38,1.47,11477
2025-06-16 04:00:00+00:00,1.47,1.56,1.4215,1.51,35758
2025-06-17 04:00:00+00:00,1.53,1.65,1.39,1.51,69776
2025-06-18 04:00:00+00:00,1.5161,1.7,1.5161,1.66,78919
2025-06-20 04:00:00+00:00,1.61,1.72,1.61,1.7,16011
2025-06-23 04:00:00+00:00,1.62,1.62,1.48,1.5,19424
2025-06-24 04:00:00+00:00,1.44,1.55,1.44,1.48,10417
2025-06-25 04:00:00+00:00,1.43,1.52,1.3924,1.52,14166
2025-06-26 04:00:00+00:00,1.48,1.5787,1.4,1.55,11573
2025-06-27 04:00:00+00:00,1.4713,1.71,1.46,1.71,42549
2025-06-30 04:00:00+00:00,1.71,1.78,1.52,1.62,59047
