Date,Open,High,Low,Close,Volume
2025-04-11 04:00:00+00:00,1.26,2.0387,1.15,1.8895,125181.0
2025-04-14 04:00:00+00:00,3.04,4.9999,2.5563,4.0,957867.0
2025-04-15 04:00:00+00:00,4.01,4.36,2.755,3.09,311408.0
2025-04-16 04:00:00+00:00,2.71,3.74,2.71,3.09,117422.0
2025-04-17 04:00:00+00:00,2.94,3.19,2.5,3.1299,73532.0
2025-04-21 04:00:00+00:00,2.8,3.05,2.46,2.76,197527.0
2025-04-22 04:00:00+00:00,2.63,3.2,2.63,2.96,85696.0
2025-04-23 04:00:00+00:00,3.07,3.07,2.6,2.8,19531.0
2025-04-24 04:00:00+00:00,2.7,3.39,2.63,3.29,39594.0
2025-04-25 04:00:00+00:00,3.1,3.46,3.0,3.3,149916.0
2025-04-28 04:00:00+00:00,3.95,3.95,2.75,3.105,111247.0
2025-04-29 04:00:00+00:00,3.29,3.5,3.0001,3.16,81838.0
2025-04-30 04:00:00+00:00,3.1,3.15,2.75,2.76,72977.0
2025-05-01 04:00:00+00:00,2.9508,3.0,2.3,2.6,22836.0
2025-05-02 04:00:00+00:00,3.11,4.17,2.4401,3.75,209147.0
2025-05-05 04:00:00+00:00,4.0,4.25,3.5636,3.81,175974.0
2025-05-06 04:00:00+00:00,4.12,4.49,3.75,4.49,25230.0
2025-05-07 04:00:00+00:00,4.11,6.14,4.11,4.95,107348.0
2025-05-08 04:00:00+00:00,5.35,6.49,4.829,6.16,90546.0
2025-05-09 04:00:00+00:00,6.34,7.5,5.66,5.7,205957.0
2025-05-12 04:00:00+00:00,5.75,5.75,3.735,3.8,4449484.0
2025-05-13 04:00:00+00:00,4.0,4.08,3.4,3.4,2148028.0
2025-05-14 04:00:00+00:00,3.99,3.99,3.15,3.15,3025853.0
2025-05-15 04:00:00+00:00,3.11,3.14,2.26,2.3,2201912.0
2025-05-16 04:00:00+00:00,3.0,3.34,2.1,2.3,3841926.0
2025-05-19 04:00:00+00:00,2.11,2.2,1.81,2.05,1630481.0
2025-05-20 04:00:00+00:00,2.7,3.2351,2.15,2.2,2619734.0
2025-05-21 04:00:00+00:00,2.21,3.47,2.21,2.55,2784092.0
2025-05-22 04:00:00+00:00,2.68,3.69,2.68,3.36,2751152.0
2025-05-23 04:00:00+00:00,2.81,2.94,2.35,2.45,939887.0
2025-05-27 04:00:00+00:00,2.64,3.15,2.02,3.14,1668855.0
2025-05-28 04:00:00+00:00,3.48,4.2,3.1,3.19,2098438.0
2025-05-29 04:00:00+00:00,2.8,3.0,2.36,2.5,956922.0
2025-05-30 04:00:00+00:00,2.32,2.32,1.64,1.73,858851.0
2025-06-02 04:00:00+00:00,1.7793,1.79,1.2764,1.53,551234.0
2025-06-03 04:00:00+00:00,1.67,1.67,1.0,1.2,720826.0
2025-06-04 04:00:00+00:00,1.05,1.36,0.85,1.23,791674.0
2025-06-05 04:00:00+00:00,1.35,1.45,0.86,0.89,627782.0
2025-06-06 04:00:00+00:00,0.91,1.23,0.9001,1.07,491690.0
2025-06-09 04:00:00+00:00,1.1,1.1,0.9,0.94,348053.0
2025-06-10 04:00:00+00:00,1.22,1.69,0.9503,1.12,1142632.0
2025-06-11 04:00:00+00:00,1.2,1.37,1.0,1.085,468146.0
2025-06-12 04:00:00+00:00,1.06,1.0699,0.88,0.91,549794.0
2025-06-13 04:00:00+00:00,0.85,0.87,0.472,0.6401,447451.0
2025-06-16 04:00:00+00:00,0.65,0.7701,0.56,0.74,398165.0
2025-06-17 04:00:00+00:00,0.7359,0.736,0.55,0.55,224727.0
2025-06-18 04:00:00+00:00,0.5915,0.9675,0.47,0.83,806547.0
2025-06-20 04:00:00+00:00,0.889,0.8901,0.56,0.6506,294145.0
2025-06-23 04:00:00+00:00,0.639,0.65,0.425,0.48,893330.0
2025-06-24 04:00:00+00:00,0.51,1.39,0.4956,1.24,1166506.0
2025-06-25 04:00:00+00:00,1.61,1.75,0.8,0.89,459396.0
2025-06-26 04:00:00+00:00,0.96,1.45,0.8999,1.32,490148.0
2025-06-27 04:00:00+00:00,1.39,1.4,0.75,0.82,668709.0
2025-06-30 04:00:00+00:00,0.82,2.0,0.75,1.87,1656584.0
