Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,3.47,3.55,3.41,3.45,1218402.0
2025-07-02 04:00:00+00:00,3.44,3.585,3.425,3.58,1479856.0
2025-07-03 04:00:00+00:00,3.59,3.62,3.55,3.57,836456.0
2025-07-07 04:00:00+00:00,3.565,3.67,3.5,3.51,1531620.0
2025-07-08 04:00:00+00:00,3.5,3.6,3.45,3.58,1040760.0
2025-07-09 04:00:00+00:00,3.6,3.6,3.48,3.51,1024609.0
2025-07-10 04:00:00+00:00,3.53,3.62,3.5048,3.59,1024043.0
2025-07-11 04:00:00+00:00,3.56,3.578,3.495,3.51,910893.0
2025-07-14 04:00:00+00:00,3.5,3.53,3.415,3.46,676375.0
2025-07-15 04:00:00+00:00,3.47,3.505,3.26,3.26,1283374.0
2025-07-16 04:00:00+00:00,3.31,3.35,3.23,3.34,1058253.0
2025-07-17 04:00:00+00:00,3.34,3.555,3.34,3.5,1577317.0
2025-07-18 04:00:00+00:00,3.54,3.5652,3.45,3.5,1086487.0
2025-07-21 04:00:00+00:00,3.495,4.56,3.495,4.1,14632455.0
2025-07-22 04:00:00+00:00,4.15,4.54,3.9487,4.22,9681898.0
2025-07-23 04:00:00+00:00,4.68,4.82,4.18,4.28,13175900.0
2025-07-24 04:00:00+00:00,4.19,4.21,3.78,3.85,5106992.0
2025-07-25 04:00:00+00:00,3.85,3.86,3.61,3.64,3029908.0
2025-07-28 04:00:00+00:00,3.65,3.65,3.35,3.39,3269739.0
2025-07-29 04:00:00+00:00,3.41,3.42,3.225,3.26,1869685.0
2025-07-30 04:00:00+00:00,3.26,3.45,3.22,3.24,2440077.0
2025-07-31 04:00:00+00:00,3.24,3.245,3.035,3.04,2485707.0
2025-08-01 04:00:00+00:00,3.0,3.0,2.85,2.87,1948569.0
2025-08-04 04:00:00+00:00,2.91,3.04,2.875,3.03,2018344.0
2025-08-05 04:00:00+00:00,3.03,3.11,2.98,3.1,1586747.0
2025-08-06 04:00:00+00:00,3.03,3.065,2.91,2.92,2731931.0
2025-08-07 04:00:00+00:00,2.87,2.95,2.735,2.8,2704377.0
2025-08-08 04:00:00+00:00,2.808,2.808,2.66,2.66,1659418.0
2025-08-11 04:00:00+00:00,2.66,2.72,2.61,2.7,2586748.0
2025-08-12 04:00:00+00:00,2.71,2.81,2.71,2.72,3053369.0
2025-08-13 04:00:00+00:00,2.73,2.89,2.73,2.82,1875026.0
2025-08-14 04:00:00+00:00,2.75,2.845,2.72,2.79,1833778.0
2025-08-15 04:00:00+00:00,2.74,2.75,2.57,2.58,4063431.0
2025-08-18 04:00:00+00:00,2.62,2.645,2.53,2.53,1959614.0
2025-08-19 04:00:00+00:00,2.54,2.6,2.44,2.46,2134087.0
2025-08-20 04:00:00+00:00,2.43,2.465,2.36,2.41,1937388.0
2025-08-21 04:00:00+00:00,2.4,2.41,2.35,2.39,1366132.0
2025-08-22 04:00:00+00:00,2.4,2.495,2.395,2.45,2125365.0
2025-08-25 04:00:00+00:00,2.51,2.7,2.4501,2.59,5885942.0
2025-08-26 04:00:00+00:00,2.61,2.66,2.47,2.49,2703528.0
2025-08-27 04:00:00+00:00,2.49,2.63,2.48,2.59,1904511.0
2025-08-28 04:00:00+00:00,2.6,2.61,2.49,2.54,1217873.0
2025-08-29 04:00:00+00:00,2.55,2.56,2.48,2.5,1373354.0
2025-09-02 04:00:00+00:00,2.49,2.49,2.36,2.37,1990667.0
2025-09-03 04:00:00+00:00,2.39,2.43,2.31,2.32,1547771.0
2025-09-04 04:00:00+00:00,2.31,2.38,2.29,2.35,1228932.0
2025-09-05 04:00:00+00:00,2.35,2.47,2.35,2.46,1592751.0
2025-09-08 04:00:00+00:00,2.47,2.5591,2.4,2.53,2069911.0
2025-09-09 04:00:00+00:00,2.5,2.6,2.47,2.58,1227923.0
2025-09-10 04:00:00+00:00,2.57,2.585,2.48,2.49,1199824.0
2025-09-11 04:00:00+00:00,2.51,2.62,2.495,2.6,2340605.0
2025-09-12 04:00:00+00:00,2.6,2.69,2.53,2.68,1684950.0
2025-09-15 04:00:00+00:00,2.61,2.82,2.59,2.8,3262023.0
2025-09-16 04:00:00+00:00,2.81,2.83,2.7,2.71,1857729.0
2025-09-17 04:00:00+00:00,2.7,2.835,2.621,2.73,3122625.0
2025-09-18 04:00:00+00:00,2.76,2.93,2.735,2.77,3905248.0
2025-09-19 04:00:00+00:00,2.8,2.92,2.77,2.83,2134197.0
2025-09-22 04:00:00+00:00,2.83,2.84,2.715,2.84,1708840.0
2025-09-23 04:00:00+00:00,2.84,2.98,2.83,2.85,2292153.0
2025-09-24 04:00:00+00:00,2.82,2.99,2.76,2.9,2181314.0
2025-09-25 04:00:00+00:00,2.84,2.89,2.73,2.83,2471476.0
2025-09-26 04:00:00+00:00,2.83,2.89,2.78,2.85,1256683.0
2025-09-29 04:00:00+00:00,1.27,2.22,1.23,1.82,65310360.0
2025-09-30 04:00:00+00:00,1.81,1.93,1.66,1.89,13954141.0
2025-10-01 04:00:00+00:00,1.965,2.43,1.95,2.31,20833954.0
2025-10-02 04:00:00+00:00,2.34,2.49,2.3,2.33,9679945.0
2025-10-03 04:00:00+00:00,2.35,2.65,2.35,2.57,9492537.0
2025-10-06 04:00:00+00:00,2.6,2.63,2.285,2.35,8276706.0
2025-10-07 04:00:00+00:00,2.39,2.39,2.11,2.18,6539164.0
2025-10-08 04:00:00+00:00,2.2,2.22,2.04,2.08,6829300.0
2025-10-09 04:00:00+00:00,2.06,2.07,1.95,1.97,8919795.0
2025-10-10 04:00:00+00:00,2.01,2.28,1.995,2.01,14533471.0
2025-10-13 04:00:00+00:00,0.8479,1.12,0.845,1.035,128357702.0
2025-10-14 04:00:00+00:00,0.9188,0.9256,0.77,0.7808,113067198.0
2025-10-15 04:00:00+00:00,0.7867,0.818,0.651,0.6701,120425693.0
2025-10-16 04:00:00+00:00,0.693,0.693,0.5001,0.52,174262368.0
2025-10-17 04:00:00+00:00,0.6079,0.753,0.55,0.6456,438222591.0
2025-10-20 04:00:00+00:00,1.02,1.53,0.8812,1.47,1202828698.0
2025-10-21 04:00:00+00:00,2.31,3.86,1.93,3.62,2071569280.0
2025-10-22 04:00:00+00:00,6.17,7.69,2.62,3.58,2227938220.0
2025-10-23 04:00:00+00:00,2.95,3.7283,2.77,2.84,802209194.0
2025-10-24 04:00:00+00:00,3.315,3.35,2.08,2.185,803375330.0
2025-10-27 04:00:00+00:00,2.0,2.23,1.8,1.81,364020698.0
2025-10-28 04:00:00+00:00,1.92,2.36,1.82,1.975,478425621.0
2025-10-29 04:00:00+00:00,2.07,2.08,1.77,1.845,227981527.0
2025-10-30 04:00:00+00:00,1.755,1.77,1.6,1.65,147657990.0
2025-10-31 04:00:00+00:00,1.655,1.7101,1.55,1.655,103373903.0
2025-11-03 05:00:00+00:00,1.505,1.54,1.35,1.39,156997943.0
2025-11-04 05:00:00+00:00,1.275,1.52,1.275,1.33,166175291.0
2025-11-05 05:00:00+00:00,1.37,1.38,1.23,1.27,94676856.0
2025-11-06 05:00:00+00:00,1.29,1.56,1.19,1.19,190986495.0
2025-11-07 05:00:00+00:00,1.18,1.42,1.13,1.39,143987663.0
2025-11-10 05:00:00+00:00,1.41,1.46,1.29,1.34,125430368.0
2025-11-11 05:00:00+00:00,1.25,1.34,1.18,1.22,82885174.0
2025-11-12 05:00:00+00:00,1.21,1.29,1.11,1.115,84409010.0
2025-11-13 05:00:00+00:00,1.105,1.11,1.0,1.01,85509241.0
2025-11-14 05:00:00+00:00,0.9363,1.23,0.9363,1.08,129603585.0
2025-11-17 05:00:00+00:00,1.12,1.13,1.0,1.04,61645167.0
2025-11-18 05:00:00+00:00,1.03,1.07,1.0,1.0,42674044.0
2025-11-19 05:00:00+00:00,1.0,1.03,0.9521,0.9757,56581197.0
2025-11-20 05:00:00+00:00,1.01,1.02,0.88,0.88,102902528.0
2025-11-21 05:00:00+00:00,0.8759,0.905,0.81,0.8624,74410440.0
2025-11-24 05:00:00+00:00,0.8819,0.94,0.8155,0.8625,89057803.0
2025-11-25 05:00:00+00:00,0.8682,0.884,0.825,0.8571,53104833.0
2025-11-26 05:00:00+00:00,0.8675,1.05,0.8641,1.02,172661318.0
2025-11-28 05:00:00+00:00,1.02,1.07,0.9637,0.9818,68571414.0
2025-12-01 05:00:00+00:00,0.9547,1.48,0.9316,1.34,270280270.0
2025-12-02 05:00:00+00:00,1.395,1.42,1.23,1.29,233171375.0
2025-12-03 05:00:00+00:00,1.23,1.27,1.15,1.25,77682486.0
2025-12-04 05:00:00+00:00,1.255,1.37,1.24,1.24,59989654.0
2025-12-05 05:00:00+00:00,1.25,1.42,1.21,1.22,101323705.0
2025-12-08 05:00:00+00:00,1.23,1.23,1.13,1.14,63586994.0
2025-12-09 05:00:00+00:00,1.1,1.3,1.0975,1.26,70045066.0
2025-12-10 05:00:00+00:00,1.245,1.32,1.2,1.23,54100720.0
2025-12-11 05:00:00+00:00,1.225,1.24,1.17,1.18,38198670.0
2025-12-12 05:00:00+00:00,1.17,1.21,1.09,1.09,41276778.0
2025-12-15 05:00:00+00:00,1.105,1.135,1.03,1.04,55077714.0
2025-12-16 05:00:00+00:00,1.02,1.12,1.02,1.1,46350580.0
2025-12-17 05:00:00+00:00,1.1,1.13,1.03,1.05,42384396.0
2025-12-18 05:00:00+00:00,1.05,1.14,1.03,1.04,43522616.0
2025-12-19 05:00:00+00:00,1.04,1.26,1.03,1.11,172578990.0
2025-12-22 05:00:00+00:00,1.12,1.14,1.06,1.07,43606269.0
2025-12-23 05:00:00+00:00,1.07,1.07,0.96,1.01,68199671.0
2025-12-24 05:00:00+00:00,0.998,1.0,0.98,0.9865,30993120.0
2025-12-26 05:00:00+00:00,0.9833,0.9864,0.9,0.9,59587991.0
2025-12-29 05:00:00+00:00,0.8878,0.9699,0.861,0.862,64899106.0
2025-12-30 05:00:00+00:00,0.8991,0.9279,0.8468,0.8468,53519315.0
2025-12-31 05:00:00+00:00,0.85,0.8601,0.8121,0.82,50584829.0
