Date,Open,High,Low,Close,Volume
2025-09-02 04:00:00+00:00,0.06,0.06,0.06,0.06,500
2025-09-03 04:00:00+00:00,0.0452,0.059,0.041,0.041,39054
2025-09-05 04:00:00+00:00,0.055,0.055,0.055,0.055,294
2025-09-08 04:00:00+00:00,0.05,0.0548,0.0485,0.0548,2180
2025-09-09 04:00:00+00:00,0.055,0.055,0.0499,0.0499,22437
2025-09-10 04:00:00+00:00,0.0411,0.0451,0.04,0.0451,4213
2025-09-12 04:00:00+00:00,0.05,0.05,0.05,0.05,20315
2025-09-15 04:00:00+00:00,0.05,0.05,0.04,0.05,34100
2025-09-16 04:00:00+00:00,0.04,0.05,0.036,0.0499,159169
2025-09-17 04:00:00+00:00,0.0438,0.0438,0.04,0.0402,6600
2025-09-18 04:00:00+00:00,0.0405,0.045,0.04,0.045,12540
2025-09-19 04:00:00+00:00,0.045,0.045,0.045,0.045,124
2025-09-23 04:00:00+00:00,0.042,0.042,0.04,0.04,1760
2025-09-24 04:00:00+00:00,0.04,0.05,0.04,0.0499,6442
2025-09-26 04:00:00+00:00,0.045,0.045,0.0399,0.0399,9098
2025-09-30 04:00:00+00:00,0.0399,0.0399,0.035,0.0351,27327
2025-10-01 04:00:00+00:00,0.0367,0.0372,0.0351,0.0372,10300
2025-10-02 04:00:00+00:00,0.035,0.035,0.034,0.034,7208
2025-10-03 04:00:00+00:00,0.0301,0.0399,0.0301,0.0399,3058
2025-10-06 04:00:00+00:00,0.0301,0.0301,0.0301,0.0301,6800
2025-10-07 04:00:00+00:00,0.037,0.039,0.037,0.039,300
2025-10-08 04:00:00+00:00,0.0361,0.0361,0.0361,0.0361,457
2025-10-09 04:00:00+00:00,0.034,0.035,0.033,0.035,5000
2025-10-10 04:00:00+00:00,0.0315,0.0332,0.0315,0.0332,500
2025-10-13 04:00:00+00:00,0.035,0.035,0.035,0.035,7502
2025-10-14 04:00:00+00:00,0.0348,0.0348,0.0315,0.0315,14333
2025-10-15 04:00:00+00:00,0.0315,0.0315,0.0315,0.0315,200
2025-10-16 04:00:00+00:00,0.0315,0.0347,0.0315,0.0346,6813
2025-10-20 04:00:00+00:00,0.032,0.0347,0.0116,0.0347,259300
2025-10-21 04:00:00+00:00,0.0204,0.0347,0.0204,0.0346,8596
2025-10-22 04:00:00+00:00,0.0276,0.0305,0.0206,0.0279,7390
2025-10-23 04:00:00+00:00,0.0301,0.0301,0.0205,0.0205,5158
2025-10-24 04:00:00+00:00,0.0298,0.0298,0.0298,0.0298,200
2025-10-27 04:00:00+00:00,0.0298,0.0298,0.028,0.028,600
2025-10-28 04:00:00+00:00,0.022,0.022,0.022,0.022,376
2025-10-29 04:00:00+00:00,0.0252,0.0252,0.0252,0.0252,750
2025-10-30 04:00:00+00:00,0.0248,0.0249,0.0248,0.0248,1200
2025-10-31 04:00:00+00:00,0.0205,0.0249,0.0205,0.0249,1840
2025-11-03 05:00:00+00:00,0.0205,0.0248,0.0205,0.0248,11120
2025-11-04 05:00:00+00:00,0.0205,0.0249,0.0205,0.0249,1650
2025-11-06 05:00:00+00:00,0.0205,0.0205,0.0205,0.0205,500
2025-11-07 05:00:00+00:00,0.0247,0.0247,0.0243,0.0243,750
2025-11-10 05:00:00+00:00,0.0246,0.0246,0.0205,0.0208,33050
2025-11-11 05:00:00+00:00,0.0205,0.0245,0.0154,0.0245,11803
2025-11-12 05:00:00+00:00,0.0176,0.0245,0.016,0.0245,24034
2025-11-13 05:00:00+00:00,0.0239,0.0239,0.0239,0.0239,100
2025-11-14 05:00:00+00:00,0.0199,0.0219,0.0162,0.0199,117867
2025-11-17 05:00:00+00:00,0.0222,0.0222,0.0222,0.0222,100
2025-11-18 05:00:00+00:00,0.0244,0.0284,0.0244,0.0283,2906
2025-11-19 05:00:00+00:00,0.0264,0.0264,0.0264,0.0264,100
2025-11-20 05:00:00+00:00,0.0234,0.0284,0.0174,0.0174,650
2025-11-21 05:00:00+00:00,0.0175,0.0284,0.0174,0.0273,6953
2025-11-24 05:00:00+00:00,0.02,0.0274,0.0178,0.0273,2332
2025-11-25 05:00:00+00:00,0.0274,0.0274,0.0273,0.0273,450
2025-11-26 05:00:00+00:00,0.0195,0.0247,0.019,0.0247,22719
2025-11-28 05:00:00+00:00,0.0247,0.0247,0.0246,0.0246,3300
