Date,Open,High,Low,Close,Volume
2025-09-02 04:00:00+00:00,1.78,2.47,1.685,2.28,868406.0
2025-09-03 04:00:00+00:00,2.47,2.5417,2.193,2.26,313093.0
2025-09-04 04:00:00+00:00,2.1206,2.19,1.9105,1.94,130280.0
2025-09-05 04:00:00+00:00,1.9,2.02,1.835,2.02,48125.0
2025-09-08 04:00:00+00:00,1.97,2.05,1.76,1.95,150830.0
2025-09-09 04:00:00+00:00,2.15,2.97,2.11,2.8,490470.0
2025-09-10 04:00:00+00:00,2.8,3.49,2.7755,3.32,688940.0
2025-09-11 04:00:00+00:00,3.44,3.505,3.07,3.0799,889663.0
2025-09-12 04:00:00+00:00,3.1,3.78,3.03,3.64,517117.0
2025-09-15 04:00:00+00:00,3.52,3.85,3.33,3.7,619856.0
2025-09-16 04:00:00+00:00,3.83,4.13,3.52,4.12,279457.0
2025-09-17 04:00:00+00:00,4.0,4.815,3.7,4.73,317945.0
2025-09-18 04:00:00+00:00,4.74,4.74,4.16,4.3543,481013.0
2025-09-19 04:00:00+00:00,4.4,4.98,4.3501,4.68,189830.0
2025-09-22 04:00:00+00:00,4.9,5.98,4.51,5.865,404545.0
2025-09-23 04:00:00+00:00,6.1,6.16,5.585,6.16,266874.0
2025-09-24 04:00:00+00:00,6.295,6.63,6.0,6.19,218087.0
2025-09-25 04:00:00+00:00,5.8,5.84,4.3,4.51,912491.0
2025-09-26 04:00:00+00:00,4.41,4.93,4.02,4.31,320397.0
2025-09-29 04:00:00+00:00,4.66,5.0,4.3,4.94,193560.0
2025-09-30 04:00:00+00:00,4.93,5.1,4.66,5.0,189352.0
2025-10-01 04:00:00+00:00,5.24,5.58,4.91,4.96,209343.0
2025-10-02 04:00:00+00:00,5.13,6.0999,5.13,5.66,132476.0
2025-10-03 04:00:00+00:00,6.2,6.69,5.92,6.09,448935.0
2025-10-06 04:00:00+00:00,6.45,6.85,6.18,6.28,302572.0
2025-10-07 04:00:00+00:00,6.74,6.79,5.52,6.525,181255.0
2025-10-08 04:00:00+00:00,6.49,8.42,6.21,8.05,456962.0
2025-10-09 04:00:00+00:00,8.39,8.66,7.67,8.5,320576.0
2025-10-10 04:00:00+00:00,8.9,9.98,6.91,7.16,488409.0
2025-10-13 04:00:00+00:00,8.09,10.47,8.06,10.31,553893.0
2025-10-14 04:00:00+00:00,10.21,10.98,9.58,10.43,346503.0
2025-10-15 04:00:00+00:00,11.79,11.8,9.87,11.18,226411.0
2025-10-16 04:00:00+00:00,11.18,11.18,8.85,9.4005,319654.0
2025-10-17 04:00:00+00:00,8.61,9.82,7.8,9.5,181446.0
2025-10-20 04:00:00+00:00,10.25,11.22,9.05,10.4912,241139.0
2025-10-21 04:00:00+00:00,10.08,10.17,8.53,9.1,257579.0
2025-10-22 04:00:00+00:00,8.03,9.44,6.32,7.45,449001.0
2025-10-23 04:00:00+00:00,7.87,9.27,7.7,8.886,242449.0
2025-10-24 04:00:00+00:00,9.48,11.2,9.41,11.0,449454.0
2025-10-27 04:00:00+00:00,11.81,11.93,10.19,10.91,223337.0
2025-10-28 04:00:00+00:00,10.31,11.74,10.02,10.15,274913.0
2025-10-29 04:00:00+00:00,10.18,10.75,8.5,9.79,338136.0
2025-10-30 04:00:00+00:00,9.17,10.38,8.99,9.8264,213845.0
2025-10-31 04:00:00+00:00,10.19,10.42,9.305,9.39,110366.0
2025-11-03 05:00:00+00:00,12.11,14.48,10.86,12.04,592069.0
2025-11-04 05:00:00+00:00,11.0,13.2,9.89,11.53,199204.0
2025-11-05 05:00:00+00:00,12.45,14.29,11.5901,13.57,279187.0
2025-11-06 05:00:00+00:00,12.8,13.31,10.97,11.185,469128.0
2025-11-07 05:00:00+00:00,10.0,10.57,9.2205,10.09,472705.0
2025-11-10 05:00:00+00:00,11.0,11.0,8.22,8.47,437953.0
2025-11-11 05:00:00+00:00,7.95,7.95,6.5,7.23,543549.0
2025-11-12 05:00:00+00:00,7.5,7.5,5.54,5.88,641625.0
2025-11-13 05:00:00+00:00,5.35,5.55,3.925,4.08,955005.0
2025-11-14 05:00:00+00:00,3.48,5.28,3.43,4.15,592313.0
2025-11-17 05:00:00+00:00,3.9,4.84,3.9,4.36,296102.0
2025-11-18 05:00:00+00:00,4.27,5.62,4.04,5.12,621305.0
2025-11-19 05:00:00+00:00,5.26,5.95,4.5631,4.67,332977.0
2025-11-20 05:00:00+00:00,6.3,6.7,4.61,5.05,606003.0
2025-11-21 05:00:00+00:00,4.94,5.57,4.27,5.33,837585.0
2025-11-24 05:00:00+00:00,5.9,7.24,5.85,6.92,368747.0
2025-11-25 05:00:00+00:00,6.65,7.7,6.42,7.4201,244653.0
2025-11-26 05:00:00+00:00,5.01,5.26,4.71,5.13,2258090.0
2025-11-28 05:00:00+00:00,5.26,5.657,5.24,5.47,275936.0
