Date,Open,High,Low,Close,Volume
2025-03-10 04:00:00+00:00,10.45,10.79,10.45,10.79,827160
2025-03-18 04:00:00+00:00,10.99,10.99,10.99,10.99,5050
2025-03-28 04:00:00+00:00,10.75,10.75,10.75,10.75,103
2025-03-31 04:00:00+00:00,10.85,10.95,10.85,10.95,600
2025-04-01 04:00:00+00:00,11.05,11.1,11.05,11.1,200
2025-04-02 04:00:00+00:00,11.25,12.0,11.19,12.0,1503
2025-04-25 04:00:00+00:00,12.05,12.45,12.02,12.45,755
2025-04-28 04:00:00+00:00,12.5,13.89,12.49,13.5,5568
2025-04-29 04:00:00+00:00,12.16,12.16,12.15,12.16,311
2025-04-30 04:00:00+00:00,12.64,12.64,12.64,12.64,225
2025-05-01 04:00:00+00:00,12.26,13.24,12.26,12.6235,1705
2025-05-07 04:00:00+00:00,13.1,13.5,13.1,13.5,1159
2025-05-08 04:00:00+00:00,13.0,13.77,13.0,13.75,1791
2025-05-12 04:00:00+00:00,13.57,13.79,13.57,13.79,620
2025-05-13 04:00:00+00:00,14.2,14.5,14.2,14.5,3026
2025-05-27 04:00:00+00:00,15.5,15.58,15.5,15.58,550
2025-05-28 04:00:00+00:00,16.15,16.15,16.15,16.15,309
2025-05-29 04:00:00+00:00,15.25,15.25,15.1,15.1,401
2025-05-30 04:00:00+00:00,16.0,16.0,16.0,16.0,985
2025-06-02 04:00:00+00:00,20.0,20.0,17.4998,18.25,8098
2025-06-03 04:00:00+00:00,17.05,17.65,15.5,16.85,7094
2025-06-04 04:00:00+00:00,15.45,15.5,15.45,15.5,2903
2025-06-05 04:00:00+00:00,14.13,14.85,14.1,14.85,1221
2025-06-06 04:00:00+00:00,16.03,16.03,15.95,16.0,1138
2025-06-10 04:00:00+00:00,16.3,16.3,16.3,16.3,114
2025-06-13 04:00:00+00:00,15.01,15.42,14.12,15.42,658
2025-06-16 04:00:00+00:00,16.6,16.6,16.6,16.6,170
2025-06-17 04:00:00+00:00,16.98,16.98,16.98,16.98,255
2025-06-25 04:00:00+00:00,17.0,17.0,14.29,14.29,1625
