Date,Open,High,Low,Close,Volume
2026-01-13 05:00:00+00:00,23.95,24.515,20.09,21.02,59569.0
2026-01-14 05:00:00+00:00,21.96,37.64,20.9025,34.26,542252.0
2026-01-15 05:00:00+00:00,31.95,34.6365,29.02,31.7,234285.0
2026-01-16 05:00:00+00:00,32.23,34.9208,26.0,33.08,253360.0
2026-01-20 05:00:00+00:00,37.49,38.32,27.64,31.32,497206.0
2026-01-21 05:00:00+00:00,32.25,36.2199,21.63,25.0,841632.0
2026-01-22 05:00:00+00:00,25.77,38.6,24.44,34.22,846448.0
2026-01-23 05:00:00+00:00,35.26,42.78,28.5,42.18,762370.0
2026-01-26 05:00:00+00:00,48.11,48.11,30.0,32.92,702624.0
2026-01-27 05:00:00+00:00,30.33,34.55,25.2,32.565,757618.0
2026-01-28 05:00:00+00:00,31.35,31.73,28.0013,28.215,462041.0
2026-01-29 05:00:00+00:00,23.52,23.52,17.77,18.55,1115440.0
2026-01-30 05:00:00+00:00,18.01,20.77,15.56,15.89,820917.0
2026-02-02 05:00:00+00:00,17.575,19.98,14.186,14.48,1189737.0
2026-02-03 05:00:00+00:00,16.45,20.825,16.3,20.22,986260.0
2026-02-04 05:00:00+00:00,19.52,19.52,13.5,14.52,687772.0
2026-02-05 05:00:00+00:00,13.26,13.96,9.0001,9.32,746816.0
2026-02-06 05:00:00+00:00,10.17,10.19,8.81,9.82,588936.0
2026-02-09 05:00:00+00:00,9.43,11.89,8.36,11.49,718038.0
2026-02-10 05:00:00+00:00,11.75,12.2689,9.55,9.65,436823.0
2026-02-11 05:00:00+00:00,10.43,10.56,8.595,9.06,473166.0
2026-02-12 05:00:00+00:00,8.725,8.79,7.28,7.53,474494.0
2026-02-13 05:00:00+00:00,7.67,7.94,6.56,6.65,609263.0
2026-02-17 05:00:00+00:00,6.45,6.88,5.75,6.77,477310.0
2026-02-18 05:00:00+00:00,6.59,7.3,6.25,6.71,355803.0
2026-02-19 05:00:00+00:00,6.42,6.95,5.9,6.79,407482.0
2026-02-20 05:00:00+00:00,6.56,7.0788,6.07,6.29,291968.0
2026-02-23 05:00:00+00:00,6.2,8.0756,5.85,8.0,616122.459786
2026-02-24 05:00:00+00:00,7.55,9.7799,7.48,8.69,1087256.274366
2026-02-25 05:00:00+00:00,9.12,9.5,8.4,8.74,759092.07704
2026-02-26 05:00:00+00:00,8.22,9.24,7.9,8.86,505269.206462
2026-02-27 05:00:00+00:00,8.34,8.4757,7.0394,7.66,351748.236264
