Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,0.67,0.6842,0.645,0.6799,13289.0
2024-12-03 05:00:00+00:00,0.645,0.6909,0.645,0.66,13009.0
2024-12-04 05:00:00+00:00,0.68,0.68,0.62,0.66,11856.0
2024-12-05 05:00:00+00:00,0.645,0.68,0.6026,0.6027,38581.0
2024-12-06 05:00:00+00:00,0.64,0.6469,0.61,0.61,38421.0
2024-12-09 05:00:00+00:00,0.6027,0.64,0.6027,0.624,22741.0
2024-12-10 05:00:00+00:00,0.611,0.638,0.6026,0.619,63943.0
2024-12-11 05:00:00+00:00,0.6138,0.625,0.6026,0.6026,16898.0
2024-12-12 05:00:00+00:00,0.6026,0.62,0.5901,0.595,62085.0
2024-12-13 05:00:00+00:00,0.59,0.61,0.5701,0.5799,29583.0
2024-12-16 05:00:00+00:00,0.57,0.6,0.57,0.58,38927.0
2024-12-17 05:00:00+00:00,0.58,0.6621,0.57,0.66,252808.0
2024-12-18 05:00:00+00:00,0.6402,0.66,0.6201,0.6298,86267.0
2024-12-19 05:00:00+00:00,0.6201,0.629,0.6,0.62,20018.0
2024-12-20 05:00:00+00:00,0.632,0.632,0.6,0.63,26554.0
2024-12-23 05:00:00+00:00,0.5964,0.66,0.5801,0.602,47385.0
2024-12-24 05:00:00+00:00,0.59,0.629,0.5777,0.5952,63795.0
2024-12-26 05:00:00+00:00,0.5732,0.6,0.57,0.57,46141.0
2024-12-27 05:00:00+00:00,0.57,0.6199,0.57,0.598,30397.0
2024-12-30 05:00:00+00:00,0.598,0.6368,0.59,0.6015,64735.0
2024-12-31 05:00:00+00:00,0.6,0.61,0.55,0.59,106622.0
2025-01-02 05:00:00+00:00,0.6,0.61,0.5804,0.6,37548.0
2025-01-03 05:00:00+00:00,0.62,0.6794,0.6,0.6647,90342.0
2025-01-06 05:00:00+00:00,0.68,0.7,0.6163,0.66,36528.0
2025-01-07 05:00:00+00:00,0.652,0.7,0.615,0.65,17082.0
2025-01-08 05:00:00+00:00,0.7,0.72,0.6704,0.69,56387.0
2025-01-10 05:00:00+00:00,0.6968,0.7098,0.62,0.623,36558.0
2025-01-13 05:00:00+00:00,0.63,0.675,0.62,0.6601,54725.0
2025-01-14 05:00:00+00:00,0.65,0.7,0.65,0.68,40313.0
2025-01-15 05:00:00+00:00,0.69,0.759,0.6634,0.75,148053.0
2025-01-16 05:00:00+00:00,0.735,0.82,0.72,0.7815,79567.0
2025-01-17 05:00:00+00:00,0.79,0.82,0.77,0.8,16868.0
2025-01-21 05:00:00+00:00,0.78,0.86,0.761,0.84,90498.0
2025-01-22 05:00:00+00:00,0.856,0.87,0.78,0.804,40127.0
2025-01-23 05:00:00+00:00,0.845,0.8587,0.801,0.81,12396.0
2025-01-24 05:00:00+00:00,0.85,0.85,0.8011,0.821,33205.0
2025-01-27 05:00:00+00:00,0.83,0.83,0.7709,0.8,27015.0
2025-01-28 05:00:00+00:00,0.8248,0.8248,0.75,0.7919,38989.0
2025-01-29 05:00:00+00:00,0.769,0.8,0.7303,0.7757,61364.0
2025-01-30 05:00:00+00:00,0.799,0.8,0.7023,0.7025,41053.0
2025-01-31 05:00:00+00:00,0.7575,0.7896,0.71,0.77,29986.0
2025-02-03 05:00:00+00:00,0.77,0.7734,0.75,0.7598,23714.0
2025-02-04 05:00:00+00:00,0.76,0.7985,0.75,0.7969,49442.0
2025-02-05 05:00:00+00:00,0.8,0.85,0.78,0.8,119949.0
2025-02-06 05:00:00+00:00,0.8001,0.83,0.75,0.77,112679.0
2025-02-07 05:00:00+00:00,1.34,1.45,0.97,1.19,84727953.0
2025-02-10 05:00:00+00:00,1.08,1.1,0.9,0.928,2281609.0
2025-02-11 05:00:00+00:00,0.9,0.9797,0.9,0.9222,629518.0
2025-02-12 05:00:00+00:00,0.9115,0.95,0.825,0.93,403115.0
2025-02-13 05:00:00+00:00,0.92,1.06,0.9,1.04,512807.0
2025-02-14 05:00:00+00:00,1.06,1.06,0.97,0.9755,152370.0
2025-02-18 05:00:00+00:00,0.93,0.9994,0.8505,0.9302,154916.0
2025-02-19 05:00:00+00:00,0.9302,0.97,0.9001,0.95,81063.0
2025-02-20 05:00:00+00:00,0.92,0.9666,0.8511,0.948,99718.0
2025-02-21 05:00:00+00:00,0.9196,0.9526,0.87,0.9098,88125.0
2025-02-24 05:00:00+00:00,0.89,0.9098,0.8019,0.8019,101024.0
2025-02-25 05:00:00+00:00,0.81,0.822,0.7501,0.761,75979.0
2025-02-26 05:00:00+00:00,0.75,0.7836,0.73,0.769,59660.0
2025-02-27 05:00:00+00:00,0.7301,0.78,0.7301,0.7701,98715.0
2025-02-28 05:00:00+00:00,0.747,0.77,0.7301,0.7599,46810.0
2025-03-03 05:00:00+00:00,0.741,0.8,0.701,0.751,194296.0
2025-03-04 05:00:00+00:00,0.7285,0.7327,0.701,0.7125,43163.0
2025-03-05 05:00:00+00:00,0.71,0.76,0.7001,0.7128,32294.0
2025-03-06 05:00:00+00:00,0.71,0.7929,0.71,0.752,135865.0
2025-03-07 05:00:00+00:00,0.7621,0.79,0.73,0.736,15989.0
2025-03-10 04:00:00+00:00,0.73,0.7583,0.7006,0.701,65689.0
2025-03-11 04:00:00+00:00,0.7,0.75,0.677,0.677,19607.0
2025-03-12 04:00:00+00:00,0.71,0.72,0.6736,0.6736,29467.0
2025-03-13 04:00:00+00:00,0.6603,0.729,0.6602,0.7,28208.0
2025-03-14 04:00:00+00:00,0.7583,0.7583,0.6909,0.7,33639.0
2025-03-17 04:00:00+00:00,0.7,0.73,0.64,0.661,78794.0
2025-03-18 04:00:00+00:00,0.6412,0.6656,0.616,0.65,65087.0
2025-03-19 04:00:00+00:00,0.64,0.6784,0.64,0.6695,38516.0
2025-03-20 04:00:00+00:00,0.64,0.688,0.6221,0.68,26905.0
2025-03-21 04:00:00+00:00,0.687,0.7,0.6465,0.7,35265.0
2025-03-24 04:00:00+00:00,0.69,0.726,0.6536,0.7107,40276.0
2025-03-25 04:00:00+00:00,0.661,0.73,0.632,0.7206,188267.0
