Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,2.13,2.5129,1.9,2.37,129811.0
2025-11-04 05:00:00+00:00,2.36,2.44,2.3,2.41,12966.0
2025-11-05 05:00:00+00:00,2.52,3.19,2.47,3.19,156583.0
2025-11-06 05:00:00+00:00,3.16,3.17,2.8,3.02,124487.0
2025-11-07 05:00:00+00:00,3.04,3.56,3.04,3.43,139150.0
2025-11-10 05:00:00+00:00,3.5,3.5,3.0,3.05,77660.0
2025-11-11 05:00:00+00:00,3.165,3.32,3.13,3.13,17876.0
2025-11-12 05:00:00+00:00,3.18,3.186,2.95,2.95,22657.0
2025-11-13 05:00:00+00:00,3.02,3.04,2.82,3.03,41248.0
2025-11-14 05:00:00+00:00,3.08,3.1,2.9006,2.96,20329.0
2025-11-17 05:00:00+00:00,2.98,3.02,2.73,2.77,24843.0
2025-11-18 05:00:00+00:00,2.78,2.82,2.6,2.62,43343.0
2025-11-19 05:00:00+00:00,2.69,2.915,2.62,2.915,35791.0
2025-11-20 05:00:00+00:00,2.92,2.99,2.83,2.83,9646.0
2025-11-21 05:00:00+00:00,2.76,3.04,2.7,2.83,36921.0
2025-11-24 05:00:00+00:00,2.93,3.05,2.63,2.88,17198.0
2025-11-25 05:00:00+00:00,2.9077,2.91,2.89,2.89,939.0
2025-11-26 05:00:00+00:00,2.83,2.94,2.81,2.875,9783.0
2025-11-28 05:00:00+00:00,2.99,3.4,2.94,3.12,55572.0
2025-12-01 05:00:00+00:00,3.19,3.28,3.0,3.17,61734.0
2025-12-02 05:00:00+00:00,3.29,3.29,3.0,3.1,34753.0
2025-12-03 05:00:00+00:00,3.0,3.1,2.86,2.86,26548.0
2025-12-04 05:00:00+00:00,2.83,2.995,2.83,2.9,16048.0
2025-12-05 05:00:00+00:00,3.13,3.21,2.72,2.72,44844.0
2025-12-08 05:00:00+00:00,2.68,2.99,2.68,2.95,23835.0
2025-12-09 05:00:00+00:00,2.96,2.96,2.23,2.27,194927.0
2025-12-10 05:00:00+00:00,2.47,2.7,2.1,2.13,98696.0
2025-12-11 05:00:00+00:00,2.29,2.68,2.01,2.26,126757.0
2025-12-12 05:00:00+00:00,2.24,2.38,2.13,2.3,43051.0
2025-12-15 05:00:00+00:00,2.28,2.47,2.26,2.26,35177.0
2025-12-16 05:00:00+00:00,2.2,2.455,2.2,2.4,17722.0
2025-12-17 05:00:00+00:00,2.47,2.775,2.46,2.62,55970.0
2025-12-18 05:00:00+00:00,2.89,2.89,2.592,2.64,56072.0
2025-12-19 05:00:00+00:00,2.64,2.85,2.5743,2.8,26960.0
2025-12-22 05:00:00+00:00,2.8,2.8,1.21,1.36,1501508.0
2025-12-23 05:00:00+00:00,1.39,2.19,1.39,1.92,5127365.0
2025-12-24 05:00:00+00:00,2.19,2.96,2.19,2.77,4897075.0
2025-12-26 05:00:00+00:00,2.9,2.9,2.26,2.45,575183.0
2025-12-29 05:00:00+00:00,2.5,2.64,2.25,2.34,150667.0
2025-12-30 05:00:00+00:00,2.7,2.7,2.24,2.34,175042.0
2025-12-31 05:00:00+00:00,2.33,2.4,2.13,2.31,54868.0
