Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,1.46,1.52,1.42,1.45,137834.0
2025-07-02 04:00:00+00:00,1.4225,1.5,1.4225,1.48,2968.0
2025-07-03 04:00:00+00:00,1.49,1.589,1.49,1.51,16137.0
2025-07-07 04:00:00+00:00,1.48,1.5295,1.4,1.49,182009.0
2025-07-08 04:00:00+00:00,1.45,1.8654,1.39,1.815,235802.0
2025-07-09 04:00:00+00:00,1.71,2.05,1.71,1.99,155700.0
2025-07-10 04:00:00+00:00,2.07,2.07,1.7,2.04,349369.0
2025-07-11 04:00:00+00:00,1.88,2.46,1.88,2.46,245985.0
2025-07-14 04:00:00+00:00,2.47,2.94,2.4,2.7402,304865.0
2025-07-15 04:00:00+00:00,2.75,2.99,2.66,2.97,199899.0
2025-07-16 04:00:00+00:00,2.97,3.25,2.9,3.25,280789.0
2025-07-17 04:00:00+00:00,3.29,3.4837,2.63,2.97,411656.0
2025-07-18 04:00:00+00:00,2.84,3.2,2.7504,3.13,491498.0
2025-07-21 04:00:00+00:00,3.17,3.5,2.881,3.5,390077.0
2025-07-22 04:00:00+00:00,3.51,3.6,3.2651,3.54,335140.0
2025-07-23 04:00:00+00:00,3.49,3.89,3.335,3.6,319209.0
2025-07-24 04:00:00+00:00,3.47,3.73,2.7,2.93,497932.0
2025-07-25 04:00:00+00:00,2.71,3.3,2.71,3.02,343997.0
2025-07-28 04:00:00+00:00,2.9,3.09,2.76,2.97,327067.0
2025-07-29 04:00:00+00:00,2.94,3.06,1.0,1.1,1899335.0
2025-07-30 04:00:00+00:00,1.07,1.08,0.81,0.8775,511965.0
2025-07-31 04:00:00+00:00,0.85,1.55,0.85,1.06,3215169.0
2025-08-01 04:00:00+00:00,1.0,1.04,0.94,0.98,216602.0
2025-08-04 04:00:00+00:00,1.08,1.08,0.9601,1.0338,119799.0
2025-08-05 04:00:00+00:00,1.03,1.0692,0.9,0.9799,209495.0
2025-08-06 04:00:00+00:00,0.9686,1.01,0.9601,1.0,20425.0
2025-08-07 04:00:00+00:00,0.96,1.0,0.9,0.9855,93197.0
2025-08-08 04:00:00+00:00,0.948,1.02,0.9428,0.9959,37700.0
2025-08-11 04:00:00+00:00,0.9601,0.9845,0.88,0.9406,33093.0
2025-08-12 04:00:00+00:00,0.9401,0.9401,0.8311,0.8502,60529.0
2025-08-13 04:00:00+00:00,0.8311,0.87,0.7211,0.735,143095.0
2025-08-14 04:00:00+00:00,0.736,0.75,0.601,0.6115,143275.0
2025-08-15 04:00:00+00:00,0.629,0.6796,0.615,0.6261,68437.0
2025-08-18 04:00:00+00:00,0.6513,0.73,0.58,0.717,272946.0
2025-08-19 04:00:00+00:00,0.7,1.05,0.64,0.7099,13362213.0
2025-08-20 04:00:00+00:00,0.7855,1.09,0.7852,0.8877,19743644.0
2025-08-21 04:00:00+00:00,0.907,0.907,0.781,0.844,733514.0
2025-08-22 04:00:00+00:00,0.7804,0.849,0.73,0.8,235977.0
2025-08-25 04:00:00+00:00,0.78,0.7999,0.6881,0.6944,326157.0
2025-08-26 04:00:00+00:00,0.7001,0.7387,0.688,0.71,802986.0
2025-08-27 04:00:00+00:00,0.7417,0.7499,0.68,0.6833,970803.0
2025-08-28 04:00:00+00:00,0.65,0.75,0.621,0.6901,379868.0
2025-08-29 04:00:00+00:00,0.675,0.72,0.671,0.68,70264.0
2025-09-02 04:00:00+00:00,0.6898,0.72,0.6655,0.714,124789.0
2025-09-03 04:00:00+00:00,0.6801,0.7175,0.6539,0.71,102429.0
2025-09-04 04:00:00+00:00,0.6782,0.7432,0.6782,0.7432,259155.0
2025-09-05 04:00:00+00:00,0.72,0.8,0.708,0.7812,226969.0
2025-09-08 04:00:00+00:00,0.7578,0.78,0.73,0.7545,192250.0
2025-09-09 04:00:00+00:00,0.7542,0.7997,0.73,0.7503,427205.0
2025-09-10 04:00:00+00:00,1.69,2.82,0.99,1.08,141851674.0
2025-09-11 04:00:00+00:00,1.06,1.06,0.84,1.05,4089790.0
