Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,2.83,3.1,2.75,2.94,69126.0
2024-12-03 05:00:00+00:00,2.9715,3.0227,2.83,2.87,20331.0
2024-12-04 05:00:00+00:00,2.96,2.96,2.76,2.76,38975.0
2024-12-05 05:00:00+00:00,2.76,2.86,2.56,2.56,91308.0
2024-12-06 05:00:00+00:00,2.71,2.8,2.5601,2.8,52756.0
2024-12-09 05:00:00+00:00,2.8,2.9586,2.8,2.9,15250.0
2024-12-10 05:00:00+00:00,2.93,3.07,2.91,3.05,35842.0
2024-12-11 05:00:00+00:00,3.05,3.05,2.88,2.88,17807.0
2024-12-12 05:00:00+00:00,2.77,2.92,2.77,2.815,9567.0
2024-12-13 05:00:00+00:00,2.77,2.97,2.73,2.97,31667.0
2024-12-16 05:00:00+00:00,3.11,3.39,3.0,3.27,92132.0
2024-12-17 05:00:00+00:00,3.2497,3.39,3.01,3.01,50320.0
2024-12-18 05:00:00+00:00,3.04,3.1135,2.9,2.9,38519.0
2024-12-19 05:00:00+00:00,2.9,3.3473,2.8101,3.07,136103.0
2024-12-20 05:00:00+00:00,3.28,3.318,2.89,3.05,72163.0
2024-12-23 05:00:00+00:00,3.05,3.1356,2.91,3.03,15747.0
2024-12-24 05:00:00+00:00,3.03,3.1,3.0,3.04,10995.0
2024-12-26 05:00:00+00:00,3.19,3.19,3.06,3.12,47415.0
2024-12-27 05:00:00+00:00,3.1099,3.15,3.001,3.12,53647.0
2024-12-30 05:00:00+00:00,3.02,3.12,3.0097,3.12,46310.0
2024-12-31 05:00:00+00:00,3.17,3.19,3.0436,3.19,33577.0
2025-01-02 05:00:00+00:00,3.2,3.6,3.2,3.32,56110.0
2025-01-03 05:00:00+00:00,3.36,3.61,3.3553,3.43,38841.0
2025-01-06 05:00:00+00:00,3.54,3.58,2.97,3.02,104257.0
2025-01-07 05:00:00+00:00,3.08,3.1,2.99,2.99,45922.0
