Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,1.96,2.03,1.86,1.87,19019.0
2025-03-04 05:00:00+00:00,1.8901,2.03,1.8,1.8,60362.0
2025-03-05 05:00:00+00:00,1.7914,1.8,1.77,1.77,4465.0
2025-03-06 05:00:00+00:00,1.8242,2.0056,1.7,1.7,18578.0
2025-03-07 05:00:00+00:00,1.7,1.9972,1.7,1.78,9447.0
2025-03-10 04:00:00+00:00,1.8,1.8,1.59,1.69,32896.0
2025-03-11 04:00:00+00:00,1.7,1.73,1.31,1.46,4140826.0
2025-03-12 04:00:00+00:00,1.44,1.55,1.43,1.55,49906.0
2025-03-13 04:00:00+00:00,1.48,1.57,1.39,1.45,457042.0
2025-03-14 04:00:00+00:00,1.3,1.419,1.2,1.37,100952.0
2025-03-17 04:00:00+00:00,1.37,1.487,1.3,1.39,34800.0
2025-03-18 04:00:00+00:00,1.32,1.57,1.3,1.53,68243.0
2025-03-19 04:00:00+00:00,1.48,1.6896,1.42,1.63,31702.0
2025-03-20 04:00:00+00:00,1.57,1.66,1.5104,1.63,8022.0
2025-03-21 04:00:00+00:00,1.54,1.69,1.54,1.56,18997.0
2025-03-24 04:00:00+00:00,1.59,1.69,1.59,1.69,11571.0
2025-03-25 04:00:00+00:00,1.6476,1.678,1.53,1.6,4637.0
2025-03-26 04:00:00+00:00,1.59,1.84,1.54,1.84,155698.0
2025-03-27 04:00:00+00:00,1.6901,1.83,1.6901,1.83,15342.0
2025-03-28 04:00:00+00:00,1.6421,1.82,1.6421,1.67,8026.0
2025-03-31 04:00:00+00:00,1.6501,1.83,1.61,1.83,29509.0
2025-04-01 04:00:00+00:00,1.8,1.85,1.6,1.79,304471.0
2025-04-02 04:00:00+00:00,1.6101,1.83,1.6101,1.72,53057.0
2025-04-03 04:00:00+00:00,1.72,1.77,1.565,1.58,104179.0
2025-04-04 04:00:00+00:00,1.59,1.74,1.49,1.64,75307.0
2025-04-07 04:00:00+00:00,1.58,1.7699,1.52,1.73,59126.0
2025-04-08 04:00:00+00:00,1.66,1.67,1.52,1.52,27791.0
2025-04-09 04:00:00+00:00,1.65,1.65,1.48,1.58,158989.0
2025-04-10 04:00:00+00:00,1.52,1.62,1.111,1.2,185892.0
2025-04-11 04:00:00+00:00,1.16,1.35,0.9601,1.1,193969.0
2025-04-14 04:00:00+00:00,1.25,1.43,1.1,1.3195,1707054.0
2025-04-15 04:00:00+00:00,1.52,1.66,1.255,1.32,1990439.0
2025-04-16 04:00:00+00:00,1.26,1.43,1.09,1.2,406384.0
2025-04-17 04:00:00+00:00,1.16,1.24,1.13,1.19,95333.0
