Date,Open,High,Low,Close,Volume
2025-06-02 04:00:00+00:00,21.46,21.54,21.12,21.25,2322580.0
2025-06-03 04:00:00+00:00,21.35,21.54,21.11,21.41,1888932.0
2025-06-04 04:00:00+00:00,21.49,21.66,21.32,21.32,1779852.0
2025-06-05 04:00:00+00:00,21.27,21.485,21.1003,21.32,2213515.0
2025-06-06 04:00:00+00:00,21.47,21.51,21.33,21.41,1657338.0
2025-06-09 04:00:00+00:00,21.46,21.77,21.46,21.64,1893690.0
2025-06-10 04:00:00+00:00,21.8,22.32,21.765,22.26,2160783.0
2025-06-11 04:00:00+00:00,22.42,22.465,21.91,22.05,1867980.0
2025-06-12 04:00:00+00:00,21.92,22.355,21.75,22.275,1601410.0
2025-06-13 04:00:00+00:00,22.01,22.15,21.59,21.72,1756080.0
2025-06-16 04:00:00+00:00,21.92,22.155,21.8,22.07,1704686.0
2025-06-17 04:00:00+00:00,21.9,21.97,21.33,21.45,2311691.0
2025-06-18 04:00:00+00:00,21.45,21.64,21.355,21.39,2147012.0
2025-06-20 04:00:00+00:00,21.57,21.57,21.07,21.25,3826076.0
2025-06-23 04:00:00+00:00,21.24,21.55,21.05,21.54,1800116.0
2025-06-24 04:00:00+00:00,21.71,21.895,21.4501,21.79,1871025.0
2025-06-25 04:00:00+00:00,21.8,21.87,21.56,21.62,2060729.0
2025-06-26 04:00:00+00:00,21.68,21.875,21.58,21.86,1404928.0
2025-06-27 04:00:00+00:00,22.02,22.145,21.805,21.99,2900199.0
2025-06-30 04:00:00+00:00,21.96,22.065,21.8,21.99,2730427.0
2025-07-01 04:00:00+00:00,21.84,23.2,21.81,22.86,2460132.0
2025-07-02 04:00:00+00:00,22.95,23.29,22.81,23.215,2047755.0
2025-07-03 04:00:00+00:00,23.38,23.38,23.09,23.13,1261265.0
2025-07-07 04:00:00+00:00,22.82,23.2,22.65,22.75,1941228.0
2025-07-08 04:00:00+00:00,22.78,23.26,22.7,22.99,2541496.0
2025-07-09 04:00:00+00:00,22.92,23.235,22.79,23.04,2104719.0
2025-07-10 04:00:00+00:00,23.07,23.59,22.98,23.28,3860272.0
2025-07-11 04:00:00+00:00,23.3,23.32,23.055,23.08,2217873.0
2025-07-14 04:00:00+00:00,23.19,23.255,22.835,23.06,1996948.0
2025-07-15 04:00:00+00:00,23.15,23.22,22.64,22.66,1492705.0
2025-07-16 04:00:00+00:00,22.96,23.47,22.935,23.21,3852268.0
2025-07-17 04:00:00+00:00,23.29,23.42,22.93,23.13,2192216.0
2025-07-18 04:00:00+00:00,23.31,23.31,22.83,22.94,2803326.0
2025-07-21 04:00:00+00:00,23.13,23.5,23.05,23.15,2665426.0
2025-07-22 04:00:00+00:00,23.14,23.45,23.06,23.38,2956816.0
2025-07-23 04:00:00+00:00,23.7,23.99,23.46,23.86,3443118.0
2025-07-24 04:00:00+00:00,23.65,23.815,23.345,23.6,3885386.0
2025-07-25 04:00:00+00:00,27.545,27.545,26.49,27.42,6814591.0
2025-07-28 04:00:00+00:00,27.37,27.96,26.91,27.92,4641212.0
2025-07-29 04:00:00+00:00,27.98,27.98,27.235,27.46,2830150.0
2025-07-30 04:00:00+00:00,27.41,27.6,26.87,27.03,2587844.0
2025-07-31 04:00:00+00:00,26.85,27.033,26.33,26.42,2220179.0
