Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,6.55,6.68,6.45,6.62,640262.0
2025-07-02 04:00:00+00:00,6.65,7.08,6.58,7.06,893779.0
2025-07-03 04:00:00+00:00,7.09,7.13,6.95,7.11,355315.0
2025-07-07 04:00:00+00:00,7.11,7.12,6.84,6.93,438781.0
2025-07-08 04:00:00+00:00,6.94,7.2909,6.885,7.25,385354.0
2025-07-09 04:00:00+00:00,7.2,7.2349,7.05,7.1,329190.0
2025-07-10 04:00:00+00:00,7.08,7.28,6.9601,7.24,278444.0
2025-07-11 04:00:00+00:00,7.22,7.38,7.07,7.11,442084.0
2025-07-14 04:00:00+00:00,7.11,7.11,6.86,7.02,433604.0
2025-07-15 04:00:00+00:00,7.06,7.13,6.88,6.89,417781.0
2025-07-16 04:00:00+00:00,6.9,6.91,6.7,6.72,524182.0
2025-07-17 04:00:00+00:00,6.66,6.74,6.57,6.68,438097.0
2025-07-18 04:00:00+00:00,6.79,6.82,6.64,6.64,284791.0
2025-07-21 04:00:00+00:00,6.74,6.77,6.56,6.64,409065.0
2025-07-22 04:00:00+00:00,6.67,6.97,6.6524,6.92,618891.0
2025-07-23 04:00:00+00:00,6.99,7.135,6.89,6.96,663774.0
2025-07-24 04:00:00+00:00,6.93,6.93,6.75,6.86,566976.0
2025-07-25 04:00:00+00:00,6.83,6.9399,6.72,6.73,360489.0
2025-07-28 04:00:00+00:00,6.8,6.8787,6.721,6.78,473080.0
2025-07-29 04:00:00+00:00,6.79,6.87,6.65,6.78,809945.0
2025-07-30 04:00:00+00:00,6.74,6.8088,6.55,6.59,608735.0
2025-07-31 04:00:00+00:00,6.54,6.63,6.39,6.44,386285.0
2025-08-01 04:00:00+00:00,6.38,6.45,6.21,6.39,626537.0
2025-08-04 04:00:00+00:00,6.39,6.52,6.33,6.38,394494.0
2025-08-05 04:00:00+00:00,6.45,6.71,6.4001,6.64,520927.0
2025-08-06 04:00:00+00:00,6.65,6.88,6.38,6.51,754494.0
2025-08-07 04:00:00+00:00,6.6,6.6898,6.54,6.56,503092.0
2025-08-08 04:00:00+00:00,6.6,6.655,6.42,6.46,318251.0
2025-08-11 04:00:00+00:00,6.47,6.68,6.4188,6.6,858368.0
2025-08-12 04:00:00+00:00,6.58,6.869,6.57,6.63,1159362.0
2025-08-13 04:00:00+00:00,6.58,6.75,6.5739,6.73,579689.0
2025-08-14 04:00:00+00:00,6.65,6.6799,6.5,6.64,677917.0
2025-08-15 04:00:00+00:00,6.63,6.74,6.61,6.66,503500.0
2025-08-18 04:00:00+00:00,6.65,6.8386,6.58,6.65,1037937.0
2025-08-19 04:00:00+00:00,6.64,6.65,6.14,6.14,1417024.0
2025-08-20 04:00:00+00:00,6.15,6.345,6.145,6.33,927479.0
2025-08-21 04:00:00+00:00,6.37,6.49,6.34,6.47,668619.0
2025-08-22 04:00:00+00:00,6.53,6.67,6.52,6.62,582251.0
2025-08-25 04:00:00+00:00,6.63,6.63,6.425,6.43,390611.0
2025-08-26 04:00:00+00:00,6.42,6.42,6.275,6.33,1049512.0
2025-08-27 04:00:00+00:00,6.31,6.475,6.29,6.45,782635.0
2025-08-28 04:00:00+00:00,6.42,6.56,6.3984,6.49,364672.0
2025-08-29 04:00:00+00:00,6.61,6.67,6.54,6.6,307687.0
2025-09-02 04:00:00+00:00,6.59,6.685,6.48,6.57,507379.0
2025-09-03 04:00:00+00:00,6.47,6.5468,6.178,6.24,967162.0
2025-09-04 04:00:00+00:00,6.25,6.54,6.2,6.44,840954.0
2025-09-05 04:00:00+00:00,6.43,6.49,6.325,6.33,399397.0
2025-09-08 04:00:00+00:00,6.33,6.34,6.06,6.14,1332868.0
2025-09-09 04:00:00+00:00,6.18,6.39,6.18,6.25,679005.0
2025-09-10 04:00:00+00:00,6.25,6.47,6.25,6.47,791641.0
2025-09-11 04:00:00+00:00,6.44,6.46,6.33,6.41,440755.0
2025-09-12 04:00:00+00:00,6.39,6.47,6.23,6.3,364938.0
2025-09-15 04:00:00+00:00,6.4,6.4,6.175,6.21,641544.0
2025-09-16 04:00:00+00:00,6.29,6.68,6.2301,6.57,3687312.0
2025-09-17 04:00:00+00:00,6.51,6.77,6.49,6.6,2223225.0
2025-09-18 04:00:00+00:00,6.74,6.74,6.22,6.26,2392947.0
2025-09-19 04:00:00+00:00,6.21,6.27,5.965,5.97,1505764.0
2025-09-22 04:00:00+00:00,6.07,6.25,6.025,6.06,1441555.0
2025-09-23 04:00:00+00:00,6.1,6.25,6.09,6.22,2874612.0
2025-09-24 04:00:00+00:00,6.405,6.68,6.325,6.56,2398041.0
2025-09-25 04:00:00+00:00,7.085,7.205,6.665,6.75,3000786.0
2025-09-26 04:00:00+00:00,6.88,6.9,6.615,6.85,1803069.0
2025-09-29 04:00:00+00:00,6.83,6.83,6.52,6.56,1356045.0
2025-09-30 04:00:00+00:00,6.51,6.51,6.28,6.37,1359568.0
2025-10-01 04:00:00+00:00,6.38,6.48,6.28,6.45,1395545.0
2025-10-02 04:00:00+00:00,6.45,6.73,6.37,6.41,1136942.0
2025-10-03 04:00:00+00:00,6.44,6.56,6.41,6.52,901600.0
2025-10-06 04:00:00+00:00,6.58,6.6,6.4738,6.51,980626.0
2025-10-07 04:00:00+00:00,6.49,6.54,6.3,6.31,1305436.0
2025-10-08 04:00:00+00:00,6.31,6.49,6.31,6.47,845406.0
2025-10-09 04:00:00+00:00,6.5,6.66,6.46,6.57,815453.0
2025-10-10 04:00:00+00:00,6.44,6.45,6.215,6.31,2118484.0
2025-10-13 04:00:00+00:00,6.32,6.435,6.21,6.35,1018674.0
2025-10-14 04:00:00+00:00,6.22,6.42,6.16,6.3,1162398.0
2025-10-15 04:00:00+00:00,6.38,6.3999,6.225,6.36,816444.0
2025-10-16 04:00:00+00:00,6.4,6.4,6.105,6.21,1109246.0
2025-10-17 04:00:00+00:00,6.24,6.24,5.945,5.96,1336944.0
2025-10-20 04:00:00+00:00,5.98,6.055,5.88,6.0,930934.0
2025-10-21 04:00:00+00:00,5.94,6.04,5.75,5.97,1546709.0
2025-10-22 04:00:00+00:00,6.02,6.7,6.0198,6.68,3349320.0
2025-10-23 04:00:00+00:00,6.85,7.11,6.81,7.11,2820964.0
2025-10-24 04:00:00+00:00,7.08,7.19,6.78,6.8,2232474.0
2025-10-27 04:00:00+00:00,7.12,7.29,6.885,7.13,2035170.0
2025-10-28 04:00:00+00:00,6.99,7.14,6.8,6.82,1520231.0
2025-10-29 04:00:00+00:00,6.86,6.86,6.52,6.6,1225139.0
2025-10-30 04:00:00+00:00,8.07,8.27,7.84,8.21,5362881.0
2025-10-31 04:00:00+00:00,8.14,8.24,7.9816,8.09,1583597.0
2025-11-03 05:00:00+00:00,8.01,8.045,7.795,7.97,1166514.0
2025-11-04 05:00:00+00:00,7.79,7.94,7.66,7.84,1026862.0
2025-11-05 05:00:00+00:00,7.75,7.88,7.695,7.73,720285.0
2025-11-06 05:00:00+00:00,8.3,8.52,8.1,8.3,2283040.0
2025-11-07 05:00:00+00:00,8.27,8.3,8.1,8.2,882337.0
2025-11-10 05:00:00+00:00,8.2,8.3,8.0,8.1,778469.0
2025-11-11 05:00:00+00:00,8.11,8.415,8.105,8.31,893943.0
2025-11-12 05:00:00+00:00,8.18,8.35,7.99,8.03,722574.0
2025-11-13 05:00:00+00:00,8.05,8.06,7.77,7.89,668088.0
2025-11-14 05:00:00+00:00,7.9,7.94,7.79,7.9,727003.0
2025-11-17 05:00:00+00:00,7.78,7.91,7.71,7.71,608917.0
2025-11-18 05:00:00+00:00,7.72,7.78,7.6,7.78,631417.0
2025-11-19 05:00:00+00:00,7.58,8.045,7.5,8.01,649371.0
2025-11-20 05:00:00+00:00,8.0,8.13,7.77,7.79,860628.0
2025-11-21 05:00:00+00:00,7.67,7.825,7.59,7.7,767140.0
2025-11-24 05:00:00+00:00,7.7,7.855,7.59,7.6,984022.0
2025-11-25 05:00:00+00:00,7.55,7.97,7.525,7.92,636815.0
2025-11-26 05:00:00+00:00,8.02,8.17,7.94,8.06,869884.0
2025-11-28 05:00:00+00:00,8.11,8.2335,8.09,8.16,338875.0
2025-12-01 05:00:00+00:00,8.06,8.37,8.05,8.27,584179.0
2025-12-02 05:00:00+00:00,8.28,8.28,8.0701,8.14,456587.0
2025-12-03 05:00:00+00:00,8.18,8.41,8.1799,8.29,588872.0
2025-12-04 05:00:00+00:00,8.45,8.63,8.4,8.41,717690.0
2025-12-05 05:00:00+00:00,8.42,8.53,8.25,8.25,582113.0
2025-12-08 05:00:00+00:00,8.15,8.32,8.13,8.15,264645.0
2025-12-09 05:00:00+00:00,7.15,7.595,7.14,7.48,2154194.0
2025-12-10 05:00:00+00:00,7.52,7.56,7.175,7.32,968160.0
2025-12-11 05:00:00+00:00,7.24,7.245,7.11,7.21,923894.0
2025-12-12 05:00:00+00:00,7.22,7.24,7.11,7.17,549351.0
2025-12-15 05:00:00+00:00,7.13,7.33,7.06,7.2,720869.0
2025-12-16 05:00:00+00:00,7.08,7.134,6.97,7.04,735559.0
2025-12-17 05:00:00+00:00,7.14,7.14,7.0,7.07,447958.0
2025-12-18 05:00:00+00:00,7.06,7.24,6.96,7.18,809213.0
2025-12-19 05:00:00+00:00,7.18,7.25,7.07,7.09,480936.0
2025-12-22 05:00:00+00:00,7.16,7.265,7.13,7.18,344310.0
2025-12-23 05:00:00+00:00,7.23,7.28,7.145,7.26,304175.0
2025-12-24 05:00:00+00:00,7.21,7.27,7.16,7.26,147849.0
2025-12-26 05:00:00+00:00,7.22,7.29,7.19,7.27,228655.0
2025-12-29 05:00:00+00:00,7.28,7.345,7.24,7.32,543395.0
2025-12-30 05:00:00+00:00,7.36,7.42,7.2306,7.37,417843.0
2025-12-31 05:00:00+00:00,7.42,7.455,7.33,7.41,276935.0
