Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,5.259,5.259,4.6356,4.8025,99010.992
2024-12-03 05:00:00+00:00,4.82,5.2239,4.741,5.0571,60525.321
2024-12-04 05:00:00+00:00,5.1712,5.1712,4.6093,4.6883,75260.564
2024-12-05 05:00:00+00:00,4.7937,4.9342,4.3723,4.3723,45097.566
2024-12-06 05:00:00+00:00,5.4083,6.265,4.8727,5.9438,740137.007
2024-12-09 05:00:00+00:00,5.9438,5.9691,5.5838,5.8209,90936.621
2024-12-10 05:00:00+00:00,5.8297,6.8568,5.6476,6.2335,107796.099
2024-12-11 05:00:00+00:00,6.1457,6.2072,5.9701,6.014,26876.983
2024-12-12 05:00:00+00:00,5.9965,6.1457,5.7594,5.8648,32876.096
2024-12-13 05:00:00+00:00,6.72,6.97,6.5654,6.87,28791.0
2024-12-16 05:00:00+00:00,7.0,7.1,6.2973,6.48,80544.0
2024-12-17 05:00:00+00:00,6.35,6.6925,5.71,5.92,77921.0
2024-12-18 05:00:00+00:00,5.79,6.24,5.79,5.81,28756.0
2024-12-19 05:00:00+00:00,5.76,6.25,5.35,5.35,83666.0
2024-12-20 05:00:00+00:00,5.36,5.78,5.28,5.38,43390.0
2024-12-23 05:00:00+00:00,5.35,5.64,5.2,5.36,40536.0
2024-12-24 05:00:00+00:00,5.44,5.55,5.0001,5.2999,16199.0
2024-12-26 05:00:00+00:00,5.58,5.73,5.31,5.43,90328.0
2024-12-27 05:00:00+00:00,5.49,5.5,5.11,5.38,52012.0
2024-12-30 05:00:00+00:00,5.22,5.45,4.78,5.14,49189.0
2024-12-31 05:00:00+00:00,5.19,5.2702,4.8401,4.86,47705.0
2025-01-02 05:00:00+00:00,4.95,5.0384,4.785,5.02,63372.0
2025-01-03 05:00:00+00:00,5.19,5.47,5.01,5.46,51171.0
2025-01-06 05:00:00+00:00,5.85,6.08,5.51,5.74,166977.0
2025-01-07 05:00:00+00:00,5.77,6.48,5.41,5.46,288316.0
