Date,Open,High,Low,Close,Volume
2025-12-02 05:00:00+00:00,3.85,4.0,3.7627,3.81,10174.0
2025-12-03 05:00:00+00:00,3.7,4.0,3.7,3.79,7379.0
2025-12-04 05:00:00+00:00,3.79,3.9598,3.7884,3.85,6464.0
2025-12-05 05:00:00+00:00,3.7747,4.0,3.64,3.64,8127.0
2025-12-08 05:00:00+00:00,3.68,4.0,3.68,3.9,15224.0
2025-12-09 05:00:00+00:00,3.94,3.94,3.75,3.75,12978.0
2025-12-10 05:00:00+00:00,3.75,4.0,3.75,3.85,15669.0
2025-12-11 05:00:00+00:00,3.85,3.95,3.8,3.91,2122.0
2025-12-12 05:00:00+00:00,3.998,4.41,3.97,4.1,32572.0
2025-12-15 05:00:00+00:00,4.09,4.3803,4.09,4.38,2384.0
2025-12-16 05:00:00+00:00,4.19,4.225,4.02,4.08,14692.0
2025-12-17 05:00:00+00:00,4.1,4.16,4.09,4.14,3249.0
2025-12-18 05:00:00+00:00,4.1823,4.2673,4.15,4.2673,2648.0
2025-12-19 05:00:00+00:00,4.2,4.5,4.15,4.15,4328.0
2025-12-22 05:00:00+00:00,4.15,4.45,4.09,4.18,15525.0
2025-12-23 05:00:00+00:00,4.26,4.3,4.15,4.2,4424.0
2025-12-24 05:00:00+00:00,4.2,4.3001,4.2,4.2619,4352.0
2025-12-26 05:00:00+00:00,4.24,4.29,4.06,4.06,9881.0
2025-12-29 05:00:00+00:00,4.05,4.2,4.04,4.05,25363.0
2025-12-30 05:00:00+00:00,4.2002,4.35,4.12,4.2,7040.0
2025-12-31 05:00:00+00:00,4.39,4.5332,4.2,4.2,9427.0
2026-01-02 05:00:00+00:00,4.3186,4.3186,4.12,4.12,10847.0
2026-01-05 05:00:00+00:00,4.13,4.29,4.1287,4.22,6685.0
2026-01-06 05:00:00+00:00,4.3,4.3876,4.1,4.1,11058.0
2026-01-07 05:00:00+00:00,4.05,4.22,4.05,4.135,2000.0
2026-01-08 05:00:00+00:00,4.2465,4.57,3.85,3.902,36142.0
2026-01-09 05:00:00+00:00,3.81,3.84,3.7,3.7,2249.0
2026-01-12 05:00:00+00:00,3.72,3.87,3.72,3.75,3007.0
2026-01-13 05:00:00+00:00,3.72,3.72,3.69,3.69,1104.0
2026-01-14 05:00:00+00:00,3.7,3.7,3.6,3.6,3021.0
2026-01-15 05:00:00+00:00,3.62,3.645,3.471,3.471,7543.0
2026-01-16 05:00:00+00:00,3.5,3.6,3.28,3.28,9674.0
2026-01-20 05:00:00+00:00,3.3557,3.3557,3.24,3.27,2054.0
2026-01-21 05:00:00+00:00,3.29,3.3634,3.29,3.29,1690.0
2026-01-22 05:00:00+00:00,3.3,3.3295,3.27,3.311,1838.0
2026-01-23 05:00:00+00:00,3.28,3.3665,3.28,3.341,5664.0
2026-01-26 05:00:00+00:00,3.2902,3.49,3.25,3.28,4514.0
2026-01-27 05:00:00+00:00,3.27,3.3684,3.27,3.3,1441.0
2026-01-28 05:00:00+00:00,3.31,3.31,2.8001,2.905,30072.0
2026-01-29 05:00:00+00:00,2.91,3.09,2.9,3.03,3833.0
2026-01-30 05:00:00+00:00,3.1815,3.1815,3.0,3.0,4661.0
2026-02-02 05:00:00+00:00,3.02,3.0587,2.921,2.921,7462.0
2026-02-03 05:00:00+00:00,2.99,3.18,2.945,2.945,2706.0
2026-02-04 05:00:00+00:00,2.99,2.99,2.96,2.96,804.0
2026-02-05 05:00:00+00:00,2.93,2.949,2.9,2.949,2077.0
2026-02-06 05:00:00+00:00,2.92,2.92,2.9,2.9,2311.0
2026-02-09 05:00:00+00:00,2.88,3.01,2.88,2.89,2919.0
2026-02-10 05:00:00+00:00,2.9,3.065,2.9,2.92,5874.0
2026-02-11 05:00:00+00:00,2.94,2.94,2.835,2.86,6794.0
2026-02-12 05:00:00+00:00,3.4,3.4,2.88,3.12,8641.0
2026-02-13 05:00:00+00:00,3.21,3.25,2.92,3.0895,6090.0
2026-02-17 05:00:00+00:00,3.0,3.25,2.9,2.9,5666.0
2026-02-18 05:00:00+00:00,2.9,3.0,2.9,2.92,1763.0
2026-02-19 05:00:00+00:00,2.91,2.94,2.9,2.92,1398.0
2026-02-20 05:00:00+00:00,2.94,3.095,2.93,2.93,2135.0
2026-02-23 05:00:00+00:00,2.922,2.98,2.89,2.9,3442.990549
2026-02-24 05:00:00+00:00,2.922,2.96,2.8,2.8,2719.253946
2026-02-25 05:00:00+00:00,2.88,2.88,2.82,2.82,1556.397085
2026-02-26 05:00:00+00:00,2.84,2.8715,2.8,2.83,1719.209003
2026-02-27 05:00:00+00:00,2.82,2.87,2.82,2.87,1366.292897
