Date,Open,High,Low,Close,Volume
2023-12-01 05:00:00+00:00,600.0,675.0,375.0,427.5,47097.0
2023-12-04 05:00:00+00:00,391.5,420.0,372.0,378.0,5933.0
2023-12-05 05:00:00+00:00,394.5,420.0,379.5,390.0,3393.0
2023-12-06 05:00:00+00:00,420.0,420.0,367.5,375.0,5997.0
2023-12-07 05:00:00+00:00,361.5,369.0,343.5,357.0,2694.0
2023-12-08 05:00:00+00:00,354.0,357.0,339.0,357.0,1312.0
2023-12-11 05:00:00+00:00,346.5,415.5,340.5,381.0,4565.0
2023-12-12 05:00:00+00:00,396.0,405.0,285.0,313.5,6173.0
2023-12-13 05:00:00+00:00,292.5,336.0,280.5,330.0,3639.0
2023-12-14 05:00:00+00:00,312.0,321.0,289.5,306.0,1924.0
2023-12-15 05:00:00+00:00,348.0,364.5,316.5,345.0,6985.0
2023-12-18 05:00:00+00:00,351.0,352.5,307.5,318.0,1703.0
2023-12-19 05:00:00+00:00,318.0,324.8999938964844,288.0,310.5,1865.0
2023-12-20 05:00:00+00:00,301.5,321.0,271.5,279.0,3404.0
2023-12-21 05:00:00+00:00,285.0,327.0,277.5,318.0,3569.0
2023-12-22 05:00:00+00:00,321.0,358.5,301.5,345.0,2468.0
2023-12-26 05:00:00+00:00,333.0,361.5,316.5,328.5,2110.0
2023-12-27 05:00:00+00:00,333.0,333.0,312.0,322.5,1457.0
2023-12-28 05:00:00+00:00,321.0,372.0,310.5,354.0,3599.0
2023-12-29 05:00:00+00:00,352.5,355.5,318.0,325.5,1867.0
2024-01-02 05:00:00+00:00,312.0,371.8500061035156,312.0,354.0,2793.0
2024-01-03 05:00:00+00:00,340.5,349.5,321.0,345.0,1280.0
2024-01-04 05:00:00+00:00,339.0,357.0,328.5,351.0,1203.0
2024-01-05 05:00:00+00:00,352.5,370.5,319.5,319.5,1070.0
2024-01-08 05:00:00+00:00,331.5,339.0,300.0,312.0,1661.0
2024-01-09 05:00:00+00:00,312.0,312.0,289.5,297.0,1221.0
2024-01-10 05:00:00+00:00,291.0,306.0,270.0,288.0,1965.0
2024-01-11 05:00:00+00:00,285.0,292.5,274.5,292.5,1193.0
2024-01-12 05:00:00+00:00,294.0,294.0,274.5,277.5,848.0
2024-01-16 05:00:00+00:00,277.5,281.8500061035156,255.0,261.0,1704.0
2024-01-17 05:00:00+00:00,261.0,289.5,256.5,283.5,1581.0
2024-01-18 05:00:00+00:00,285.0,307.5,274.5,283.5,1833.0
2024-01-19 05:00:00+00:00,274.5,291.0,255.0,255.0,1463.0
2024-01-22 05:00:00+00:00,247.5,268.5,235.5,255.0,2084.0
2024-01-23 05:00:00+00:00,256.5,264.0,235.5,246.0,2090.0
2024-01-24 05:00:00+00:00,249.0,250.5,220.5,247.5,1195.0
2024-01-25 05:00:00+00:00,240.0,258.1499938964844,228.0,240.0,908.0
2024-01-26 05:00:00+00:00,240.0,259.5,240.0,249.0,1543.0
2024-01-29 05:00:00+00:00,306.0,315.0,237.0,258.0,70301.0
2024-01-30 05:00:00+00:00,247.5,247.5,226.5,240.0,5822.0
2024-01-31 05:00:00+00:00,228.0,244.5,211.5,240.0,2729.0
2024-02-01 05:00:00+00:00,235.5,277.5,232.5,273.0,9313.0
2024-02-02 05:00:00+00:00,255.0,285.0,240.0,256.5,4813.0
2024-02-05 05:00:00+00:00,258.0,259.5,247.5,259.5,1267.0
2024-02-06 05:00:00+00:00,255.0,259.5,234.0,240.0,2952.0
2024-02-07 05:00:00+00:00,225.0,225.0,208.5,211.5,4450.0
2024-02-08 05:00:00+00:00,217.5,228.0,198.0,220.5,4567.0
2024-02-09 05:00:00+00:00,211.5,231.0,211.5,226.5,2273.0
2024-02-12 05:00:00+00:00,223.5,232.5,217.5,222.0,1616.0
2024-02-13 05:00:00+00:00,217.5,222.75,190.5,196.5,2775.0
2024-02-14 05:00:00+00:00,196.5,201.0,184.5,198.0,2867.0
2024-02-15 05:00:00+00:00,193.5,199.5,189.0,195.0,1107.0
2024-02-16 05:00:00+00:00,192.0,193.5,172.5,178.5,3978.0
2024-02-20 05:00:00+00:00,180.0,184.1999969482422,157.5,172.5,4598.0
2024-02-21 05:00:00+00:00,171.0,171.0,154.5,162.0,1961.0
2024-02-22 05:00:00+00:00,159.0,189.0,157.5,171.0,7571.0
2024-02-23 05:00:00+00:00,168.0,169.5,157.9499969482422,159.0,1353.0
2024-02-26 05:00:00+00:00,156.0,175.35000610351562,156.0,171.3000030517578,1501.0
2024-02-27 05:00:00+00:00,184.5,195.0,174.0,195.0,3641.0
2024-02-28 05:00:00+00:00,186.0,211.5,183.6000061035156,207.0,4036.0
