Date,Open,High,Low,Close,Volume
2025-07-07 04:00:00+00:00,11.865,12.27,11.865,12.27,721
2025-07-08 04:00:00+00:00,12.09,12.25,12.09,12.25,508
2025-07-10 04:00:00+00:00,12.42,13.265,11.77,11.77,4003
2025-07-11 04:00:00+00:00,12.0,12.0,11.96,11.96,507
2025-07-14 04:00:00+00:00,12.0,14.0,12.0,13.1,9136
2025-07-15 04:00:00+00:00,12.775,13.34,12.775,13.04,2778
2025-07-16 04:00:00+00:00,14.0,14.0,11.1,11.1,6712
2025-07-17 04:00:00+00:00,11.98,12.95,10.81,10.9,7715
2025-07-18 04:00:00+00:00,11.84,11.84,11.24,11.24,1612
2025-07-21 04:00:00+00:00,10.76,10.76,10.76,10.76,359
2025-07-22 04:00:00+00:00,12.04,12.04,11.18,11.18,2148
2025-07-23 04:00:00+00:00,11.04,11.04,11.04,11.04,608
2025-07-28 04:00:00+00:00,11.4113,11.4113,10.76,10.76,682
2025-07-29 04:00:00+00:00,11.15,11.15,9.57,10.03,10487
2025-07-30 04:00:00+00:00,10.8,11.01,10.665,10.7,8397
2025-07-31 04:00:00+00:00,10.61,11.78,10.61,11.75,4730
2025-08-01 04:00:00+00:00,11.7,11.89,11.02,11.06,2355
2025-08-04 04:00:00+00:00,10.8,10.8,10.8,10.8,2244
2025-08-05 04:00:00+00:00,10.9,12.38,10.9,11.79,4934
2025-08-06 04:00:00+00:00,11.01,11.12,11.01,11.12,1005
2025-08-07 04:00:00+00:00,10.81,10.81,10.81,10.81,2088
2025-08-08 04:00:00+00:00,11.0,12.48,11.0,12.48,4939
2025-08-11 04:00:00+00:00,12.48,12.9,11.56,11.57,8160
2025-08-12 04:00:00+00:00,11.8,12.88,11.51,12.73,11268
2025-08-13 04:00:00+00:00,12.1,12.1,12.1,12.1,271
2025-08-14 04:00:00+00:00,12.5,12.54,12.5,12.5,516
2025-08-15 04:00:00+00:00,11.25,13.57,11.25,12.52,5193
2025-08-18 04:00:00+00:00,12.27,12.48,12.27,12.27,3115
2025-08-19 04:00:00+00:00,12.25,12.79,12.25,12.38,2273
2025-08-20 04:00:00+00:00,12.47,14.3,12.47,14.3,4277
2025-08-21 04:00:00+00:00,14.4,14.42,13.28,13.28,3063
2025-08-22 04:00:00+00:00,13.1,13.88,13.02,13.88,4244
2025-08-25 04:00:00+00:00,13.32,13.32,13.32,13.32,2088
2025-08-26 04:00:00+00:00,13.31,14.01,13.31,14.01,3428
2025-08-27 04:00:00+00:00,14.5,14.65,13.52,14.6,6958
2025-08-28 04:00:00+00:00,14.16,15.08,14.02,15.08,3337
2025-08-29 04:00:00+00:00,15.9,16.78,15.9,16.61,9097
2025-09-02 04:00:00+00:00,17.0,17.0,16.42,16.42,822
2025-09-03 04:00:00+00:00,16.64,16.64,16.61,16.61,918
2025-09-04 04:00:00+00:00,17.31,18.755,17.26,18.0,4421
2025-09-05 04:00:00+00:00,16.4803,17.42,16.4803,17.42,1832
2025-09-08 04:00:00+00:00,18.22,18.55,18.22,18.36,3380
2025-09-09 04:00:00+00:00,18.95,19.93,18.03,19.01,2725
2025-09-10 04:00:00+00:00,19.475,20.87,18.83,19.05,1037
2025-09-11 04:00:00+00:00,19.06,19.77,18.2718,19.1,1758
2025-09-12 04:00:00+00:00,19.97,19.97,19.94,19.94,456
2025-09-15 04:00:00+00:00,19.88,19.88,19.71,19.71,1234
2025-09-16 04:00:00+00:00,20.5,20.5,19.75,19.75,987
2025-09-17 04:00:00+00:00,18.87,19.27,18.8,19.27,790
2025-09-18 04:00:00+00:00,19.145,19.6,19.145,19.5124,613
2025-09-19 04:00:00+00:00,20.0,20.0,18.05,18.9,13973
