Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,10.48,10.48,10.47,10.48,78279.0
2025-03-04 05:00:00+00:00,10.48,10.48,10.48,10.48,1105.0
2025-03-05 05:00:00+00:00,10.48,10.48,10.48,10.48,11888.0
2025-03-06 05:00:00+00:00,10.5592,10.5592,10.52,10.5592,1019.0
2025-03-07 05:00:00+00:00,10.48,10.48,10.48,10.48,8421.0
2025-03-10 04:00:00+00:00,10.52,10.52,10.4853,10.5,668.0
2025-03-11 04:00:00+00:00,10.515,10.515,10.48,10.48,1021.0
2025-03-12 04:00:00+00:00,10.48,10.48,10.48,10.48,862.0
2025-03-13 04:00:00+00:00,10.4818,10.5071,10.48,10.5071,831.0
2025-03-14 04:00:00+00:00,10.54,10.54,10.54,10.54,102.0
2025-03-17 04:00:00+00:00,10.48,10.53,10.48,10.5,443080.0
2025-03-18 04:00:00+00:00,10.48,10.481,10.48,10.481,13363.0
2025-03-19 04:00:00+00:00,10.53,10.53,10.53,10.53,711.0
2025-03-25 04:00:00+00:00,10.51,10.51,10.48,10.5,1190.0
2025-03-28 04:00:00+00:00,10.48,10.48,10.48,10.48,1004.0
2025-04-02 04:00:00+00:00,10.48,10.48,10.48,10.48,568.0
2025-04-03 04:00:00+00:00,10.48,10.48,10.48,10.48,980.0
2025-04-08 04:00:00+00:00,10.48,10.4806,10.48,10.4806,3129.0
2025-04-09 04:00:00+00:00,10.48,10.4823,10.48,10.4819,3602.0
2025-04-10 04:00:00+00:00,10.48,10.48,10.48,10.48,749.0
2025-04-11 04:00:00+00:00,10.48,10.4801,10.48,10.4801,4045.0
2025-04-14 04:00:00+00:00,10.4815,10.4815,10.48,10.48,707.0
2025-04-17 04:00:00+00:00,10.49,10.49,10.49,10.49,1994.0
2025-04-21 04:00:00+00:00,10.5,10.5,10.49,10.49,1317.0
2025-04-22 04:00:00+00:00,10.5,10.5,10.5,10.5,425.0
2025-04-28 04:00:00+00:00,10.5,10.5,10.5,10.5,9069.0
2025-04-29 04:00:00+00:00,10.54,10.54,10.5,10.54,10943.0
2025-05-01 04:00:00+00:00,10.5,10.5,10.49,10.49,921.0
2025-05-08 04:00:00+00:00,10.51,10.51,10.51,10.51,5043.0
2025-05-12 04:00:00+00:00,10.53,10.54,10.53,10.54,3742.0
2025-05-13 04:00:00+00:00,10.53,10.54,10.53,10.53,15839.0
2025-05-15 04:00:00+00:00,10.53,10.5301,10.53,10.5301,2200.0
2025-05-19 04:00:00+00:00,10.53,10.5301,10.53,10.5301,804.0
2025-05-22 04:00:00+00:00,10.54,10.54,10.54,10.54,1502.0
2025-05-23 04:00:00+00:00,10.55,10.55,10.45,10.46,164977.0
2025-05-27 04:00:00+00:00,10.53,10.6,10.53,10.53,35215.0
2025-05-28 04:00:00+00:00,10.57,10.57,10.57,10.57,3649.0
2025-05-29 04:00:00+00:00,10.57,10.57,10.545,10.545,2156.0
2025-05-30 04:00:00+00:00,10.56,10.5636,10.56,10.5636,7980.0
2025-06-02 04:00:00+00:00,10.58,10.58,10.56,10.56,40772.0
2025-06-03 04:00:00+00:00,10.541,10.541,10.541,10.541,1019.0
2025-06-04 04:00:00+00:00,10.51,10.52,10.49,10.5,49340.0
2025-06-05 04:00:00+00:00,10.5,10.5001,10.46,10.49,133166.0
2025-06-06 04:00:00+00:00,10.48,10.5,10.48,10.49,73295.0
2025-06-09 04:00:00+00:00,10.49,10.5,10.48,10.5,52649.0
2025-06-10 04:00:00+00:00,10.48,10.48,10.47,10.4769,5052.0
2025-06-11 04:00:00+00:00,10.46,10.5,10.445,10.5,279663.0
2025-06-12 04:00:00+00:00,10.54,10.54,10.48,10.48,5241.0
2025-06-13 04:00:00+00:00,10.45,10.53,10.45,10.47,78785.0
2025-06-16 04:00:00+00:00,10.5,10.53,10.452,10.53,66302.0
2025-06-17 04:00:00+00:00,10.4995,10.5,10.45,10.46,8713.0
2025-06-18 04:00:00+00:00,10.4,11.44,9.0,10.7,17790.0
2025-06-20 04:00:00+00:00,11.4,13.57,10.5,12.08,59857.0
2025-06-23 04:00:00+00:00,11.19,14.71,9.8,11.8,88375.0
2025-06-24 04:00:00+00:00,12.2,13.8,10.45,10.5,44316.0
2025-06-25 04:00:00+00:00,11.1,11.45,8.4001,9.4,22070.0
2025-06-26 04:00:00+00:00,10.46,13.08,9.41,9.88,82667.0
2025-06-27 04:00:00+00:00,11.89,12.9,9.51,11.0,98409.0
2025-06-30 04:00:00+00:00,9.86,12.21,9.03,10.325,70427.0
2025-07-01 04:00:00+00:00,10.31,11.1126,7.95,8.2,34412.0
2025-07-02 04:00:00+00:00,8.53,9.32,6.89,9.0,35959.0
2025-07-03 04:00:00+00:00,9.12,9.6,7.16,8.2918,10691.0
2025-07-07 04:00:00+00:00,7.72,8.5,5.7,5.97,87404.0
2025-07-08 04:00:00+00:00,10.51,11.99,7.62,10.07,5581312.0
2025-07-09 04:00:00+00:00,9.0,10.6,7.7703,9.5,255103.0
2025-07-10 04:00:00+00:00,9.0,11.0,8.9901,9.415,52092.0
2025-07-11 04:00:00+00:00,9.31,11.18,9.0,10.33,49437.0
2025-07-14 04:00:00+00:00,9.99,11.1,9.2037,10.77,21884.0
2025-07-15 04:00:00+00:00,10.76,10.99,9.56,10.94,29539.0
2025-07-16 04:00:00+00:00,10.22,10.94,9.51,9.806,20998.0
2025-07-17 04:00:00+00:00,10.0,10.8,10.0,10.6,11116.0
2025-07-18 04:00:00+00:00,10.12,12.0,10.1,10.7,17291.0
2025-07-21 04:00:00+00:00,10.98,11.07,10.16,10.16,33712.0
2025-07-22 04:00:00+00:00,10.69,11.8,10.69,11.15,18285.0
