Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,5.6664,5.6664,5.2896,5.4824,8338.125
2024-12-03 05:00:00+00:00,5.616,5.616,5.36,5.52,2361.375
2024-12-04 05:00:00+00:00,5.36,5.712,5.296,5.3992,16549.375
2024-12-05 05:00:00+00:00,5.5056,5.5304,5.2,5.2008,3931.875
2024-12-06 05:00:00+00:00,5.2072,5.2752,4.816,4.968,10972.0
2024-12-09 05:00:00+00:00,5.0792,5.3072,4.96,5.1792,10492.5
2024-12-10 05:00:00+00:00,5.28,5.28,4.9656,5.08,11042.875
2024-12-11 05:00:00+00:00,4.9608,5.0048,4.0048,4.264,35926.125
2024-12-12 05:00:00+00:00,4.16,4.624,4.16,4.4384,9498.75
2024-12-13 05:00:00+00:00,4.36,5.1168,4.0888,4.5272,13019.125
2024-12-16 05:00:00+00:00,4.688,4.7304,4.4,4.4008,4204.25
2024-12-17 05:00:00+00:00,4.552,4.6,4.24,4.48,7858.0
2024-12-18 05:00:00+00:00,4.5208,4.56,4.256,4.32,10842.875
2024-12-19 05:00:00+00:00,4.48,4.5288,4.1624,4.284,9936.375
2024-12-20 05:00:00+00:00,4.4,4.4792,4.1768,4.2408,121461.75
2024-12-23 05:00:00+00:00,5.712,6.48,4.652,5.68,1771101.875
2024-12-24 05:00:00+00:00,5.0144,6.24,4.8856,5.8016,98342.5
2024-12-26 05:00:00+00:00,5.232,6.364,5.2,5.64,60048.0
2024-12-27 05:00:00+00:00,5.7584,6.0976,5.208,5.6016,143824.5
2024-12-30 05:00:00+00:00,5.4584,14.0,4.9392,8.48,1570207.625
2024-12-31 05:00:00+00:00,7.8,8.4,6.24,6.7768,121512.25
2025-01-02 05:00:00+00:00,6.712,7.92,6.08,7.6,69514.125
2025-01-03 05:00:00+00:00,8.0,8.0,6.4,6.64,31204.625
2025-01-06 05:00:00+00:00,6.4,6.8792,6.0816,6.324,19827.0
2025-01-07 05:00:00+00:00,6.4,6.56,6.1608,6.368,16873.0
2025-01-08 05:00:00+00:00,6.4792,6.4792,6.0808,6.312,9760.875
2025-01-10 05:00:00+00:00,6.112,6.212,5.62,5.7568,19554.75
2025-01-13 05:00:00+00:00,5.6,6.1568,5.5192,6.1568,13033.75
2025-01-14 05:00:00+00:00,6.12,6.64,5.8216,6.472,22341.25
2025-01-15 05:00:00+00:00,6.616,6.616,5.6,6.2384,12215.0
2025-01-16 05:00:00+00:00,6.2744,6.3864,5.6,5.9408,36399.5
2025-01-17 05:00:00+00:00,5.8,6.0,5.36,5.6488,13692.625
2025-01-21 05:00:00+00:00,5.6,6.0,5.3616,5.5616,33720.5
2025-01-22 05:00:00+00:00,5.496,5.9728,5.1632,5.5016,31723.625
2025-01-23 05:00:00+00:00,5.4104,5.7832,5.2032,5.484,15139.375
2025-01-24 05:00:00+00:00,5.6,6.152,5.5056,5.7728,25377.0
2025-01-27 05:00:00+00:00,6.1648,7.12,5.9088,7.04,748799.25
2025-01-28 05:00:00+00:00,7.92,7.9232,5.4816,5.9888,787378.875
2025-01-29 05:00:00+00:00,5.44,6.072,5.44,5.68,56951.0
2025-01-30 05:00:00+00:00,5.5096,5.5728,5.0536,5.4,22528.25
2025-01-31 05:00:00+00:00,5.3184,5.4816,5.2,5.2472,24283.0
2025-02-03 05:00:00+00:00,5.2,5.8064,5.2,5.6792,8573.375
2025-02-04 05:00:00+00:00,5.76,5.76,5.3216,5.76,14069.75
2025-02-05 05:00:00+00:00,5.6,5.752,5.36,5.5768,7692.125
2025-02-06 05:00:00+00:00,5.2176,5.536,5.2176,5.3944,8704.625
2025-02-07 05:00:00+00:00,5.424,5.4688,5.056,5.2968,21845.625
2025-02-10 05:00:00+00:00,5.4392,5.44,5.2,5.4376,3970.875
2025-02-11 05:00:00+00:00,5.4376,5.6744,5.2008,5.44,4117.375
2025-02-12 05:00:00+00:00,5.3304,5.5992,5.328,5.5648,4363.25
2025-02-13 05:00:00+00:00,5.4064,5.4872,5.36,5.4008,7465.75
2025-02-14 05:00:00+00:00,5.36,5.68,5.36,5.488,12272.75
2025-02-18 05:00:00+00:00,5.44,5.6336,5.2192,5.5392,5359.875
2025-02-19 05:00:00+00:00,5.4,5.48,5.2008,5.4272,6569.0
2025-02-20 05:00:00+00:00,5.22,5.4176,5.2184,5.36,2006.0
