Date,Open,High,Low,Close,Volume
2025-12-02 05:00:00+00:00,2.0,2.0,1.895,1.9599,10487.0
2025-12-03 05:00:00+00:00,1.9,1.935,1.9,1.935,6472.0
2025-12-04 05:00:00+00:00,1.92,1.98,1.9101,1.98,4944.0
2025-12-05 05:00:00+00:00,1.9,1.98,1.9,1.98,2842.0
2025-12-08 05:00:00+00:00,1.99,2.0014,1.99,2.0014,2107.0
2025-12-09 05:00:00+00:00,2.08,2.08,1.9001,1.945,19573.0
2025-12-10 05:00:00+00:00,1.98,1.98,1.895,1.9,6681.0
2025-12-11 05:00:00+00:00,1.93,1.936,1.8,1.8,19098.0
2025-12-12 05:00:00+00:00,1.6,1.7699,1.6,1.67,12419.0
2025-12-15 05:00:00+00:00,1.73,1.96,1.66,1.66,6687.0
2025-12-16 05:00:00+00:00,1.7005,1.735,1.55,1.59,24676.0
2025-12-17 05:00:00+00:00,1.64,1.87,1.5,1.5101,13852.0
2025-12-18 05:00:00+00:00,1.45,1.5,1.435,1.49,15050.0
2025-12-19 05:00:00+00:00,1.53,1.53,1.35,1.45,26172.0
2025-12-22 05:00:00+00:00,1.5,1.6,1.425,1.5,27216.0
2025-12-23 05:00:00+00:00,1.41,1.64,1.38,1.48,101103.0
2025-12-24 05:00:00+00:00,1.45,1.51,1.42,1.45,12801.0
2025-12-26 05:00:00+00:00,1.425,1.54,1.42,1.54,13137.0
2025-12-29 05:00:00+00:00,1.45,1.55,1.45,1.53,15192.0
2025-12-30 05:00:00+00:00,1.4,1.5861,1.4,1.45,50876.0
2025-12-31 05:00:00+00:00,1.5,1.58,1.46,1.5599,20928.0
2026-01-02 05:00:00+00:00,1.45,1.5,1.36,1.4,16363.0
2026-01-05 05:00:00+00:00,1.26,1.54,1.26,1.45,30371.0
2026-01-06 05:00:00+00:00,1.5,1.5018,1.45,1.46,6620.0
2026-01-07 05:00:00+00:00,1.48,1.48,1.39,1.42,11053.0
2026-01-08 05:00:00+00:00,1.45,1.51,1.38,1.38,10194.0
2026-01-09 05:00:00+00:00,1.41,1.44,1.3995,1.41,4174.0
2026-01-12 05:00:00+00:00,1.45,1.6999,1.35,1.59,86726.0
2026-01-13 05:00:00+00:00,1.65,1.85,1.6,1.73,56117.0
2026-01-14 05:00:00+00:00,1.6201,1.75,1.6,1.63,29072.0
2026-01-15 05:00:00+00:00,1.57,1.645,1.47,1.56,17166.0
2026-01-16 05:00:00+00:00,1.55,1.55,1.46,1.55,16573.0
2026-01-20 05:00:00+00:00,1.55,1.57,1.47,1.47,11250.0
2026-01-21 05:00:00+00:00,1.44,1.525,1.2,1.32,88375.0
2026-01-22 05:00:00+00:00,1.3633,1.3633,1.2,1.265,322659.0
2026-01-23 05:00:00+00:00,1.27,1.538,1.2,1.538,165264.0
2026-01-26 05:00:00+00:00,1.54,1.8799,1.4054,1.49,223854.0
2026-01-27 05:00:00+00:00,1.425,1.425,1.21,1.21,55747.0
2026-01-28 05:00:00+00:00,1.2325,1.49,1.07,1.35,174410.0
2026-01-29 05:00:00+00:00,1.3,1.365,1.19,1.23,43786.0
2026-01-30 05:00:00+00:00,1.25,1.3381,1.24,1.24,17478.0
2026-02-02 05:00:00+00:00,1.34,1.34,1.1602,1.23,29895.0
2026-02-03 05:00:00+00:00,1.25,1.2915,1.03,1.03,17026.0
2026-02-04 05:00:00+00:00,1.15,1.2889,1.06,1.08,53607.0
2026-02-05 05:00:00+00:00,1.03,1.18,0.78,0.9248,36238.0
2026-02-06 05:00:00+00:00,0.975,0.9971,0.86,0.9227,8934.0
2026-02-09 05:00:00+00:00,0.9251,1.06,0.8703,0.8798,8744.0
2026-02-10 05:00:00+00:00,0.9,0.9815,0.9,0.912,8781.0
2026-02-11 05:00:00+00:00,1.04,1.05,0.87,0.88,24753.0
2026-02-12 05:00:00+00:00,0.95,0.9816,0.8101,0.865,16285.0
2026-02-13 05:00:00+00:00,0.8501,0.8945,0.7551,0.7551,20665.0
2026-02-17 05:00:00+00:00,0.8502,0.9499,0.85,0.879,34006.0
2026-02-18 05:00:00+00:00,0.9,1.0853,0.8381,0.9008,156625.0
2026-02-19 05:00:00+00:00,1.25,3.4496,1.1,2.39,93528214.0
2026-02-20 05:00:00+00:00,1.64,1.6799,1.21,1.63,3425336.0
2026-02-23 05:00:00+00:00,1.62,1.84,1.19,1.35,1697232.049742
2026-02-24 05:00:00+00:00,1.37,1.42,1.01,1.32,495306.160125
2026-02-25 05:00:00+00:00,1.34,1.45,1.28,1.28,303540.401421
2026-02-26 05:00:00+00:00,1.45,1.45,1.2,1.2,235641.74349
2026-02-27 05:00:00+00:00,1.18,1.21,1.06,1.1,153264.72711
