Date,Open,High,Low,Close,Volume
2025-09-02 04:00:00+00:00,0.0165,0.0165,0.0161,0.0161,1300
2025-09-03 04:00:00+00:00,0.0182,0.0183,0.016,0.0161,22968
2025-09-04 04:00:00+00:00,0.0171,0.0171,0.016,0.016,200
2025-09-09 04:00:00+00:00,0.0162,0.0162,0.0135,0.0135,38609
2025-09-11 04:00:00+00:00,0.0136,0.0137,0.0136,0.0137,5805
2025-09-16 04:00:00+00:00,0.0136,0.0136,0.0136,0.0136,5000
2025-09-17 04:00:00+00:00,0.0157,0.0157,0.0157,0.0157,4500
2025-09-26 04:00:00+00:00,0.0138,0.0167,0.0138,0.0138,3400
2025-09-30 04:00:00+00:00,0.0162,0.0188,0.0162,0.0169,7900
2025-10-03 04:00:00+00:00,0.0195,0.0195,0.0195,0.0195,600
2025-10-06 04:00:00+00:00,0.0136,0.0137,0.0134,0.0136,30785
2025-10-07 04:00:00+00:00,0.0168,0.0168,0.0168,0.0168,184
2025-10-09 04:00:00+00:00,0.0195,0.0196,0.0195,0.0196,20777
2025-10-14 04:00:00+00:00,0.02,0.0205,0.0121,0.0121,99928
2025-10-15 04:00:00+00:00,0.0121,0.0121,0.0121,0.0121,1500
2025-10-16 04:00:00+00:00,0.0121,0.0123,0.0121,0.0121,15114
2025-10-27 04:00:00+00:00,0.0122,0.0122,0.0122,0.0122,5000
2025-10-31 04:00:00+00:00,0.0122,0.0123,0.0122,0.0123,11000
2025-11-05 05:00:00+00:00,0.0199,0.0199,0.0199,0.0199,2000
2025-11-11 05:00:00+00:00,0.0122,0.0123,0.0108,0.0118,86893
2025-11-12 05:00:00+00:00,0.0157,0.0157,0.0157,0.0157,9534
2025-11-14 05:00:00+00:00,0.0114,0.0188,0.0114,0.0188,1140
2025-11-17 05:00:00+00:00,0.0189,0.0194,0.0187,0.0189,43012
2025-11-18 05:00:00+00:00,0.0121,0.0129,0.0121,0.0129,14175
2025-11-19 05:00:00+00:00,0.0121,0.0123,0.0121,0.0123,1066
2025-11-20 05:00:00+00:00,0.0124,0.0125,0.0124,0.0125,990
2025-11-21 05:00:00+00:00,0.0124,0.0124,0.0116,0.0123,3134
2025-11-24 05:00:00+00:00,0.0224,0.0224,0.0132,0.0132,22823
2025-11-25 05:00:00+00:00,0.0117,0.0118,0.0117,0.0118,5240
2025-11-26 05:00:00+00:00,0.0204,0.0513,0.0176,0.035,770807
2025-11-28 05:00:00+00:00,0.08,0.08,0.0411,0.059,501259
