Date,Open,High,Low,Close,Volume
2025-12-02 05:00:00+00:00,16.48,16.55,15.66,15.7,215746.0
2025-12-03 05:00:00+00:00,15.8,16.8,15.35,16.69,163244.0
2025-12-04 05:00:00+00:00,16.67,16.72,16.045,16.57,154304.0
2025-12-05 05:00:00+00:00,16.72,17.12,16.37,16.51,140988.0
2025-12-08 05:00:00+00:00,16.59,16.677,15.23,15.96,464632.0
2025-12-09 05:00:00+00:00,14.89,15.63,13.5,14.52,534079.0
2025-12-10 05:00:00+00:00,14.48,14.885,14.26,14.69,222319.0
2025-12-11 05:00:00+00:00,14.6,15.225,14.44,15.15,207682.0
2025-12-12 05:00:00+00:00,15.21,15.615,15.0162,15.45,209515.0
2025-12-15 05:00:00+00:00,15.59,16.02,15.37,15.44,144092.0
2025-12-16 05:00:00+00:00,15.32,15.39,14.56,15.32,194828.0
2025-12-17 05:00:00+00:00,15.4,15.75,15.11,15.19,88347.0
2025-12-18 05:00:00+00:00,15.38,15.56,15.07,15.22,100268.0
2025-12-19 05:00:00+00:00,15.13,15.42,14.81,14.95,519286.0
2025-12-22 05:00:00+00:00,14.93,14.97,14.3,14.4,226683.0
2025-12-23 05:00:00+00:00,14.36,14.48,14.19,14.22,180686.0
2025-12-24 05:00:00+00:00,14.18,14.325,14.0,14.15,132344.0
2025-12-26 05:00:00+00:00,14.15,14.63,14.14,14.63,134661.0
2025-12-29 05:00:00+00:00,14.54,14.88,14.2952,14.75,174531.0
2025-12-30 05:00:00+00:00,14.64,14.715,14.365,14.6,139577.0
2025-12-31 05:00:00+00:00,14.64,14.77,14.41,14.52,122777.0
2026-01-02 05:00:00+00:00,14.54,14.78,14.355,14.59,189758.0
2026-01-05 05:00:00+00:00,14.57,15.07,14.565,14.69,132463.0
2026-01-06 05:00:00+00:00,14.6,15.1,14.53,14.96,122339.0
2026-01-07 05:00:00+00:00,14.94,14.94,14.5385,14.74,128890.0
2026-01-08 05:00:00+00:00,14.7,15.17,14.7,15.03,138068.0
2026-01-09 05:00:00+00:00,15.03,15.1,14.685,14.75,115663.0
2026-01-12 05:00:00+00:00,14.56,15.04,14.35,15.01,153838.0
2026-01-13 05:00:00+00:00,15.11,15.21,14.85,15.13,101330.0
2026-01-14 05:00:00+00:00,15.18,15.21,14.7839,14.99,139597.0
2026-01-15 05:00:00+00:00,15.05,15.98,14.89,15.88,235453.0
2026-01-16 05:00:00+00:00,15.83,15.91,15.56,15.78,101570.0
2026-01-20 05:00:00+00:00,15.48,15.61,14.87,15.04,186037.0
2026-01-21 05:00:00+00:00,15.15,15.35,14.7984,15.15,88519.0
2026-01-22 05:00:00+00:00,15.33,15.79,14.98,15.02,103567.0
2026-01-23 05:00:00+00:00,14.88,15.285,13.795,14.05,183797.0
2026-01-26 05:00:00+00:00,16.835,20.04,16.64,18.76,2537940.0
2026-01-27 05:00:00+00:00,18.81,19.23,18.47,19.15,518829.0
2026-01-28 05:00:00+00:00,19.35,19.537,17.29,17.56,484468.0
2026-01-29 05:00:00+00:00,17.75,18.305,17.34,18.01,297776.0
2026-01-30 05:00:00+00:00,17.69,18.25,17.36,17.76,197755.0
2026-02-02 05:00:00+00:00,17.63,18.29,17.53,18.01,220092.0
2026-02-03 05:00:00+00:00,18.03,18.295,17.3801,17.79,280368.0
2026-02-04 05:00:00+00:00,17.92,18.2,17.34,17.66,217015.0
2026-02-05 05:00:00+00:00,17.46,17.66,16.61,16.83,404582.0
2026-02-06 05:00:00+00:00,17.0,18.12,16.67,17.99,310716.0
2026-02-09 05:00:00+00:00,17.96,18.78,17.72,18.6,179221.0
2026-02-10 05:00:00+00:00,18.54,18.905,18.21,18.36,157469.0
2026-02-11 05:00:00+00:00,18.53,18.53,17.5427,17.67,134326.0
2026-02-12 05:00:00+00:00,17.88,17.88,17.15,17.58,177529.0
2026-02-13 05:00:00+00:00,17.59,18.62,17.49,18.29,138413.0
2026-02-17 05:00:00+00:00,18.17,18.455,17.71,18.28,107233.0
2026-02-18 05:00:00+00:00,18.34,18.96,18.04,18.53,93250.0
2026-02-19 05:00:00+00:00,18.19,18.935,17.85,18.83,137667.0
2026-02-20 05:00:00+00:00,18.65,19.68,18.57,18.92,212333.0
2026-02-23 05:00:00+00:00,18.77,19.1,16.71,17.12,324922.727725
2026-02-24 05:00:00+00:00,16.78,16.81,16.11,16.15,184194.401788
2026-02-25 05:00:00+00:00,16.04,16.56,15.9,16.1,183374.818182
2026-02-26 05:00:00+00:00,16.87,17.75,16.75,17.45,233754.329308
2026-02-27 05:00:00+00:00,17.11,17.14,16.03,16.07,247573.265897
