Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,1.64,1.7982,1.61,1.78,50694.0
2024-12-03 05:00:00+00:00,1.9,2.0,1.63,1.68,330290.0
2024-12-04 05:00:00+00:00,1.7,1.75,1.68,1.75,63381.0
2024-12-05 05:00:00+00:00,1.68,1.77,1.67,1.68,47013.0
2024-12-06 05:00:00+00:00,1.67,1.79,1.67,1.77,47038.0
2024-12-09 05:00:00+00:00,1.85,1.95,1.84,1.91,162008.0
2024-12-10 05:00:00+00:00,1.92,1.92,1.45,1.455,561928.0
2024-12-11 05:00:00+00:00,1.46,1.46,1.18,1.21,614726.0
2024-12-12 05:00:00+00:00,1.21,1.23,1.1508,1.2,228945.0
2024-12-13 05:00:00+00:00,1.2,1.2,1.08,1.11,157486.0
2024-12-16 05:00:00+00:00,1.08,1.1599,1.0,1.02,361337.0
2024-12-17 05:00:00+00:00,1.07,1.0794,1.005,1.04,192704.0
2024-12-18 05:00:00+00:00,1.04,1.07,0.9617,1.01,219434.0
2024-12-19 05:00:00+00:00,1.05,1.06,0.9634,0.9889,98365.0
2024-12-20 05:00:00+00:00,0.978,1.03,0.968,1.03,157263.0
2024-12-23 05:00:00+00:00,0.9952,1.03,0.96,0.9838,140576.0
2024-12-24 05:00:00+00:00,1.0,1.0,0.96,0.9752,37668.0
2024-12-26 05:00:00+00:00,0.98,1.04,0.9114,0.992,178656.0
2024-12-27 05:00:00+00:00,0.97,1.0195,0.8807,0.9934,253037.0
2024-12-30 05:00:00+00:00,1.0,1.01,0.9525,0.99,168939.0
2024-12-31 05:00:00+00:00,0.98,1.0,0.95,0.951,62504.0
2025-01-02 05:00:00+00:00,0.965,1.06,0.965,1.03,242890.0
2025-01-03 05:00:00+00:00,1.03,1.1194,1.02,1.06,172302.0
2025-01-06 05:00:00+00:00,1.11,1.12,1.03,1.08,90763.0
2025-01-07 05:00:00+00:00,1.12,1.12,1.05,1.08,60521.0
2025-01-08 05:00:00+00:00,1.1,1.1,1.02,1.02,69922.0
2025-01-10 05:00:00+00:00,1.02,1.025,0.95,0.9758,494935.0
2025-01-13 05:00:00+00:00,0.978,0.9947,0.96,0.99,60492.0
2025-01-14 05:00:00+00:00,0.99,1.007,0.949,0.98,81865.0
2025-01-15 05:00:00+00:00,1.0,1.0,0.9512,0.97,24470.0
2025-01-16 05:00:00+00:00,0.97,0.98,0.921,0.9394,44480.0
2025-01-17 05:00:00+00:00,0.9347,0.98,0.9117,0.94,14759.0
2025-01-21 05:00:00+00:00,0.935,0.95,0.92,0.95,25561.0
2025-01-22 05:00:00+00:00,0.95,0.9666,0.94,0.9433,18620.0
2025-01-23 05:00:00+00:00,0.94,0.98,0.94,0.963,19022.0
2025-01-24 05:00:00+00:00,0.9433,0.989,0.92,0.95,52125.0
2025-01-27 05:00:00+00:00,0.93,0.9889,0.93,0.97,19059.0
2025-01-28 05:00:00+00:00,0.9522,0.9776,0.9502,0.97,16812.0
2025-01-29 05:00:00+00:00,0.979,0.979,0.94,0.96,14582.0
2025-01-30 05:00:00+00:00,0.9787,0.98,0.95,0.9712,13761.0
2025-01-31 05:00:00+00:00,0.96,1.03,0.9502,0.98,24228.0
2025-02-03 05:00:00+00:00,0.9851,1.015,0.98,1.0,33526.0
2025-02-04 05:00:00+00:00,1.0,1.03,0.98,0.9815,24315.0
2025-02-05 05:00:00+00:00,0.98,0.9992,0.93,0.936,39737.0
2025-02-06 05:00:00+00:00,0.9321,0.98,0.9321,0.945,5918.0
2025-02-07 05:00:00+00:00,0.9677,0.98,0.9555,0.9555,9397.0
2025-02-10 05:00:00+00:00,0.96,0.96,0.9118,0.9118,43295.0
2025-02-11 05:00:00+00:00,0.91,0.97,0.9064,0.9064,51233.0
2025-02-12 05:00:00+00:00,0.905,0.94,0.8502,0.94,139360.0
2025-02-13 05:00:00+00:00,0.92,0.9466,0.9011,0.932,10535.0
2025-02-14 05:00:00+00:00,0.9167,0.9399,0.9167,0.9399,7900.0
2025-02-18 05:00:00+00:00,0.92,0.95,0.92,0.9201,18313.0
2025-02-19 05:00:00+00:00,0.9301,0.955,0.92,0.93,15379.0
2025-02-20 05:00:00+00:00,0.92,0.9745,0.92,0.935,9431.0
2025-02-21 05:00:00+00:00,0.97,0.97,0.945,0.9575,4632.0
2025-02-24 05:00:00+00:00,0.94,0.945,0.94,0.94,5265.0
2025-02-25 05:00:00+00:00,1.17,1.465,1.13,1.34,20156792.0
2025-02-26 05:00:00+00:00,1.27,1.35,1.26,1.35,1815828.0
2025-02-27 05:00:00+00:00,1.24,1.3,1.24,1.29,299354.0
2025-02-28 05:00:00+00:00,1.29,1.33,1.22,1.29,189505.0
2025-03-03 05:00:00+00:00,1.31,1.3152,1.26,1.27,157693.0
2025-03-04 05:00:00+00:00,1.26,1.2995,1.25,1.28,90956.0
2025-03-05 05:00:00+00:00,1.3,1.38,1.28,1.32,151643.0
2025-03-06 05:00:00+00:00,1.35,1.42,1.33,1.41,199015.0
2025-03-07 05:00:00+00:00,1.42,1.51,1.39,1.44,219933.0
2025-03-10 04:00:00+00:00,1.41,1.4207,1.35,1.35,52078.0
2025-03-11 04:00:00+00:00,1.34,1.37,1.32,1.35,58907.0
2025-03-12 04:00:00+00:00,1.36,1.37,1.32,1.35,24701.0
2025-03-13 04:00:00+00:00,1.37,1.37,1.31,1.33,6632.0
2025-03-14 04:00:00+00:00,1.35,1.35,1.2917,1.3,17801.0
2025-03-17 04:00:00+00:00,1.29,1.32,1.285,1.31,28357.0
2025-03-18 04:00:00+00:00,1.28,1.3437,1.26,1.29,41652.0
2025-03-19 04:00:00+00:00,1.23,1.3399,1.23,1.32,26808.0
2025-03-20 04:00:00+00:00,1.33,1.33,1.25,1.3,85617.0
2025-03-21 04:00:00+00:00,1.3,1.3215,1.24,1.3,22117.0
2025-03-24 04:00:00+00:00,1.3,1.335,1.265,1.3,43061.0
