Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,2.46,2.85,2.02,2.41,8269157.0
2024-12-03 05:00:00+00:00,2.5,2.81,1.99,2.62,2132636.0
2024-12-04 05:00:00+00:00,2.68,2.97,2.44,2.8,1292884.0
2024-12-05 05:00:00+00:00,2.71,3.01,2.28,2.36,1154489.0
2024-12-06 05:00:00+00:00,2.39,2.58,2.21,2.21,480360.0
2024-12-09 05:00:00+00:00,2.27,2.47,2.17,2.4,374294.0
2024-12-10 05:00:00+00:00,2.55,2.7499,2.2566,2.28,1020090.0
2024-12-11 05:00:00+00:00,2.26,2.92,2.09,2.77,958174.0
2024-12-12 05:00:00+00:00,2.72,3.04,2.6,2.91,1059024.0
2024-12-13 05:00:00+00:00,2.97,3.5,2.78,3.38,998423.0
2024-12-16 05:00:00+00:00,3.67,3.85,3.14,3.54,1532976.0
2024-12-17 05:00:00+00:00,3.37,3.433,3.05,3.22,468175.0
2024-12-18 05:00:00+00:00,3.25,4.05,3.25,3.55,1122974.0
2024-12-19 05:00:00+00:00,3.5,3.95,3.15,3.22,550849.0
2024-12-20 05:00:00+00:00,3.15,3.6439,2.88,3.23,482688.0
2024-12-23 05:00:00+00:00,3.29,3.8,3.29,3.63,388094.0
2024-12-24 05:00:00+00:00,3.83,4.13,3.676,3.92,516161.0
2024-12-26 05:00:00+00:00,3.8,4.45,3.8,4.31,506203.0
2024-12-27 05:00:00+00:00,4.39,4.47,3.8,4.02,497168.0
2024-12-30 05:00:00+00:00,4.04,4.22,3.6,3.9,389645.0
2024-12-31 05:00:00+00:00,4.19,4.19,3.76,3.81,309893.0
2025-01-02 05:00:00+00:00,3.74,3.81,3.39,3.47,405597.0
2025-01-03 05:00:00+00:00,3.53,4.4999,3.53,4.29,723459.0
2025-01-06 05:00:00+00:00,4.5,4.85,4.34,4.66,923158.0
2025-01-07 05:00:00+00:00,4.91,5.0,4.03,4.14,821354.0
2025-01-08 05:00:00+00:00,4.1,4.4799,3.82,4.2,374478.0
2025-01-10 05:00:00+00:00,4.2,4.42,3.77,4.11,342670.0
2025-01-13 05:00:00+00:00,4.03,4.0498,2.83,3.05,690341.0
2025-01-14 05:00:00+00:00,3.36,3.538,3.1,3.27,269353.0
