Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,22.72,22.72,21.4,21.67,56608
2025-03-04 05:00:00+00:00,21.12,22.04,20.881,21.65,56035
2025-03-05 05:00:00+00:00,21.75,23.05,21.69,23.02,38763
2025-03-06 05:00:00+00:00,22.51,23.05,22.33,22.56,33283
2025-03-07 05:00:00+00:00,22.002,22.29,21.28,22.11,58595
2025-03-10 04:00:00+00:00,21.3,21.3,20.42,20.63,50096
2025-03-11 04:00:00+00:00,20.48,21.13,20.3245,20.63,44528
2025-03-12 04:00:00+00:00,20.94,21.15,20.5,20.94,59757
2025-03-13 04:00:00+00:00,20.93,20.99,20.3201,20.44,36344
2025-03-14 04:00:00+00:00,20.58,21.6,20.54,21.49,40926
2025-03-17 04:00:00+00:00,21.3,21.91,21.215,21.5,34716
2025-03-18 04:00:00+00:00,21.32,21.32,20.72,20.91,26860
2025-03-19 04:00:00+00:00,21.1158,21.52,21.05,21.3398,28247
2025-03-20 04:00:00+00:00,20.95,21.81,20.93,21.32,25175
2025-03-21 04:00:00+00:00,20.84,21.79,20.84,21.79,35948
2025-03-24 04:00:00+00:00,22.27,22.27,21.665,21.91,33803
2025-03-25 04:00:00+00:00,22.0501,22.21,22.01,22.16,17975
2025-03-26 04:00:00+00:00,22.11,22.11,21.42,21.55,25844
2025-03-27 04:00:00+00:00,21.54,21.7,21.3063,21.62,23044
2025-03-28 04:00:00+00:00,21.35,21.41,20.12,20.28,40954
2025-03-31 04:00:00+00:00,19.61,20.07,19.18,19.86,23772
2025-04-01 04:00:00+00:00,19.85,20.67,19.76,20.63,13822
2025-04-02 04:00:00+00:00,20.57,20.9028,20.46,20.65,27052
2025-04-03 04:00:00+00:00,19.77,20.08,19.3,19.68,48458
2025-04-04 04:00:00+00:00,18.67,19.63,18.2,18.2,37770
2025-04-07 04:00:00+00:00,17.19,19.0,16.7104,17.99,122178
2025-04-08 04:00:00+00:00,19.09,19.55,17.491,17.77,69648
2025-04-09 04:00:00+00:00,17.51,21.51,17.51,21.27,82415
2025-04-10 04:00:00+00:00,20.42,20.445,18.79,20.215,46292
2025-04-11 04:00:00+00:00,20.29,21.08,20.01,20.98,17997
2025-04-14 04:00:00+00:00,21.49,21.5,20.58,20.92,24735
2025-04-15 04:00:00+00:00,20.98,21.2,20.56,20.69,15464
2025-04-16 04:00:00+00:00,20.1,20.125,18.89,19.17,19565
2025-04-17 04:00:00+00:00,19.32,19.39,18.664,18.71,21823
2025-04-21 04:00:00+00:00,18.24,18.35,17.67,17.83,18731
2025-04-22 04:00:00+00:00,18.23,18.63,17.93,18.6,18725
2025-04-23 04:00:00+00:00,19.57,19.93,19.4,19.4,25390
2025-04-24 04:00:00+00:00,19.5,20.7048,19.5,20.7,22222
2025-04-25 04:00:00+00:00,20.75,21.18,20.56,21.17,47633
2025-04-28 04:00:00+00:00,21.03,21.2578,20.64,21.1319,19208
2025-04-29 04:00:00+00:00,21.1,21.45,21.0801,21.44,28164
2025-04-30 04:00:00+00:00,20.94,21.65,20.53,21.4,75624
2025-05-01 04:00:00+00:00,25.37,26.0,24.72,24.76,130293
2025-05-02 04:00:00+00:00,25.44,26.36,25.35,25.89,83243
2025-05-05 04:00:00+00:00,25.56,26.3599,25.56,25.98,32001
2025-05-06 04:00:00+00:00,25.46,26.14,25.46,25.73,25467
2025-05-07 04:00:00+00:00,25.71,26.17,25.45,25.56,14785
2025-05-08 04:00:00+00:00,26.16,26.735,25.95,26.21,29003
2025-05-09 04:00:00+00:00,26.45,26.45,25.97,26.24,14518
2025-05-12 04:00:00+00:00,27.14,27.47,26.5,27.47,29825
2025-05-13 04:00:00+00:00,27.33,27.63,27.21,27.48,20349
2025-05-14 04:00:00+00:00,27.37,28.059,27.37,27.92,22476
2025-05-15 04:00:00+00:00,27.82,28.42,27.79,28.12,31416
2025-05-16 04:00:00+00:00,27.98,28.161,27.53,28.161,26356
2025-05-19 04:00:00+00:00,27.71,28.81,27.71,28.74,39307
2025-05-20 04:00:00+00:00,28.25,28.64,28.1709,28.64,11794
2025-05-21 04:00:00+00:00,28.3,28.54,27.845,27.93,27595
2025-05-22 04:00:00+00:00,28.08,28.82,28.08,28.19,24966
2025-05-23 04:00:00+00:00,27.57,27.969,27.441,27.67,13008
2025-05-27 04:00:00+00:00,28.49,28.87,28.45,28.84,22968
2025-05-28 04:00:00+00:00,29.0,29.021,28.44,28.48,17907
2025-05-29 04:00:00+00:00,28.641,28.73,28.37,28.5888,21931
2025-05-30 04:00:00+00:00,28.73,28.81,28.194,28.77,9795
2025-06-02 04:00:00+00:00,28.41,28.95,28.34,28.94,6199
2025-06-03 04:00:00+00:00,29.2,29.2,28.92,29.1398,10087
2025-06-04 04:00:00+00:00,29.2,29.38,29.14,29.23,5871
