Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,3.55,4.08,3.55,4.08,14054.0
2025-07-02 04:00:00+00:00,3.95,4.5854,3.95,4.35,118332.0
2025-07-03 04:00:00+00:00,4.35,4.8,4.32,4.56,55430.0
2025-07-07 04:00:00+00:00,4.5,4.99,4.27,4.95,44243.0
2025-07-08 04:00:00+00:00,4.61,5.1,4.06,4.71,95486.0
2025-07-09 04:00:00+00:00,4.74,4.74,4.2629,4.4,15400.0
2025-07-10 04:00:00+00:00,4.41,4.57,4.3,4.57,19932.0
2025-07-11 04:00:00+00:00,4.58,4.58,4.31,4.378,15557.0
2025-07-14 04:00:00+00:00,4.8638,4.8638,4.03,4.19,58351.0
2025-07-15 04:00:00+00:00,4.325,4.325,3.83,3.83,43501.0
2025-07-16 04:00:00+00:00,4.0,4.3,3.41,3.66,24915.0
2025-07-17 04:00:00+00:00,3.53,3.83,3.5,3.5,10273.0
2025-07-18 04:00:00+00:00,3.7,3.7,3.34,3.38,12435.0
2025-07-21 04:00:00+00:00,3.23,3.73,3.15,3.64,23200.0
2025-07-22 04:00:00+00:00,3.51,3.829,3.5,3.718,14211.0
2025-07-23 04:00:00+00:00,3.97,4.24,3.75,4.22,20737.0
2025-07-24 04:00:00+00:00,4.225,4.35,4.13,4.15,13451.0
2025-07-25 04:00:00+00:00,4.24,4.3297,4.03,4.31,10420.0
2025-07-28 04:00:00+00:00,4.0501,4.19,3.9,4.09,12160.0
2025-07-29 04:00:00+00:00,4.18,4.28,3.15,3.49,123112.0
2025-07-30 04:00:00+00:00,3.48,3.825,3.37,3.825,2702.0
2025-07-31 04:00:00+00:00,3.64,4.04,3.53,3.68,47400.0
2025-08-01 04:00:00+00:00,3.63,3.8,3.4,3.62,51807.0
2025-08-04 04:00:00+00:00,3.719,4.15,3.51,3.5601,151377.0
2025-08-05 04:00:00+00:00,3.5,3.79,2.9,3.1,350841.0
2025-08-06 04:00:00+00:00,2.84,3.23,2.84,3.16,7193.0
2025-08-07 04:00:00+00:00,3.18,3.2,2.8,2.8,3530.0
2025-08-08 04:00:00+00:00,2.86,3.04,2.5,2.71,26907.0
2025-08-11 04:00:00+00:00,2.71,3.0,2.71,3.0,10046.0
2025-08-12 04:00:00+00:00,2.85,3.05,2.61,2.72,3669.0
2025-08-13 04:00:00+00:00,2.8,2.9,2.61,2.655,13481.0
2025-08-14 04:00:00+00:00,2.71,2.88,2.6,2.6,4475.0
2025-08-15 04:00:00+00:00,2.73,2.73,2.51,2.51,4422.0
2025-08-18 04:00:00+00:00,2.5,2.62,2.2001,2.485,17311.0
2025-08-19 04:00:00+00:00,2.34,2.47,2.01,2.01,7353.0
2025-08-20 04:00:00+00:00,2.21,3.7,1.41,1.98,5060331.0
2025-08-21 04:00:00+00:00,1.54,1.93,1.54,1.56,248197.0
2025-08-22 04:00:00+00:00,1.53,1.67,1.29,1.46,122632.0
2025-08-25 04:00:00+00:00,1.35,1.58,1.35,1.51,74278.0
2025-08-26 04:00:00+00:00,1.41,1.5399,1.35,1.5,527280.0
2025-08-27 04:00:00+00:00,1.47,1.56,1.43,1.48,89754.0
2025-08-28 04:00:00+00:00,1.41,1.49,1.4,1.4311,72795.0
2025-08-29 04:00:00+00:00,1.4,1.4,1.3,1.31,67459.0
2025-09-02 04:00:00+00:00,1.26,1.3299,1.15,1.15,104961.0
2025-09-03 04:00:00+00:00,1.24,1.28,1.105,1.17,62738.0
2025-09-04 04:00:00+00:00,1.1,1.15,1.05,1.15,51107.0
2025-09-05 04:00:00+00:00,1.24,1.26,1.15,1.2,24619.0
2025-09-08 04:00:00+00:00,1.167,1.29,1.1,1.19,103508.0
2025-09-09 04:00:00+00:00,1.19,1.3,1.15,1.2642,117241.0
2025-09-10 04:00:00+00:00,1.29,1.58,1.28,1.42,116321.0
2025-09-11 04:00:00+00:00,1.38,1.44,1.33,1.33,49519.0
2025-09-12 04:00:00+00:00,1.3324,1.42,1.24,1.3,15958.0
2025-09-15 04:00:00+00:00,1.38,1.39,1.26,1.3,60438.0
2025-09-16 04:00:00+00:00,1.3502,1.9,1.1001,1.34,4246558.0
2025-09-17 04:00:00+00:00,1.25,1.435,1.25,1.37,357366.0
2025-09-18 04:00:00+00:00,1.28,1.62,1.28,1.48,1590542.0
2025-09-19 04:00:00+00:00,1.35,1.5,1.35,1.44,220062.0
2025-09-22 04:00:00+00:00,1.4,1.4203,1.35,1.35,40393.0
2025-09-23 04:00:00+00:00,1.41,1.41,1.35,1.3996,30218.0
2025-09-24 04:00:00+00:00,1.385,1.46,1.3,1.39,225552.0
2025-09-25 04:00:00+00:00,1.39,1.39,1.3001,1.38,63888.0
2025-09-26 04:00:00+00:00,1.36,1.37,1.3,1.31,74065.0
2025-09-29 04:00:00+00:00,1.31,1.38,1.3,1.3685,62775.0
2025-09-30 04:00:00+00:00,1.38,1.405,1.32,1.39,26071.0
2025-10-01 04:00:00+00:00,1.3475,1.45,1.3301,1.43,84182.0
2025-10-02 04:00:00+00:00,1.43,1.61,1.3705,1.5404,134939.0
2025-10-03 04:00:00+00:00,1.58,1.64,1.51,1.57,85844.0
2025-10-06 04:00:00+00:00,1.6,1.6,1.5001,1.56,57522.0
2025-10-07 04:00:00+00:00,1.5405,1.545,1.445,1.545,20831.0
2025-10-08 04:00:00+00:00,1.48,1.55,1.445,1.47,95824.0
2025-10-09 04:00:00+00:00,1.48,1.49,1.36,1.36,23626.0
2025-10-10 04:00:00+00:00,1.29,1.4,1.26,1.27,37810.0
2025-10-13 04:00:00+00:00,1.3,1.3,1.17,1.24,36640.0
2025-10-14 04:00:00+00:00,1.24,1.28,1.18,1.18,9300.0
2025-10-15 04:00:00+00:00,1.25,1.2899,1.2,1.21,9887.0
2025-10-16 04:00:00+00:00,1.23,1.45,1.22,1.32,3167956.0
2025-10-17 04:00:00+00:00,1.26,1.38,1.1,1.1,638879.0
2025-10-20 04:00:00+00:00,1.02,1.25,1.02,1.2,163001.0
2025-10-21 04:00:00+00:00,1.1901,1.2,1.11,1.18,34995.0
2025-10-22 04:00:00+00:00,1.16,1.16,1.07,1.118,13410.0
2025-10-23 04:00:00+00:00,1.04,1.1699,1.04,1.06,47260.0
2025-10-24 04:00:00+00:00,1.1,1.2,1.0836,1.11,27580.0
2025-10-27 04:00:00+00:00,1.11,1.1443,1.09,1.09,5274.0
2025-10-28 04:00:00+00:00,1.09,1.13,1.07,1.07,11091.0
2025-10-29 04:00:00+00:00,1.06,1.06,0.985,0.985,46174.0
2025-10-30 04:00:00+00:00,0.98,1.05,0.96,1.03,73113.0
2025-10-31 04:00:00+00:00,0.9991,1.02,0.9507,0.9888,17544.0
2025-11-03 05:00:00+00:00,1.05,1.14,0.99,1.03,8430.0
2025-11-04 05:00:00+00:00,0.9309,1.0,0.8956,0.9172,33795.0
2025-11-05 05:00:00+00:00,0.917,0.917,0.81,0.8502,6670.0
2025-11-06 05:00:00+00:00,0.87,0.92,0.7828,0.9,47580.0
2025-11-07 05:00:00+00:00,0.81,0.85,0.7502,0.84,18557.0
2025-11-10 05:00:00+00:00,0.85,0.8895,0.81,0.831,58248.0
2025-11-11 05:00:00+00:00,0.831,0.9,0.8,0.8999,14300.0
2025-11-12 05:00:00+00:00,0.9,1.0,0.895,0.985,45440.0
2025-11-13 05:00:00+00:00,0.99,1.03,0.94,0.945,3513.0
2025-11-14 05:00:00+00:00,0.851,0.9528,0.851,0.9523,6112.0
2025-11-17 05:00:00+00:00,0.9,0.9944,0.89,0.92,18436.0
2025-11-18 05:00:00+00:00,0.79,0.9199,0.79,0.9199,5837.0
2025-11-19 05:00:00+00:00,0.92,0.92,0.8507,0.89,4145.0
2025-11-20 05:00:00+00:00,0.93,0.957,0.8386,0.849,9584.0
2025-11-21 05:00:00+00:00,0.8,0.92,0.7654,0.8919,6501.0
2025-11-24 05:00:00+00:00,0.814,0.85,0.814,0.85,3495.0
2025-11-25 05:00:00+00:00,0.85,0.85,0.84,0.85,4117.0
2025-11-26 05:00:00+00:00,0.7901,0.799,0.7901,0.799,3258.0
2025-11-28 05:00:00+00:00,0.89,0.89,0.7766,0.7766,842.0
