Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,5.71,5.71,5.1809,5.37,96234
2025-11-04 05:00:00+00:00,5.27,5.73,5.091,5.2,35848
2025-11-05 05:00:00+00:00,5.27,5.73,5.17,5.69,41879
2025-11-06 05:00:00+00:00,5.58,5.84,5.0,5.2,42779
2025-11-07 05:00:00+00:00,5.3,5.33,4.53,4.6,80189
2025-11-10 05:00:00+00:00,4.53,4.57,3.66,4.29,233513
2025-11-11 05:00:00+00:00,4.29,4.4134,4.0601,4.33,77894
2025-11-12 05:00:00+00:00,4.31,4.7163,4.295,4.56,75441
2025-11-13 05:00:00+00:00,4.56,4.56,4.3901,4.42,20308
2025-11-14 05:00:00+00:00,4.36,4.5299,4.265,4.4,32915
2025-11-17 05:00:00+00:00,4.46,5.7,4.4302,5.43,249501
2025-11-18 05:00:00+00:00,5.42,5.7,5.3134,5.45,28627
2025-11-19 05:00:00+00:00,5.51,5.51,4.97,5.03,43610
2025-11-20 05:00:00+00:00,5.09,5.23,4.88,4.92,28930
2025-11-21 05:00:00+00:00,4.93,5.0899,4.84,4.87,17620
2025-11-24 05:00:00+00:00,4.87,5.16,4.87,4.87,43692
2025-11-25 05:00:00+00:00,4.91,5.85,4.91,5.69,103650
2025-11-26 05:00:00+00:00,5.72,6.42,5.37,5.41,150107
2025-11-28 05:00:00+00:00,5.51,5.51,4.5,4.88,90260
2025-12-01 05:00:00+00:00,4.9,5.63,4.89,5.23,81455
2025-12-02 05:00:00+00:00,5.21,5.54,5.1019,5.31,55943
2025-12-03 05:00:00+00:00,5.37,5.6019,5.06,5.4,49231
2025-12-04 05:00:00+00:00,5.35,5.9,5.2461,5.785,70698
2025-12-05 05:00:00+00:00,5.82,5.9723,5.54,5.65,28391
2025-12-08 05:00:00+00:00,5.65,5.76,4.45,4.93,298102
2025-12-09 05:00:00+00:00,4.9,5.3865,4.735,5.315,66329
2025-12-10 05:00:00+00:00,5.25,5.35,5.12,5.12,18779
2025-12-11 05:00:00+00:00,5.12,5.15,4.83,4.97,20783
2025-12-12 05:00:00+00:00,5.0,5.1199,4.97,5.02,25620
2025-12-15 05:00:00+00:00,4.91,5.02,4.82,4.86,29836
2025-12-16 05:00:00+00:00,4.86,4.9908,4.8,4.85,24824
2025-12-17 05:00:00+00:00,4.88,5.08,4.82,4.97,18647
2025-12-18 05:00:00+00:00,4.98,5.145,4.9646,5.07,26058
2025-12-19 05:00:00+00:00,5.1,5.32,4.96,5.03,140045
2025-12-22 05:00:00+00:00,5.03,5.34,4.85,4.85,38915
2025-12-23 05:00:00+00:00,4.81,4.95,4.65,4.66,32323
2025-12-24 05:00:00+00:00,4.75,5.23,4.75,5.23,34070
2025-12-26 05:00:00+00:00,5.24,5.24,4.85,4.93,20894
2025-12-29 05:00:00+00:00,4.91,5.0499,4.75,4.87,55888
2025-12-30 05:00:00+00:00,4.9,4.9099,4.7,4.72,19311
2025-12-31 05:00:00+00:00,4.71,4.969,4.69,4.88,41625
