Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,0.7821,0.7898,0.751,0.7641,212667
2025-11-04 05:00:00+00:00,0.72,0.757,0.7,0.7228,272914
2025-11-05 05:00:00+00:00,0.74,0.7598,0.7252,0.7318,136796
2025-11-06 05:00:00+00:00,0.75,0.7555,0.7066,0.7185,115170
2025-11-07 05:00:00+00:00,0.717,0.7184,0.6555,0.6943,334765
2025-11-10 05:00:00+00:00,0.6944,0.7327,0.6897,0.707,99741
2025-11-11 05:00:00+00:00,0.7,0.7582,0.685,0.7323,86834
2025-11-12 05:00:00+00:00,0.733,0.7699,0.732,0.7335,51584
2025-11-13 05:00:00+00:00,0.75,0.75,0.6701,0.6779,205142
2025-11-14 05:00:00+00:00,0.68,0.7,0.66,0.6894,69747
2025-11-17 05:00:00+00:00,0.7198,0.7376,0.67,0.6771,66788
2025-11-18 05:00:00+00:00,0.67,0.67,0.63,0.64,284355
2025-11-19 05:00:00+00:00,0.6411,0.68,0.6301,0.6301,72122
2025-11-20 05:00:00+00:00,0.65,0.68,0.6,0.601,160614
2025-11-21 05:00:00+00:00,0.608,0.658,0.6,0.636,335711
2025-11-24 05:00:00+00:00,0.649,0.688,0.628,0.6642,105717
2025-11-25 05:00:00+00:00,0.66,0.6999,0.66,0.6835,72468
2025-11-26 05:00:00+00:00,0.68,0.7269,0.68,0.6998,67037
2025-11-28 05:00:00+00:00,0.72,0.72,0.68,0.6948,66478
2025-12-01 05:00:00+00:00,0.7,0.7106,0.681,0.6811,36133
2025-12-02 05:00:00+00:00,0.68,0.6856,0.66,0.6623,55325
2025-12-03 05:00:00+00:00,0.6918,0.7099,0.67,0.6812,259560
2025-12-04 05:00:00+00:00,0.6925,0.72,0.6666,0.671,71403
2025-12-05 05:00:00+00:00,0.7,0.7159,0.66,0.712,211477
2025-12-08 05:00:00+00:00,0.7118,0.75,0.65,0.655,245937
2025-12-09 05:00:00+00:00,0.6711,0.6711,0.62,0.6259,435799
2025-12-10 05:00:00+00:00,0.63,0.635,0.5927,0.6,407089
2025-12-11 05:00:00+00:00,0.605,0.61,0.5456,0.585,550648
2025-12-12 05:00:00+00:00,0.6038,0.6598,0.5801,0.6574,403205
2025-12-15 05:00:00+00:00,0.67,0.689,0.66,0.661,226246
2025-12-16 05:00:00+00:00,0.699,0.7114,0.6681,0.7068,391934
2025-12-17 05:00:00+00:00,0.71,0.8259,0.6609,0.668,530433
2025-12-18 05:00:00+00:00,0.668,0.72,0.651,0.7161,243794
2025-12-19 05:00:00+00:00,0.7269,0.7572,0.7,0.7342,347405
2025-12-22 05:00:00+00:00,0.75,0.82,0.74,0.8039,406470
2025-12-23 05:00:00+00:00,0.79,0.79,0.69,0.716,370585
2025-12-24 05:00:00+00:00,0.73,0.7772,0.7,0.7658,277236
2025-12-26 05:00:00+00:00,0.75,0.75,0.7075,0.7297,137066
2025-12-29 05:00:00+00:00,0.692,0.7251,0.68,0.7244,266301
2025-12-30 05:00:00+00:00,0.72,0.749,0.694,0.7219,201060
2025-12-31 05:00:00+00:00,0.711,0.77,0.7002,0.758,214148
