Date,Open,High,Low,Close,Volume
2025-01-24 05:00:00+00:00,0.05,0.2,0.03,0.2,17530.0
2025-01-27 05:00:00+00:00,0.02,0.16,0.02,0.035,101436.0
2025-01-28 05:00:00+00:00,0.0176,0.0275,0.0112,0.0189,1434531.0
2025-01-29 05:00:00+00:00,0.0103,0.019,0.009,0.0135,1766778.0
2025-01-30 05:00:00+00:00,0.0082,0.012,0.0082,0.0097,1619912.0
2025-01-31 05:00:00+00:00,0.0084,0.0104,0.008,0.01,1006746.0
2025-02-03 05:00:00+00:00,0.0082,0.017,0.0082,0.0145,740873.0
2025-02-04 05:00:00+00:00,0.022,0.026,0.0168,0.02,1157095.0
2025-02-05 05:00:00+00:00,0.0185,0.02,0.0168,0.017,539183.0
2025-02-06 05:00:00+00:00,0.011,0.017,0.011,0.0135,824550.0
2025-02-07 05:00:00+00:00,0.01,0.0122,0.01,0.01,809966.0
2025-02-10 05:00:00+00:00,0.0078,0.0106,0.0075,0.0077,677632.0
2025-02-11 05:00:00+00:00,0.005,0.01,0.005,0.0072,573101.0
2025-02-12 05:00:00+00:00,0.007,0.0085,0.0035,0.007,1054583.0
2025-02-13 05:00:00+00:00,0.001,0.01,0.001,0.006,1056973.0
2025-02-14 05:00:00+00:00,0.004,0.01,0.004,0.0081,466564.0
2025-02-18 05:00:00+00:00,0.008,0.02,0.008,0.018,1865997.0
