Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,24.65,24.8,23.52,23.59,363366.0
2025-03-04 05:00:00+00:00,23.3,24.105,23.0,23.86,461968.0
2025-03-05 05:00:00+00:00,23.81,24.38,23.57,24.34,809350.0
2025-03-06 05:00:00+00:00,23.98,25.18,23.98,24.91,486335.0
2025-03-07 05:00:00+00:00,24.88,25.77,24.8,25.74,419894.0
2025-03-10 04:00:00+00:00,25.41,25.68,25.11,25.22,508427.0
2025-03-11 04:00:00+00:00,25.03,25.48,24.43,25.24,635028.0
2025-03-12 04:00:00+00:00,25.44,25.61,24.655,24.97,562418.0
2025-03-13 04:00:00+00:00,24.85,25.3,24.42,24.7,604517.0
2025-03-14 04:00:00+00:00,25.14,25.36,24.8209,25.19,229847.0
2025-03-17 04:00:00+00:00,25.15,25.48,24.94,25.18,282214.0
2025-03-18 04:00:00+00:00,24.77,25.19,24.72,24.82,264847.0
2025-03-19 04:00:00+00:00,24.98,25.05,23.89,24.04,511772.0
2025-03-20 04:00:00+00:00,23.91,24.47,23.85,24.24,593827.0
2025-03-21 04:00:00+00:00,23.9,24.145,23.31,23.94,454772.0
2025-03-24 04:00:00+00:00,24.44,24.7,23.99,24.62,643773.0
2025-03-25 04:00:00+00:00,24.62,24.66,23.55,24.27,615537.0
2025-03-26 04:00:00+00:00,24.36,24.46,23.81,23.82,310973.0
2025-03-27 04:00:00+00:00,23.8,24.0634,23.17,23.34,431100.0
2025-03-28 04:00:00+00:00,23.17,23.33,22.62,23.1,511258.0
2025-03-31 04:00:00+00:00,22.82,23.05,22.36,23.02,470278.0
2025-04-01 04:00:00+00:00,23.4,23.6,22.49,22.67,377519.0
2025-04-02 04:00:00+00:00,22.38,23.06,22.25,22.89,264174.0
2025-04-03 04:00:00+00:00,22.2,22.32,20.935,21.16,374682.0
2025-04-04 04:00:00+00:00,20.48,20.885,19.625,20.28,769310.0
2025-04-07 04:00:00+00:00,19.52,20.955,19.0,20.26,952685.0
2025-04-08 04:00:00+00:00,21.07,21.11,19.52,19.82,731553.0
2025-04-09 04:00:00+00:00,19.64,22.34,19.42,21.9,796231.0
2025-04-10 04:00:00+00:00,21.24,21.37,20.01,21.01,554203.0
2025-04-11 04:00:00+00:00,20.93,21.73,20.71,21.59,580772.0
2025-04-14 04:00:00+00:00,22.14,22.28,21.56,22.08,445328.0
2025-04-15 04:00:00+00:00,21.95,22.35,21.57,21.64,642535.0
2025-04-16 04:00:00+00:00,21.4,21.93,21.24,21.6,373122.0
2025-04-17 04:00:00+00:00,21.6,21.91,21.4416,21.69,285602.0
2025-04-21 04:00:00+00:00,21.43,21.7301,21.1401,21.41,255613.0
2025-04-22 04:00:00+00:00,21.6,21.82,21.35,21.77,533519.0
2025-04-23 04:00:00+00:00,22.64,22.88,21.87,21.99,387960.0
2025-04-24 04:00:00+00:00,22.04,22.9099,22.04,22.77,363730.0
2025-04-25 04:00:00+00:00,22.64,22.94,22.39,22.88,249154.0
2025-04-28 04:00:00+00:00,22.92,22.96,22.46,22.78,226114.0
2025-04-29 04:00:00+00:00,22.69,23.05,22.64,22.87,312377.0
2025-04-30 04:00:00+00:00,22.45,22.935,22.14,22.85,343275.0
2025-05-01 04:00:00+00:00,22.9,23.3,22.73,23.0,448090.0
2025-05-02 04:00:00+00:00,23.34,23.93,23.1,23.78,457514.0
2025-05-05 04:00:00+00:00,26.56,27.735,24.61,24.65,1826088.0
2025-05-06 04:00:00+00:00,24.38,24.98,24.13,24.72,542015.0
2025-05-07 04:00:00+00:00,24.91,25.04,24.6,24.93,388677.0
2025-05-08 04:00:00+00:00,25.07,26.2564,24.82,26.2,491093.0
2025-05-09 04:00:00+00:00,26.21,26.64,26.2074,26.37,459601.0
2025-05-12 04:00:00+00:00,27.5,27.82,26.88,27.41,386617.0
2025-05-13 04:00:00+00:00,27.45,27.87,27.18,27.58,333730.0
2025-05-14 04:00:00+00:00,27.58,27.85,27.25,27.63,381311.0
2025-05-15 04:00:00+00:00,27.55,28.05,27.3,27.63,798117.0
2025-05-16 04:00:00+00:00,27.63,27.92,27.42,27.83,316325.0
2025-05-19 04:00:00+00:00,27.36,27.97,27.3201,27.95,303844.0
2025-05-20 04:00:00+00:00,27.95,28.54,27.895,28.34,637870.0
2025-05-21 04:00:00+00:00,28.07,28.5917,28.06,28.3,489771.0
2025-05-22 04:00:00+00:00,28.17,28.56,27.96,28.49,388617.0
2025-05-23 04:00:00+00:00,27.81,28.35,27.67,28.1,352251.0
2025-05-27 04:00:00+00:00,28.5,28.51,28.19,28.34,312631.0
2025-05-28 04:00:00+00:00,28.51,28.51,27.83,27.9,352698.0
2025-05-29 04:00:00+00:00,28.2,28.2,27.665,28.02,329265.0
2025-05-30 04:00:00+00:00,27.92,28.16,27.835,27.9,498519.0
2025-06-02 04:00:00+00:00,27.81,28.1719,27.7025,28.07,361756.0
2025-06-03 04:00:00+00:00,28.14,28.69,28.1,28.62,323967.0
2025-06-04 04:00:00+00:00,28.63,28.88,28.53,28.58,349943.0
2025-06-05 04:00:00+00:00,28.52,28.74,28.31,28.68,461868.0
2025-06-06 04:00:00+00:00,29.08,29.21,28.6908,28.84,396727.0
2025-06-09 04:00:00+00:00,29.05,29.105,28.69,28.69,253444.0
2025-06-10 04:00:00+00:00,28.84,29.0087,28.59,28.75,284619.0
2025-06-11 04:00:00+00:00,28.91,29.15,28.375,28.72,348946.0
2025-06-12 04:00:00+00:00,28.44,28.6685,28.16,28.26,157131.0
2025-06-13 04:00:00+00:00,27.77,27.92,27.15,27.6,442867.0
2025-06-16 04:00:00+00:00,27.63,28.53,27.63,28.51,253571.0
2025-06-17 04:00:00+00:00,28.26,28.83,27.56,28.64,259198.0
2025-06-18 04:00:00+00:00,28.67,29.17,28.39,28.39,318167.0
2025-06-20 04:00:00+00:00,28.39,28.6,26.44,27.35,481455.0
2025-06-23 04:00:00+00:00,27.35,27.9767,27.03,27.59,266827.0
2025-06-24 04:00:00+00:00,27.87,28.33,27.71,28.29,275157.0
2025-06-25 04:00:00+00:00,28.83,29.72,28.64,29.51,336054.0
2025-06-26 04:00:00+00:00,29.5,29.9,29.2907,29.82,273035.0
2025-06-27 04:00:00+00:00,29.89,30.23,29.35,29.63,451614.0
2025-06-30 04:00:00+00:00,29.77,29.84,29.38,29.69,202209.0
