Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,5.406,5.54,5.25,5.49,7771.15
2024-12-03 05:00:00+00:00,5.348,5.514,5.032,5.126,16552.7
2024-12-04 05:00:00+00:00,5.1,5.332,5.062,5.332,9529.2
2024-12-05 05:00:00+00:00,4.6,5.198,4.6,4.94,27448.2
2024-12-06 05:00:00+00:00,5.136,5.136,4.81,4.966,6579.0
2024-12-09 05:00:00+00:00,4.82,5.2,4.82,5.1,23702.45
2024-12-10 05:00:00+00:00,5.1,5.28,4.66,4.956,30709.2
2024-12-11 05:00:00+00:00,4.86,5.15,4.7,4.76,9428.9
2024-12-12 05:00:00+00:00,4.64,4.894,4.632,4.68,8992.05
2024-12-13 05:00:00+00:00,4.75,4.8,4.624,4.682,6835.75
2024-12-16 05:00:00+00:00,4.682,4.836,4.6,4.6,14194.7
2024-12-17 05:00:00+00:00,4.5,5.04,4.464,4.78,23460.35
2024-12-18 05:00:00+00:00,4.58,4.79,4.5,4.504,20302.0
2024-12-19 05:00:00+00:00,4.72,4.72,4.49,4.49,11393.75
2024-12-20 05:00:00+00:00,4.4,4.8,4.4,4.476,13118.05
2024-12-23 05:00:00+00:00,4.76,4.766,4.4,4.52,11353.25
2024-12-24 05:00:00+00:00,4.5,4.8,4.434,4.518,8355.15
2024-12-26 05:00:00+00:00,4.87,5.4,4.666,5.24,32444.65
2024-12-27 05:00:00+00:00,5.72,5.932,4.7,4.868,74961.35
2024-12-30 05:00:00+00:00,18.0,42.6,13.644,30.0,28657737.2
2024-12-31 05:00:00+00:00,38.2,45.0,16.02,21.2,3640185.35
2025-01-02 05:00:00+00:00,19.008,20.6,16.4,18.8,349657.65
2025-01-03 05:00:00+00:00,14.666,15.698,12.314,14.292,379514.6
2025-01-06 05:00:00+00:00,15.0,25.8,14.8,20.4,1236586.8
2025-01-07 05:00:00+00:00,16.0,20.6,15.802,17.652,222837.0
2025-01-08 05:00:00+00:00,16.3,17.322,14.04,16.002,132462.9
2025-01-10 05:00:00+00:00,15.2,16.424,14.454,14.9,53235.25
2025-01-13 05:00:00+00:00,13.6,14.0,12.0,13.738,82876.75
2025-01-14 05:00:00+00:00,13.12,13.6,12.0,12.2,43226.5
2025-01-15 05:00:00+00:00,11.196,12.224,10.402,11.208,71868.4
2025-01-16 05:00:00+00:00,11.2,14.8,11.0,11.618,113298.7
2025-01-17 05:00:00+00:00,10.998,11.928,10.4,11.0,74286.45
2025-01-21 05:00:00+00:00,10.886,11.2,10.534,11.2,26907.4
