Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,0.7297,0.73,0.68,0.711,58978.0
2024-12-03 05:00:00+00:00,0.72,0.7219,0.67,0.6906,42700.0
2024-12-04 05:00:00+00:00,0.675,0.7287,0.675,0.708,13429.0
2024-12-05 05:00:00+00:00,0.7,0.7,0.6713,0.673,77751.0
2024-12-06 05:00:00+00:00,0.69,0.7,0.673,0.6942,57824.0
2024-12-09 05:00:00+00:00,0.6923,0.72,0.6852,0.6999,42649.0
2024-12-10 05:00:00+00:00,0.682,0.7,0.671,0.6802,25096.0
2024-12-11 05:00:00+00:00,0.6713,0.6948,0.6604,0.673,31173.0
2024-12-12 05:00:00+00:00,0.66,0.68,0.6306,0.65,41593.0
2024-12-13 05:00:00+00:00,0.679,0.68,0.65,0.676,18586.0
2024-12-16 05:00:00+00:00,0.676,0.68,0.6301,0.641,45626.0
2024-12-17 05:00:00+00:00,0.69,0.6999,0.581,0.626,109698.0
2024-12-18 05:00:00+00:00,0.642,0.642,0.5822,0.5828,27959.0
2024-12-19 05:00:00+00:00,0.6,0.6,0.5681,0.589,55177.0
2024-12-20 05:00:00+00:00,0.5655,0.7174,0.4603,0.6641,9153095.0
2024-12-23 05:00:00+00:00,0.6357,0.65,0.557,0.6401,388844.0
2024-12-24 05:00:00+00:00,0.61,0.62,0.571,0.59,115913.0
2024-12-26 05:00:00+00:00,0.58,0.5899,0.5599,0.562,208094.0
2024-12-27 05:00:00+00:00,0.59,0.5939,0.56,0.572,123887.0
2024-12-30 05:00:00+00:00,0.58,0.6038,0.5329,0.6,204129.0
2024-12-31 05:00:00+00:00,0.6072,0.6072,0.535,0.553,194545.0
2025-01-02 05:00:00+00:00,0.5861,0.619,0.5541,0.5949,82011.0
2025-01-03 05:00:00+00:00,0.6101,0.751,0.6072,0.729,521590.0
2025-01-06 05:00:00+00:00,0.71,0.7147,0.6501,0.6853,145139.0
2025-01-07 05:00:00+00:00,0.6921,0.7419,0.6647,0.7419,205521.0
2025-01-08 05:00:00+00:00,0.76,0.76,0.64,0.6681,171477.0
2025-01-10 05:00:00+00:00,0.65,0.66,0.6065,0.6318,141583.0
2025-01-13 05:00:00+00:00,0.6228,0.7009,0.607,0.6837,138929.0
2025-01-14 05:00:00+00:00,0.6732,0.6732,0.6013,0.6225,64806.0
2025-01-15 05:00:00+00:00,0.625,0.6698,0.5514,0.6022,58009.0
2025-01-16 05:00:00+00:00,0.61,0.61,0.55,0.574,248502.0
2025-01-17 05:00:00+00:00,0.574,0.6004,0.5301,0.54,108526.0
2025-01-21 05:00:00+00:00,0.53,0.53,0.4605,0.48,302843.0
2025-01-22 05:00:00+00:00,0.497,0.5049,0.4312,0.465,172790.0
2025-01-23 05:00:00+00:00,0.47,0.4933,0.44,0.45,106354.0
2025-01-24 05:00:00+00:00,0.442,0.4545,0.4,0.42,291005.0
2025-01-27 05:00:00+00:00,0.41,0.45,0.343,0.343,319047.0
2025-01-28 05:00:00+00:00,0.385,0.385,0.3271,0.33,349256.0
2025-01-29 05:00:00+00:00,0.5671,0.6594,0.2401,0.2431,186703606.0
2025-01-30 05:00:00+00:00,0.2351,0.2566,0.1821,0.1895,20521231.0
2025-01-31 05:00:00+00:00,0.2,0.2189,0.1911,0.1961,6656284.0
2025-02-03 05:00:00+00:00,0.181,0.1873,0.165,0.1825,4904702.0
2025-02-04 05:00:00+00:00,0.17,0.17,0.156,0.16,3934039.0
2025-02-05 05:00:00+00:00,0.15,0.155,0.14,0.1459,2679256.0
2025-02-06 05:00:00+00:00,0.152,0.245,0.1313,0.1339,73139612.0
2025-02-07 05:00:00+00:00,0.1411,0.1507,0.131,0.1329,11227652.0
2025-02-10 05:00:00+00:00,0.2229,0.2264,0.1127,0.148,558319340.0
2025-02-11 05:00:00+00:00,0.2078,0.27,0.1631,0.2,562109099.0
2025-02-12 05:00:00+00:00,0.1809,0.1899,0.161,0.1738,74067986.0
2025-02-13 05:00:00+00:00,0.1548,0.168,0.146,0.1491,51198727.0
2025-02-14 05:00:00+00:00,0.143,0.1474,0.1235,0.1275,43289468.0
2025-02-18 05:00:00+00:00,0.1228,0.144,0.12,0.1318,32757219.0
2025-02-19 05:00:00+00:00,0.124,0.1628,0.1211,0.146,100571854.0
2025-02-20 05:00:00+00:00,0.1358,0.144,0.132,0.1393,25265216.0
2025-02-21 05:00:00+00:00,0.1339,0.135,0.123,0.1266,20060857.0
2025-02-24 05:00:00+00:00,0.1271,0.1271,0.1175,0.12,15008428.0
2025-02-25 05:00:00+00:00,0.119,0.119,0.098,0.105,26007661.0
2025-02-26 05:00:00+00:00,0.105,0.1099,0.1,0.101,17167035.0
2025-02-27 05:00:00+00:00,0.0966,0.1034,0.09,0.1006,36666781.0
2025-02-28 05:00:00+00:00,0.095,0.1069,0.0945,0.1,30993944.0
2025-03-03 05:00:00+00:00,0.095,0.0981,0.087,0.0895,17193023.0
2025-03-04 05:00:00+00:00,0.08,0.086,0.0753,0.085,11751274.0
