Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,30.5,30.75,30.5,30.69,8471
2025-03-04 05:00:00+00:00,30.0964,30.745,30.0964,30.53,14656
2025-03-05 05:00:00+00:00,30.595,30.72,30.42,30.42,11481
2025-03-06 05:00:00+00:00,30.4,30.84,30.4,30.68,8181
2025-03-07 05:00:00+00:00,30.93,30.93,30.5,30.59,8204
2025-03-10 04:00:00+00:00,30.4,30.85,30.0,30.22,10790
2025-03-11 04:00:00+00:00,30.3,30.375,29.9,29.93,9419
2025-03-12 04:00:00+00:00,30.1,30.37,29.89,29.92,9536
2025-03-13 04:00:00+00:00,30.1817,30.25,30.0,30.2,17515
2025-03-14 04:00:00+00:00,30.2,30.355,29.9,30.11,10362
2025-03-17 04:00:00+00:00,30.25,30.25,30.1,30.14,5717
2025-03-18 04:00:00+00:00,30.41,30.41,30.05,30.1,14932
2025-03-19 04:00:00+00:00,30.12,30.12,29.57,30.0,19576
2025-03-20 04:00:00+00:00,30.05,30.11,29.9,29.9,11414
2025-03-21 04:00:00+00:00,29.9,29.99,29.45,29.9,14672
2025-03-24 04:00:00+00:00,29.89,30.18,29.75,29.9,11984
2025-03-25 04:00:00+00:00,29.97,30.07,29.9,29.92,5773
2025-03-26 04:00:00+00:00,30.05,30.13,29.8,29.9,6842
2025-03-27 04:00:00+00:00,30.08,30.205,29.91,30.02,9518
2025-03-28 04:00:00+00:00,30.0,30.04,29.9,29.94,9741
2025-03-31 04:00:00+00:00,30.0,30.07,29.9,29.94,9994
2025-04-01 04:00:00+00:00,29.9,29.965,29.895,29.95,6633
2025-04-02 04:00:00+00:00,29.95,29.9825,29.85,29.91,8060
2025-04-03 04:00:00+00:00,36.49,37.32,36.12,36.82,471475
2025-04-04 04:00:00+00:00,36.2,36.675,35.45,36.46,25658
2025-04-07 04:00:00+00:00,36.02,37.25,35.82,36.34,14151
2025-04-08 04:00:00+00:00,36.635,37.048,36.0,36.0,14642
2025-04-09 04:00:00+00:00,35.79,37.68,35.45,37.68,26280
2025-04-10 04:00:00+00:00,37.39,37.46,36.49,36.89,21376
2025-04-11 04:00:00+00:00,36.75,37.165,36.4,36.75,14313
2025-04-14 04:00:00+00:00,36.7,37.64,35.11,37.63,12843
2025-04-15 04:00:00+00:00,37.01,37.9499,36.5051,37.0,13182
2025-04-16 04:00:00+00:00,36.0491,38.56,36.0491,37.94,33534
2025-04-17 04:00:00+00:00,38.9,38.9,37.585,37.98,17427
2025-04-21 04:00:00+00:00,38.46,38.46,37.53,37.76,5244
2025-04-22 04:00:00+00:00,37.9,38.69,37.84,38.69,24789
2025-04-23 04:00:00+00:00,38.705,39.43,38.64,39.06,18950
2025-04-24 04:00:00+00:00,39.13,39.49,37.905,39.3,11237
2025-04-25 04:00:00+00:00,39.36,39.455,38.61,39.02,12821
2025-04-28 04:00:00+00:00,38.9067,39.27,38.595,39.27,7844
2025-04-29 04:00:00+00:00,39.11,39.25,38.71,38.94,11172
2025-04-30 04:00:00+00:00,39.03,39.03,38.58,38.84,9678
2025-05-01 04:00:00+00:00,38.5101,39.44,38.5101,38.64,9144
2025-05-02 04:00:00+00:00,38.81,39.5,38.74,39.5,17796
2025-05-05 04:00:00+00:00,39.44,39.87,39.16,39.42,10872
2025-05-06 04:00:00+00:00,39.46,39.46,39.1,39.28,8095
2025-05-07 04:00:00+00:00,39.59,39.75,39.36,39.44,6743
2025-05-08 04:00:00+00:00,39.7,39.7,38.96,39.4,12709
2025-05-09 04:00:00+00:00,39.106,39.185,38.91,39.17,6972
2025-05-12 04:00:00+00:00,39.575,39.91,39.4801,39.5,6981
2025-05-13 04:00:00+00:00,39.5,39.715,39.39,39.39,10490
2025-05-14 04:00:00+00:00,39.66,39.9361,39.4,39.72,7810
2025-05-15 04:00:00+00:00,40.09,40.09,39.83,40.02,6539
2025-05-16 04:00:00+00:00,40.1,40.1,39.125,39.71,7873
2025-05-19 04:00:00+00:00,39.92,40.8799,39.91,40.51,14630
2025-05-20 04:00:00+00:00,40.75,40.75,40.08,40.58,5153
2025-05-21 04:00:00+00:00,40.29,40.4,40.24,40.4,5112
2025-05-22 04:00:00+00:00,40.28,40.57,39.4,39.4,6244
2025-05-23 04:00:00+00:00,39.83,39.83,39.01,39.01,13426
2025-05-27 04:00:00+00:00,38.95,40.0,38.83,39.42,11548
2025-05-28 04:00:00+00:00,39.26,39.97,39.26,39.95,8782
2025-05-29 04:00:00+00:00,40.05,40.3,39.3775,39.9,6634
2025-05-30 04:00:00+00:00,40.13,40.13,39.55,39.55,4683
2025-06-02 04:00:00+00:00,39.85,40.25,39.36,39.38,13006
2025-06-03 04:00:00+00:00,39.19,39.885,38.61,39.01,12433
2025-06-04 04:00:00+00:00,39.0787,39.9,38.89,38.89,12124
2025-06-05 04:00:00+00:00,38.81,39.41,38.755,38.86,12062
2025-06-06 04:00:00+00:00,39.185,39.335,38.7763,39.1,13216
2025-06-09 04:00:00+00:00,39.14,39.55,39.065,39.3,18673
2025-06-10 04:00:00+00:00,39.375,40.32,39.375,39.67,11489
