Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,59.64,64.96,58.64,63.36,213219.5
2025-07-02 04:00:00+00:00,62.72,63.6244,60.52,61.76,86522.5
2025-07-03 04:00:00+00:00,59.56,61.48,58.6528,59.76,82963.75
2025-07-07 04:00:00+00:00,59.88,61.6,55.4,55.48,131962.25
2025-07-08 04:00:00+00:00,55.92,58.16,55.04,55.04,77971.5
2025-07-09 04:00:00+00:00,55.48,56.92,52.44,52.44,168614.0
2025-07-10 04:00:00+00:00,52.08,55.0436,51.02,52.88,141500.0
2025-07-11 04:00:00+00:00,53.2,53.3948,51.38,53.12,112815.0
2025-07-14 04:00:00+00:00,52.84,52.84,47.662,47.92,350091.0
2025-07-15 04:00:00+00:00,48.0,49.0,47.04,48.32,195426.25
2025-07-16 04:00:00+00:00,48.08,48.8984,46.434,46.72,187014.5
2025-07-17 04:00:00+00:00,46.4,46.8,43.9184,44.76,275965.75
2025-07-18 04:00:00+00:00,44.62,46.08,44.44,45.12,197548.75
2025-07-21 04:00:00+00:00,44.84,46.3216,44.04,46.08,194960.25
2025-07-22 04:00:00+00:00,46.72,50.1704,46.2,47.72,325785.5
2025-07-23 04:00:00+00:00,47.4,48.24,44.24,44.24,234577.0
2025-07-24 04:00:00+00:00,44.6,45.4084,43.72,44.0176,208752.0
2025-07-25 04:00:00+00:00,43.72,43.72,41.02,41.8,445398.25
2025-07-28 04:00:00+00:00,41.36,44.84,41.2,42.28,700398.75
2025-07-29 04:00:00+00:00,41.8,43.82,41.16,43.12,389163.25
2025-07-30 04:00:00+00:00,42.68,43.04,41.52,41.84,257600.0
2025-07-31 04:00:00+00:00,41.28,42.88,40.68,42.0,313032.0
2025-08-01 04:00:00+00:00,43.88,45.88,42.1444,44.16,482823.75
2025-08-04 04:00:00+00:00,41.84,42.1192,40.28,40.6,1645176.75
2025-08-05 04:00:00+00:00,34.96,36.18,32.8,34.24,3653544.5
2025-08-06 04:00:00+00:00,35.0,35.04,31.38,31.76,2298667.75
2025-08-07 04:00:00+00:00,31.2,32.16,30.0,30.72,2235836.25
2025-08-08 04:00:00+00:00,29.96,30.0,28.84,29.16,1838395.5
2025-08-11 04:00:00+00:00,29.28,30.76,29.12,30.48,1823732.25
2025-08-12 04:00:00+00:00,29.76,30.7,28.68,29.08,1954267.75
2025-08-13 04:00:00+00:00,28.44,30.12,28.32,29.88,2080638.0
2025-08-14 04:00:00+00:00,30.6,31.5596,29.6,30.96,2732234.25
2025-08-15 04:00:00+00:00,31.4,33.56,31.4,32.24,2578516.5
2025-08-18 04:00:00+00:00,33.0,34.3832,32.0,33.4,3348425.75
2025-08-19 04:00:00+00:00,34.48,39.9856,34.08,39.68,5463367.0
2025-08-20 04:00:00+00:00,42.44,47.4,40.32,40.56,13330257.0
2025-08-21 04:00:00+00:00,39.96,41.7196,39.52,40.44,6215135.25
2025-08-22 04:00:00+00:00,40.96,42.0,36.8752,39.12,5243506.25
2025-08-25 04:00:00+00:00,40.44,43.8,39.24,39.92,5316678.25
2025-08-26 04:00:00+00:00,40.84,41.2,37.44,38.04,3599213.75
2025-08-27 04:00:00+00:00,37.48,40.36,37.4,40.04,3786448.5
2025-08-28 04:00:00+00:00,39.52,41.72,39.2,39.28,3049283.5
2025-08-29 04:00:00+00:00,39.88,41.2,39.1604,39.96,2476727.5
2025-09-02 04:00:00+00:00,42.88,43.28,39.16,39.8,3717897.0
2025-09-03 04:00:00+00:00,39.32,41.56,37.76,40.88,2875697.5
2025-09-04 04:00:00+00:00,40.96,41.8,39.8,39.88,2007263.5
2025-09-05 04:00:00+00:00,39.36,44.4352,38.84,41.8,3277361.5
2025-09-08 04:00:00+00:00,40.8,40.8,39.0,40.16,2372411.75
