Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,0.6934,0.7007,0.6596,0.6874,44666.0
2025-11-04 05:00:00+00:00,0.675,0.675,0.63,0.6323,20354.0
2025-11-05 05:00:00+00:00,0.63,0.6323,0.6111,0.6202,37358.0
2025-11-06 05:00:00+00:00,0.63,0.68,0.621,0.6352,27640.0
2025-11-07 05:00:00+00:00,0.669,0.669,0.6111,0.6144,38102.0
2025-11-10 05:00:00+00:00,0.6116,0.688,0.6116,0.65,14895.0
2025-11-11 05:00:00+00:00,0.62,0.6849,0.62,0.65,18418.0
2025-11-12 05:00:00+00:00,0.6215,0.685,0.6215,0.6675,21699.0
2025-11-13 05:00:00+00:00,0.6511,0.728,0.6511,0.7167,32531.0
2025-11-14 05:00:00+00:00,0.69,0.848,0.69,0.795,229110.0
2025-11-17 05:00:00+00:00,0.8106,0.823,0.6999,0.7499,396222.0
2025-11-18 05:00:00+00:00,0.7101,1.05,0.7101,0.812,893952.0
2025-11-19 05:00:00+00:00,0.9,0.9,0.81,0.8355,69291.0
2025-11-20 05:00:00+00:00,0.865,0.8798,0.8001,0.81,91235.0
2025-11-21 05:00:00+00:00,0.8,0.83,0.8,0.8,20345.0
2025-11-24 05:00:00+00:00,0.7811,0.8333,0.7811,0.8001,30010.0
2025-11-25 05:00:00+00:00,0.8,0.825,0.797,0.797,18965.0
2025-11-26 05:00:00+00:00,0.7612,0.8642,0.76,0.8,11089.0
2025-11-28 05:00:00+00:00,0.7825,0.8004,0.7825,0.79,6824.0
2025-12-01 05:00:00+00:00,0.7922,0.9,0.772,0.8325,120825.0
2025-12-02 05:00:00+00:00,0.8495,0.8989,0.8015,0.85,15216.0
2025-12-03 05:00:00+00:00,0.8019,0.8494,0.8002,0.8201,26116.0
2025-12-04 05:00:00+00:00,0.8351,0.8553,0.8067,0.82,58212.0
2025-12-05 05:00:00+00:00,0.8102,0.8102,0.7499,0.7703,23118.0
2025-12-08 05:00:00+00:00,0.7751,0.8002,0.76,0.76,4643.0
2025-12-09 05:00:00+00:00,0.7607,0.795,0.76,0.76,18083.0
2025-12-10 05:00:00+00:00,0.76,0.76,0.75,0.75,998.0
2025-12-11 05:00:00+00:00,0.75,0.8124,0.75,0.755,18507.0
2025-12-12 05:00:00+00:00,0.785,0.9,0.755,0.8067,335760.0
2025-12-15 05:00:00+00:00,0.865,0.8897,0.7759,0.8449,791749.0
2025-12-16 05:00:00+00:00,0.86,0.88,0.7792,0.8427,275083.0
2025-12-17 05:00:00+00:00,0.8021,0.85,0.8015,0.8215,122124.0
2025-12-18 05:00:00+00:00,0.8215,0.83,0.6,0.7755,30926.0
2025-12-19 05:00:00+00:00,0.7756,0.8228,0.7502,0.7504,36817.0
2025-12-22 05:00:00+00:00,0.7611,0.8,0.7558,0.7558,28628.0
2025-12-23 05:00:00+00:00,0.75,0.8,0.7006,0.7006,17747.0
2025-12-24 05:00:00+00:00,0.73,0.755,0.73,0.733,8874.0
2025-12-26 05:00:00+00:00,0.7001,0.7511,0.7001,0.7136,18580.0
2025-12-29 05:00:00+00:00,0.745,0.795,0.6701,0.6941,312927.0
2025-12-30 05:00:00+00:00,0.75,0.9,0.693,0.7407,1474074.0
2025-12-31 05:00:00+00:00,0.74,0.81,0.721,0.7258,422442.0
