Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,1.07,1.08,1.03,1.05,222673.0
2024-12-03 05:00:00+00:00,1.04,1.06,0.972,0.9817,362781.0
2024-12-04 05:00:00+00:00,0.9909,1.04,0.9413,0.95,427799.0
2024-12-05 05:00:00+00:00,0.9555,0.9837,0.9153,0.9364,315093.0
2024-12-06 05:00:00+00:00,0.94,0.99,0.94,0.9542,302742.0
2024-12-09 05:00:00+00:00,0.96,1.1298,0.96,1.03,541730.0
2024-12-10 05:00:00+00:00,1.05,1.07,0.9626,0.97,563628.0
2024-12-11 05:00:00+00:00,0.9701,0.98,0.91,0.94,949511.0
2024-12-12 05:00:00+00:00,0.93,0.9618,0.8537,0.8852,541559.0
2024-12-13 05:00:00+00:00,0.9,0.907,0.8,0.8,450488.0
2024-12-16 05:00:00+00:00,0.7966,0.9222,0.7966,0.8957,1499325.0
2024-12-17 05:00:00+00:00,0.9033,0.95,0.8503,0.887,404114.0
2024-12-18 05:00:00+00:00,0.869,1.0,0.854,0.9063,490297.0
2024-12-19 05:00:00+00:00,0.93,0.97,0.85,0.888,342169.0
2024-12-20 05:00:00+00:00,0.9374,1.45,0.9374,1.3,4441321.0
2024-12-23 05:00:00+00:00,1.305,1.59,1.15,1.24,1433548.0
2024-12-24 05:00:00+00:00,1.22,1.235,1.135,1.19,218009.0
2024-12-26 05:00:00+00:00,1.3,1.41,1.27,1.4,430455.0
2024-12-27 05:00:00+00:00,1.41,1.475,1.33,1.34,442745.0
2024-12-30 05:00:00+00:00,1.34,1.378,1.12,1.21,919036.0
2024-12-31 05:00:00+00:00,1.25,1.34,1.17,1.275,616198.0
2025-01-02 05:00:00+00:00,1.28,1.292,1.21,1.25,313373.0
2025-01-03 05:00:00+00:00,1.4,1.41,1.3,1.39,455999.0
2025-01-06 05:00:00+00:00,1.38,1.43,1.285,1.33,271312.0
2025-01-07 05:00:00+00:00,1.31,1.33,1.15,1.21,280983.0
2025-01-08 05:00:00+00:00,1.21,1.2581,1.13,1.14,243142.0
2025-01-10 05:00:00+00:00,1.13,1.16,1.03,1.06,327253.0
2025-01-13 05:00:00+00:00,1.08,1.08,0.98,1.03,397642.0
