Date,Open,High,Low,Close,Volume
2025-06-02 04:00:00+00:00,0.746,0.76,0.723,0.7459,441881.0
2025-06-03 04:00:00+00:00,0.73,0.7876,0.7082,0.7792,454756.0
2025-06-04 04:00:00+00:00,0.7779,0.8204,0.7714,0.789,442169.0
2025-06-05 04:00:00+00:00,0.7733,0.819,0.75,0.787,460194.0
2025-06-06 04:00:00+00:00,0.819,0.9801,0.8008,0.9776,971366.0
2025-06-09 04:00:00+00:00,0.9776,1.02,0.9201,0.98,515606.0
2025-06-10 04:00:00+00:00,0.9566,1.03,0.9566,1.0,412504.0
2025-06-11 04:00:00+00:00,1.0,1.05,0.9214,0.9349,385385.0
2025-06-12 04:00:00+00:00,0.91,0.9827,0.8942,0.896,520250.0
2025-06-13 04:00:00+00:00,0.8781,0.919,0.8301,0.8383,297663.0
2025-06-16 04:00:00+00:00,0.8367,1.01,0.8367,0.9863,757059.0
2025-06-17 04:00:00+00:00,0.9863,1.02,0.8579,0.8579,1159314.0
2025-06-18 04:00:00+00:00,0.88,0.9329,0.69,0.6963,1279274.0
2025-06-20 04:00:00+00:00,0.7201,0.77,0.6601,0.6601,1804746.0
2025-06-23 04:00:00+00:00,0.7,0.7263,0.606,0.606,2066763.0
2025-06-24 04:00:00+00:00,0.669,0.7292,0.6444,0.6452,1771046.0
2025-06-25 04:00:00+00:00,0.6516,0.8969,0.6355,0.771,3075258.0
2025-06-26 04:00:00+00:00,0.77,0.79,0.6921,0.7229,876897.0
2025-06-27 04:00:00+00:00,0.7007,0.7421,0.6687,0.6687,12370574.0
2025-06-30 04:00:00+00:00,0.6433,0.6964,0.54,0.5921,1617708.0
2025-07-01 04:00:00+00:00,0.58,0.6076,0.5513,0.5652,1046169.0
2025-07-02 04:00:00+00:00,0.5652,0.61,0.5539,0.5787,460665.0
2025-07-03 04:00:00+00:00,0.6,0.7308,0.5919,0.6372,1540601.0
2025-07-07 04:00:00+00:00,0.65,0.65,0.5916,0.6065,820412.0
2025-07-08 04:00:00+00:00,1.27,4.92,1.02,3.73,343425183.0
2025-07-09 04:00:00+00:00,5.8099,7.13,4.18,4.34,210543106.0
2025-07-10 04:00:00+00:00,4.82,5.95,4.5,5.18,73417508.0
2025-07-11 04:00:00+00:00,4.81,5.45,4.48,4.54,17749272.0
2025-07-14 04:00:00+00:00,4.78,4.95,3.15,3.69,24459126.0
2025-07-15 04:00:00+00:00,4.245,4.3,3.31,3.37,34603412.0
2025-07-16 04:00:00+00:00,3.31,3.8999,3.17,3.73,11491214.0
2025-07-17 04:00:00+00:00,3.83,4.05,3.52,3.52,7530044.0
2025-07-18 04:00:00+00:00,3.56,3.56,3.09,3.15,6584283.0
2025-07-21 04:00:00+00:00,3.29,3.375,3.0811,3.22,3977838.0
2025-07-22 04:00:00+00:00,3.15,3.25,2.87,3.05,4576252.0
2025-07-23 04:00:00+00:00,3.09,3.26,2.8,3.22,5604321.0
2025-07-24 04:00:00+00:00,3.19,3.33,3.06,3.26,3625073.0
2025-07-25 04:00:00+00:00,3.4,3.5,3.16,3.29,2791612.0
2025-07-28 04:00:00+00:00,3.29,3.3,2.95,3.08,3183194.0
2025-07-29 04:00:00+00:00,3.07,3.07,2.64,2.77,2516276.0
2025-07-30 04:00:00+00:00,2.72,2.7701,2.61,2.69,1218523.0
2025-07-31 04:00:00+00:00,2.64,3.04,2.56,2.77,3608586.0
