Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,27.0,27.92,26.37,27.71,1547934.0
2025-11-04 05:00:00+00:00,27.34,27.98,26.79,27.13,1289928.0
2025-11-05 05:00:00+00:00,27.29,28.01,26.545,27.37,1862097.0
2025-11-06 05:00:00+00:00,26.48,27.31,21.1601,21.26,5441545.0
2025-11-07 05:00:00+00:00,21.01,21.57,20.1,20.35,3301351.0
2025-11-10 05:00:00+00:00,20.36,21.03,19.5801,19.73,2385180.0
2025-11-11 05:00:00+00:00,19.68,22.15,19.5,21.89,3119681.0
2025-11-12 05:00:00+00:00,21.89,23.25,21.67,22.59,2428201.0
2025-11-13 05:00:00+00:00,22.17,22.82,21.935,22.18,1226661.0
2025-11-14 05:00:00+00:00,21.37,21.47,20.42,21.34,1717669.0
2025-11-17 05:00:00+00:00,21.2,21.42,20.62,21.1,1081459.0
2025-11-18 05:00:00+00:00,20.89,21.6,20.31,21.28,1352144.0
2025-11-19 05:00:00+00:00,21.38,21.775,20.875,20.99,997040.0
2025-11-20 05:00:00+00:00,21.29,22.07,20.94,21.31,962331.0
2025-11-21 05:00:00+00:00,22.43,24.63,22.02,24.35,1885846.0
2025-11-24 05:00:00+00:00,24.53,26.685,24.1,26.58,1924676.0
2025-11-25 05:00:00+00:00,27.16,28.37,26.9,28.135,1666551.0
2025-11-26 05:00:00+00:00,27.68,28.32,27.48,27.5,1404104.0
2025-11-28 05:00:00+00:00,27.42,27.56,27.03,27.35,389612.0
2025-12-01 05:00:00+00:00,26.98,27.345,26.25,26.48,746964.0
2025-12-02 05:00:00+00:00,26.71,26.885,26.31,26.53,879799.0
2025-12-03 05:00:00+00:00,26.53,27.815,26.53,27.53,1146621.0
2025-12-04 05:00:00+00:00,27.53,27.99,26.52,27.82,788046.0
2025-12-05 05:00:00+00:00,28.09,28.3,27.51,27.76,705720.0
2025-12-08 05:00:00+00:00,28.0,28.28,27.13,27.16,824069.0
2025-12-09 05:00:00+00:00,27.15,27.755,26.835,27.44,868949.0
2025-12-10 05:00:00+00:00,27.44,29.04,27.38,28.795,1427833.0
2025-12-11 05:00:00+00:00,28.92,30.395,28.78,29.66,1344477.0
2025-12-12 05:00:00+00:00,29.73,29.92,28.61,28.8,603312.0
2025-12-15 05:00:00+00:00,28.99,29.42,28.215,29.06,1077916.0
2025-12-16 05:00:00+00:00,29.05,29.39,28.34,28.88,908515.0
2025-12-17 05:00:00+00:00,28.8,29.51,28.685,29.39,789967.0
2025-12-18 05:00:00+00:00,29.82,30.0,28.16,28.32,990119.0
2025-12-19 05:00:00+00:00,28.28,29.38,28.16,28.95,1279841.0
2025-12-22 05:00:00+00:00,28.77,29.94,28.715,29.81,760836.0
2025-12-23 05:00:00+00:00,29.69,29.69,28.35,28.59,670349.0
2025-12-24 05:00:00+00:00,28.62,29.13,28.445,28.91,388910.0
2025-12-26 05:00:00+00:00,28.69,29.465,28.39,29.3,481689.0
2025-12-29 05:00:00+00:00,29.4,29.62,28.89,29.3,498053.0
2025-12-30 05:00:00+00:00,29.23,29.465,29.01,29.3,398867.0
2025-12-31 05:00:00+00:00,29.27,29.35,28.43,28.56,437034.0
