Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,20.31,20.5843,18.78,18.95,106771.0
2025-03-04 05:00:00+00:00,18.61,19.3833,18.42,18.42,62308.0
2025-03-05 05:00:00+00:00,18.72,19.03,18.22,18.54,56333.0
2025-03-06 05:00:00+00:00,18.45,19.4268,18.45,19.16,34918.0
2025-03-07 05:00:00+00:00,19.23,19.87,18.82,19.66,40566.0
2025-03-10 04:00:00+00:00,19.26,19.91,18.86,18.87,21322.0
2025-03-11 04:00:00+00:00,18.94,19.06,18.535,18.88,27410.0
2025-03-12 04:00:00+00:00,18.92,19.1269,18.605,18.94,32313.0
2025-03-13 04:00:00+00:00,19.05,19.28,18.24,18.32,37903.0
2025-03-14 04:00:00+00:00,18.67,19.0961,18.41,18.45,76436.0
2025-03-17 04:00:00+00:00,18.55,19.0378,18.43,18.45,53278.0
2025-03-18 04:00:00+00:00,18.4,18.425,18.07,18.07,36736.0
2025-03-19 04:00:00+00:00,18.3,18.67,18.08,18.52,47341.0
2025-03-20 04:00:00+00:00,18.25,18.9158,18.1,18.12,42715.0
2025-03-21 04:00:00+00:00,17.91,18.395,17.8,17.85,56299.0
2025-03-24 04:00:00+00:00,18.25,18.6315,18.235,18.51,26561.0
2025-03-25 04:00:00+00:00,18.37,18.46,17.93,17.95,45327.0
2025-03-26 04:00:00+00:00,18.07,18.14,17.51,17.94,34312.0
2025-03-27 04:00:00+00:00,17.9,18.01,17.6608,17.84,34099.0
2025-03-28 04:00:00+00:00,17.86,17.89,17.3,17.58,34186.0
2025-03-31 04:00:00+00:00,17.39,17.66,17.03,17.37,54959.0
2025-04-01 04:00:00+00:00,17.15,17.8,17.15,17.55,35582.0
2025-04-02 04:00:00+00:00,17.5,18.35,17.5,18.18,38690.0
2025-04-03 04:00:00+00:00,16.91,17.55,15.3101,15.9,100159.0
2025-04-04 04:00:00+00:00,15.27,16.3754,14.8561,15.82,67551.0
2025-04-07 04:00:00+00:00,15.18,16.28,14.6,14.71,60257.0
2025-04-08 04:00:00+00:00,14.64,15.4252,12.99,13.43,96908.0
2025-04-09 04:00:00+00:00,13.43,15.31,13.05,14.68,90981.0
2025-04-10 04:00:00+00:00,14.34,14.34,13.05,13.39,67321.0
2025-04-11 04:00:00+00:00,13.22,13.36,12.705,13.03,76499.0
2025-04-14 04:00:00+00:00,13.5,13.66,12.585,12.76,61403.0
2025-04-15 04:00:00+00:00,12.8,12.895,12.02,12.23,66538.0
2025-04-16 04:00:00+00:00,12.42,12.6583,11.93,12.52,114271.0
2025-04-17 04:00:00+00:00,12.53,13.11,12.53,12.84,72734.0
2025-04-21 04:00:00+00:00,12.75,13.05,12.31,12.86,72777.0
2025-04-22 04:00:00+00:00,12.98,13.718,12.6,13.63,65292.0
2025-04-23 04:00:00+00:00,14.0,14.75,13.415,13.42,78348.0
2025-04-24 04:00:00+00:00,13.56,13.86,13.0,13.79,61581.0
2025-04-25 04:00:00+00:00,13.61,13.77,13.44,13.7,53529.0
2025-04-28 04:00:00+00:00,13.7,13.98,13.37,13.46,54761.0
2025-04-29 04:00:00+00:00,13.27,14.135,13.05,13.95,179807.0
2025-04-30 04:00:00+00:00,17.89,21.39,17.47,21.39,595815.0
2025-05-01 04:00:00+00:00,21.74,21.74,17.14,17.68,315728.0
2025-05-02 04:00:00+00:00,18.06,19.36,17.81,18.93,127349.0
2025-05-05 04:00:00+00:00,18.74,19.64,18.56,18.78,85855.0
2025-05-06 04:00:00+00:00,18.49,19.06,18.35,18.81,71820.0
2025-05-07 04:00:00+00:00,19.01,19.99,18.86,19.23,83315.0
2025-05-08 04:00:00+00:00,19.6,20.65,19.406,20.53,128807.0
2025-05-09 04:00:00+00:00,20.38,20.82,20.345,20.42,68536.0
2025-05-12 04:00:00+00:00,21.38,21.4906,20.61,21.36,79372.0
2025-05-13 04:00:00+00:00,21.43,21.69,21.0,21.0,40002.0
2025-05-14 04:00:00+00:00,21.08,21.08,20.15,20.21,60361.0
2025-05-15 04:00:00+00:00,19.96,20.89,19.82,20.89,59567.0
2025-05-16 04:00:00+00:00,20.84,21.29,20.43,20.98,52749.0
2025-05-19 04:00:00+00:00,20.45,20.8,20.33,20.54,42274.0
2025-05-20 04:00:00+00:00,20.53,21.29,20.275,20.94,63447.0
2025-05-21 04:00:00+00:00,20.52,20.8348,20.355,20.56,58284.0
2025-05-22 04:00:00+00:00,20.5,21.47,20.5,21.06,39609.0
2025-05-23 04:00:00+00:00,20.48,20.89,20.31,20.78,86241.0
2025-05-27 04:00:00+00:00,21.04,22.49,20.805,22.47,74059.0
2025-05-28 04:00:00+00:00,22.47,23.38,22.3293,22.69,120678.0
2025-05-29 04:00:00+00:00,22.87,23.0038,22.625,22.72,110029.0
2025-05-30 04:00:00+00:00,22.48,22.885,22.0,22.75,77683.0
2025-06-02 04:00:00+00:00,22.59,23.04,22.27,22.78,149123.0
2025-06-03 04:00:00+00:00,22.77,23.6322,22.685,23.32,47179.0
2025-06-04 04:00:00+00:00,23.51,23.51,23.03,23.07,26739.0
2025-06-05 04:00:00+00:00,23.0,23.55,22.88,23.22,44757.0
2025-06-06 04:00:00+00:00,23.73,23.73,23.2244,23.29,22918.0
2025-06-09 04:00:00+00:00,23.31,23.805,23.25,23.43,97392.0
2025-06-10 04:00:00+00:00,23.44,23.5271,22.5901,22.91,37350.0
2025-06-11 04:00:00+00:00,23.0,23.17,22.419,22.5,65397.0
2025-06-12 04:00:00+00:00,22.24,22.4429,21.57,21.71,38093.0
2025-06-13 04:00:00+00:00,21.38,21.63,20.99,21.54,57387.0
2025-06-16 04:00:00+00:00,21.88,22.34,21.04,21.72,55614.0
2025-06-17 04:00:00+00:00,21.41,21.75,21.2,21.57,44616.0
2025-06-18 04:00:00+00:00,21.5,21.96,21.3,21.42,28578.0
2025-06-20 04:00:00+00:00,21.71,21.71,20.6918,20.91,39582.0
2025-06-23 04:00:00+00:00,20.99,21.945,20.69,21.77,64386.0
2025-06-24 04:00:00+00:00,21.54,21.885,21.23,21.58,26863.0
2025-06-25 04:00:00+00:00,21.39,21.48,20.52,21.43,48577.0
2025-06-26 04:00:00+00:00,21.6,22.035,21.37,21.93,30814.0
2025-06-27 04:00:00+00:00,21.785,22.505,21.74,22.35,103366.0
2025-06-30 04:00:00+00:00,22.38,22.6161,22.19,22.19,38180.0
2025-07-01 04:00:00+00:00,22.22,23.43,22.22,23.02,36731.0
2025-07-02 04:00:00+00:00,22.8908,23.895,22.7501,23.65,49478.0
2025-07-03 04:00:00+00:00,23.87,23.9865,23.57,23.74,16861.0
2025-07-07 04:00:00+00:00,23.42,23.695,22.99,23.15,41818.0
2025-07-08 04:00:00+00:00,23.2,23.96,22.84,23.87,144567.0
2025-07-09 04:00:00+00:00,23.91,24.27,23.565,24.27,60851.0
2025-07-10 04:00:00+00:00,24.37,24.925,24.18,24.36,119457.0
2025-07-11 04:00:00+00:00,24.09,24.32,23.5159,24.09,74582.0
2025-07-14 04:00:00+00:00,23.85,24.235,23.2,23.64,73535.0
2025-07-15 04:00:00+00:00,23.87,23.87,22.89,23.07,50933.0
2025-07-16 04:00:00+00:00,23.07,23.135,22.34,23.01,52489.0
2025-07-17 04:00:00+00:00,23.48,23.54,22.98,23.49,30973.0
2025-07-18 04:00:00+00:00,23.74,23.74,22.9,22.96,30467.0
2025-07-21 04:00:00+00:00,22.97,23.84,22.5,23.31,31861.0
2025-07-22 04:00:00+00:00,23.42,24.45,23.42,24.37,45081.0
2025-07-23 04:00:00+00:00,24.46,24.79,23.7387,24.08,33194.0
2025-07-24 04:00:00+00:00,23.78,23.9,22.925,23.34,26333.0
2025-07-25 04:00:00+00:00,23.1899,23.86,23.125,23.84,22730.0
2025-07-28 04:00:00+00:00,23.77,23.89,23.405,23.5,24565.0
2025-07-29 04:00:00+00:00,23.8,23.8,22.61,22.98,84978.0
2025-07-30 04:00:00+00:00,28.15,30.9,26.22,26.42,275496.0
2025-07-31 04:00:00+00:00,26.85,27.0734,25.33,26.16,90040.0
2025-12-02 05:00:00+00:00,30.04,30.8,29.58,29.92,33144.0
2025-12-03 05:00:00+00:00,29.98,30.6,29.4308,30.055,34937.0
2025-12-04 05:00:00+00:00,30.05,30.05,28.9373,29.21,30544.0
2025-12-05 05:00:00+00:00,29.03,29.44,28.93,29.12,15461.0
2025-12-08 05:00:00+00:00,29.12,29.6,28.6817,28.8,26616.0
2025-12-09 05:00:00+00:00,28.99,30.12,28.82,29.07,25563.0
2025-12-10 05:00:00+00:00,28.92,30.6,28.92,30.09,196951.0
2025-12-11 05:00:00+00:00,30.23,30.99,30.09,30.97,30758.0
2025-12-12 05:00:00+00:00,30.81,31.5,30.5806,31.24,63088.0
2025-12-15 05:00:00+00:00,31.31,31.45,30.915,31.21,24277.0
2025-12-16 05:00:00+00:00,30.51,31.51,30.51,31.0,25150.0
2025-12-17 05:00:00+00:00,30.975,30.98,30.17,30.75,30669.0
2025-12-18 05:00:00+00:00,31.1,31.18,30.42,30.71,40462.0
2025-12-19 05:00:00+00:00,30.53,30.55,29.745,29.87,42530.0
2025-12-22 05:00:00+00:00,29.79,30.4,29.604,29.95,33439.0
2025-12-23 05:00:00+00:00,29.88,30.165,29.75,29.87,29665.0
2025-12-24 05:00:00+00:00,30.21,30.38,30.085,30.22,7911.0
2025-12-26 05:00:00+00:00,29.86,30.4187,29.86,30.02,19026.0
2025-12-29 05:00:00+00:00,29.84,30.445,29.84,30.08,35087.0
2025-12-30 05:00:00+00:00,30.16,30.16,29.506,29.75,23928.0
2025-12-31 05:00:00+00:00,29.7,30.1946,29.15,29.33,26198.0
2026-01-02 05:00:00+00:00,29.33,29.33,28.47,28.67,31030.0
2026-01-05 05:00:00+00:00,28.69,29.365,28.69,28.92,30257.0
2026-01-06 05:00:00+00:00,29.18,29.18,28.59,29.06,37516.0
2026-01-07 05:00:00+00:00,29.075,29.14,28.3401,29.02,33089.0
2026-01-08 05:00:00+00:00,28.85,30.9749,28.85,30.46,38335.0
2026-01-09 05:00:00+00:00,30.73,30.83,30.0,30.43,37960.0
2026-01-12 05:00:00+00:00,30.23,30.645,29.87,30.2,22231.0
2026-01-13 05:00:00+00:00,30.345,32.4,30.345,32.33,31895.0
2026-01-14 05:00:00+00:00,32.075,32.08,31.25,31.94,31075.0
2026-01-15 05:00:00+00:00,31.8,33.5299,31.8,33.01,38956.0
2026-01-16 05:00:00+00:00,32.78,33.52,32.32,32.35,35068.0
2026-01-20 05:00:00+00:00,32.0,32.58,31.91,32.35,31517.0
2026-01-21 05:00:00+00:00,32.63,33.73,32.5938,33.59,33620.0
