Date,Open,High,Low,Close,Volume
2025-12-02 05:00:00+00:00,1.01,1.03,0.9681,0.9938,1523218.0
2025-12-03 05:00:00+00:00,0.9938,1.045,0.9868,1.03,1783162.0
2025-12-04 05:00:00+00:00,1.03,1.04,1.01,1.03,923033.0
2025-12-05 05:00:00+00:00,1.05,1.05,1.01,1.02,545272.0
2025-12-08 05:00:00+00:00,1.03,1.05,0.9923,1.04,1452503.0
2025-12-09 05:00:00+00:00,1.03,1.09,1.03,1.07,1508458.0
2025-12-10 05:00:00+00:00,1.09,1.21,1.09,1.2,3188543.0
2025-12-11 05:00:00+00:00,1.19,1.19,1.08,1.13,1492602.0
2025-12-12 05:00:00+00:00,1.13,1.2,1.12,1.13,1137603.0
2025-12-15 05:00:00+00:00,1.12,1.14,1.05,1.06,1428263.0
2025-12-16 05:00:00+00:00,1.04,1.09,1.04,1.07,1173790.0
2025-12-17 05:00:00+00:00,1.06,1.0888,1.03,1.04,1065131.0
2025-12-18 05:00:00+00:00,1.06,1.0898,1.03,1.03,615533.0
2025-12-19 05:00:00+00:00,1.03,1.05,1.025,1.03,1205588.0
2025-12-22 05:00:00+00:00,1.03,1.08,1.03,1.05,826940.0
2025-12-23 05:00:00+00:00,1.09,1.09,1.0,1.02,2107782.0
2025-12-24 05:00:00+00:00,1.01,1.02,0.9621,0.9897,1726565.0
2025-12-26 05:00:00+00:00,0.99,0.9996,0.962,0.9851,775207.0
2025-12-29 05:00:00+00:00,0.977,0.9997,0.9639,0.9884,795316.0
2025-12-30 05:00:00+00:00,0.9844,1.01,0.965,0.9875,841392.0
2025-12-31 05:00:00+00:00,0.9899,0.9933,0.966,0.9709,1034042.0
2026-01-02 05:00:00+00:00,0.9827,1.0155,0.96,0.9743,909066.0
2026-01-05 05:00:00+00:00,1.0,1.05,0.9834,1.0,1142981.0
2026-01-06 05:00:00+00:00,1.01,1.06,1.0,1.03,936092.0
2026-01-07 05:00:00+00:00,1.02,1.02,0.9906,1.0,734208.0
2026-01-08 05:00:00+00:00,1.01,1.04,1.0,1.02,878210.0
2026-01-09 05:00:00+00:00,1.04,1.04,0.9828,1.0,585209.0
2026-01-12 05:00:00+00:00,1.0,1.05,1.0,1.03,877353.0
2026-01-13 05:00:00+00:00,1.03,1.03,0.961,0.9724,1423864.0
2026-01-14 05:00:00+00:00,0.985,1.02,0.97,1.01,823134.0
2026-01-15 05:00:00+00:00,1.01,1.02,0.9812,0.9941,640342.0
2026-01-16 05:00:00+00:00,0.98,1.0,0.9665,0.9714,688903.0
2026-01-20 05:00:00+00:00,0.98,0.9996,0.9093,0.9093,1263208.0
2026-01-21 05:00:00+00:00,0.93,0.9399,0.84,0.8413,2226457.0
2026-01-22 05:00:00+00:00,0.87,0.88,0.8197,0.8273,1817966.0
2026-01-23 05:00:00+00:00,0.834,0.8439,0.792,0.8019,2145088.0
2026-01-26 05:00:00+00:00,0.81,0.8148,0.7537,0.762,1820672.0
2026-01-27 05:00:00+00:00,0.765,0.79,0.727,0.7417,1982455.0
2026-01-28 05:00:00+00:00,0.75,0.7661,0.7033,0.71,1693528.0
2026-01-29 05:00:00+00:00,0.7133,0.728,0.611,0.6318,2968920.0
2026-01-30 05:00:00+00:00,0.6298,0.6399,0.6115,0.6116,1510220.0
2026-02-02 05:00:00+00:00,0.63,0.63,0.5454,0.5591,3147617.0
2026-02-03 05:00:00+00:00,0.57,0.5949,0.4722,0.4925,4640624.0
2026-02-04 05:00:00+00:00,0.5,0.505,0.43,0.4757,4855412.0
2026-02-05 05:00:00+00:00,0.48,0.5397,0.41,0.4501,4765759.0
2026-02-06 05:00:00+00:00,0.4601,0.4699,0.4111,0.4501,3187698.0
2026-02-09 05:00:00+00:00,0.4693,0.4831,0.4114,0.4165,2871866.0
2026-02-10 05:00:00+00:00,0.4116,0.4847,0.4086,0.439,2537819.0
2026-02-11 05:00:00+00:00,0.4508,0.4953,0.4123,0.4229,2124451.0
2026-02-12 05:00:00+00:00,0.43,0.4317,0.393,0.4089,2261455.0
2026-02-13 05:00:00+00:00,0.42,0.4339,0.4014,0.4202,1521401.0
2026-02-17 05:00:00+00:00,0.42,0.4293,0.4036,0.419,1275916.0
2026-02-18 05:00:00+00:00,0.997,1.71,0.951,1.37,542491528.0
2026-02-19 05:00:00+00:00,1.265,1.3,1.0,1.225,66494661.0
2026-02-20 05:00:00+00:00,1.36,2.08,1.3,1.68,207923864.0
2026-02-23 05:00:00+00:00,1.935,1.95,1.48,1.49,95832401.390963
2026-02-24 05:00:00+00:00,1.48,1.62,1.42,1.46,24443920.473429
2026-02-25 05:00:00+00:00,1.48,1.52,1.31,1.35,20477799.774396
2026-02-26 05:00:00+00:00,1.695,2.49,1.46,2.28,153583666.786165
2026-02-27 05:00:00+00:00,2.01,2.42,1.82,1.95,51989512.068543
