Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,2.2,2.68,2.17,2.49,2375454.0
2024-12-03 05:00:00+00:00,2.47,2.4902,2.2001,2.3,660953.0
2024-12-04 05:00:00+00:00,2.44,2.46,2.1801,2.29,619424.0
2024-12-05 05:00:00+00:00,2.4,2.5099,2.06,2.12,1549702.0
2024-12-06 05:00:00+00:00,2.07,2.13,1.8,1.83,1729878.0
2024-12-09 05:00:00+00:00,2.11,2.3699,1.92,1.95,4743952.0
2024-12-10 05:00:00+00:00,2.04,2.04,1.83,1.93,4245052.0
2024-12-11 05:00:00+00:00,2.32,2.77,1.9301,1.99,60138662.0
2024-12-12 05:00:00+00:00,2.28,2.3397,2.03,2.07,19453494.0
2024-12-13 05:00:00+00:00,2.16,2.16,1.93,1.99,8775438.0
2024-12-16 05:00:00+00:00,2.15,2.1508,2.02,2.13,8634716.0
2024-12-17 05:00:00+00:00,2.17,4.0,2.17,3.29,72529482.0
2024-12-18 05:00:00+00:00,3.91,4.3191,3.495,3.75,44897265.0
2024-12-19 05:00:00+00:00,3.61,3.62,2.93,3.04,13059555.0
2024-12-20 05:00:00+00:00,3.11,3.19,2.62,2.96,12527789.0
2024-12-23 05:00:00+00:00,3.26,3.33,3.0,3.23,11086173.0
2024-12-24 05:00:00+00:00,3.65,3.81,3.28,3.56,26417586.0
2024-12-26 05:00:00+00:00,3.6,4.95,3.38,4.62,40445306.0
2024-12-27 05:00:00+00:00,5.18,5.45,4.24,4.6,39694328.0
2024-12-30 05:00:00+00:00,4.49,4.93,3.925,4.72,18996894.0
2024-12-31 05:00:00+00:00,4.63,4.64,3.625,3.82,15777248.0
2025-01-02 05:00:00+00:00,3.93,4.2912,3.71,4.09,11451933.0
2025-01-03 05:00:00+00:00,4.26,4.53,3.91,4.32,13476924.0
2025-01-06 05:00:00+00:00,4.23,4.37,3.8601,4.05,12465191.0
2025-01-07 05:00:00+00:00,4.01,4.02,3.5488,3.72,9218318.0
2025-01-08 05:00:00+00:00,3.2,3.27,2.88,2.97,12847525.0
2025-01-10 05:00:00+00:00,3.03,3.24,2.9,3.21,5533588.0
2025-01-13 05:00:00+00:00,2.64,2.93,2.365,2.4,9209502.0
2025-01-14 05:00:00+00:00,2.36,2.5199,2.23,2.31,8211691.0
2025-01-15 05:00:00+00:00,2.47,2.71,2.38,2.41,6695812.0
2025-01-16 05:00:00+00:00,2.82,3.14,2.62,3.01,18915195.0
2025-01-17 05:00:00+00:00,3.02,3.02,2.785,2.84,6932613.0
2025-01-21 05:00:00+00:00,2.95,3.03,2.76,2.86,7874428.0
2025-01-22 05:00:00+00:00,3.23,3.4,3.038,3.16,23957388.0
2025-01-23 05:00:00+00:00,3.0,3.15,2.93,3.05,5969504.0
2025-01-24 05:00:00+00:00,3.09,3.28,2.84,2.87,7293345.0
2025-01-27 05:00:00+00:00,2.56,2.75,2.53,2.64,5697806.0
2025-01-28 05:00:00+00:00,2.64,2.68,2.415,2.56,4305211.0
2025-01-29 05:00:00+00:00,2.61,2.61,2.29,2.46,4552995.0
2025-01-30 05:00:00+00:00,2.55,2.63,2.48,2.56,2659188.0
2025-01-31 05:00:00+00:00,2.73,2.73,2.5,2.5,4197062.0
2025-02-03 05:00:00+00:00,2.21,2.39,2.2,2.28,4135751.0
2025-02-04 05:00:00+00:00,2.37,2.6297,2.33,2.45,4811688.0
2025-02-05 05:00:00+00:00,2.48,2.715,2.315,2.65,5460720.0
2025-02-06 05:00:00+00:00,2.87,3.1094,2.79,2.97,11909779.0
2025-02-07 05:00:00+00:00,3.18,3.22,2.85,3.14,12081741.0
2025-02-10 05:00:00+00:00,3.26,3.5,3.21,3.35,12936337.0
2025-02-11 05:00:00+00:00,3.255,3.29,3.0,3.05,5936835.0
2025-02-12 05:00:00+00:00,2.9,3.09,2.8205,2.92,5773780.0
2025-02-13 05:00:00+00:00,3.055,3.06,2.82,2.91,5948069.0
2025-02-14 05:00:00+00:00,2.96,2.9789,2.76,2.92,6244283.0
2025-02-18 05:00:00+00:00,2.795,2.84,2.61,2.74,5976017.0
2025-02-19 05:00:00+00:00,2.72,2.8,2.64,2.64,3521537.0
2025-02-20 05:00:00+00:00,2.67,2.67,2.48,2.58,3771999.0
2025-02-21 05:00:00+00:00,2.66,2.76,2.49,2.55,4241976.0
2025-02-24 05:00:00+00:00,2.5,2.52,2.341,2.43,3501026.0
2025-02-25 05:00:00+00:00,2.37,2.4,1.99,2.16,4695145.0
2025-02-26 05:00:00+00:00,2.3,2.37,2.16,2.17,2966218.0
2025-02-27 05:00:00+00:00,2.23,2.25,1.95,1.95,4550732.0
2025-02-28 05:00:00+00:00,1.85,1.93,1.81,1.83,3465133.0
2025-03-03 05:00:00+00:00,1.915,1.92,1.64,1.66,5078940.0
2025-03-04 05:00:00+00:00,1.54,1.5499,1.28,1.5,8641937.0
2025-03-05 05:00:00+00:00,1.53,1.62,1.5,1.57,2964271.0
2025-03-06 05:00:00+00:00,1.47,1.52,1.4,1.41,2871006.0
2025-03-07 05:00:00+00:00,1.4,1.48,1.4,1.45,1729707.0
2025-03-10 04:00:00+00:00,1.36,1.39,1.28,1.29,3143407.0
2025-03-11 04:00:00+00:00,1.27,1.44,1.27,1.405,2081902.0
2025-03-12 04:00:00+00:00,1.5,1.8,1.48,1.77,4996680.0
2025-03-13 04:00:00+00:00,1.705,1.755,1.53,1.64,2773927.0
2025-03-14 04:00:00+00:00,1.7,1.92,1.695,1.87,2996920.0
2025-03-17 04:00:00+00:00,1.89,1.94,1.68,1.75,3791013.0
2025-03-18 04:00:00+00:00,1.72,1.7294,1.65,1.68,1398535.0
2025-03-19 04:00:00+00:00,1.69,1.7,1.59,1.59,2382714.0
2025-03-20 04:00:00+00:00,1.59,1.61,1.5,1.52,1520288.0
2025-03-21 04:00:00+00:00,1.475,1.66,1.44,1.65,2070914.0
2025-03-24 04:00:00+00:00,1.74,1.74,1.63,1.64,2376422.0
2025-03-25 04:00:00+00:00,1.67,1.68,1.4,1.44,7441453.0
2025-03-26 04:00:00+00:00,1.46,1.49,1.39,1.42,2373988.0
2025-03-27 04:00:00+00:00,1.4,1.46,1.36,1.43,1558452.0
2025-03-28 04:00:00+00:00,1.39,1.4,1.27,1.31,3116243.0
2025-03-31 04:00:00+00:00,1.25,1.25,1.19,1.21,2684883.0
2025-07-01 04:00:00+00:00,2.96,3.01,2.815,2.88,9502067.0
2025-07-02 04:00:00+00:00,2.86,2.97,2.75,2.77,6973629.0
2025-07-03 04:00:00+00:00,2.8,2.9,2.78,2.82,4667605.0
2025-07-07 04:00:00+00:00,2.79,2.8,2.58,2.65,8068921.0
2025-07-08 04:00:00+00:00,2.66,2.75,2.58,2.61,6846729.0
2025-07-09 04:00:00+00:00,2.62,2.64,2.43,2.49,8707355.0
2025-07-10 04:00:00+00:00,2.56,2.75,2.54,2.62,6553619.0
2025-07-11 04:00:00+00:00,2.64,2.65,2.44,2.54,5902809.0
2025-07-14 04:00:00+00:00,2.52,2.56,2.42,2.45,4516874.0
2025-07-15 04:00:00+00:00,2.49,2.52,2.39,2.43,4138326.0
2025-07-16 04:00:00+00:00,2.43,2.655,2.41,2.65,7325812.0
2025-07-17 04:00:00+00:00,2.9,3.03,2.76,2.87,15247957.0
2025-07-18 04:00:00+00:00,2.87,2.93,2.77,2.82,8041791.0
2025-07-21 04:00:00+00:00,2.89,3.23,2.68,2.7,19067826.0
2025-07-22 04:00:00+00:00,2.84,3.02,2.69,2.99,10323697.0
2025-07-23 04:00:00+00:00,3.165,3.6,3.07,3.39,32564405.0
2025-07-24 04:00:00+00:00,3.35,3.39,3.02,3.04,11962104.0
2025-07-25 04:00:00+00:00,3.1,3.14,2.89,2.95,7143410.0
2025-07-28 04:00:00+00:00,3.09,3.14,2.88,2.92,9155762.0
2025-07-29 04:00:00+00:00,2.93,2.94,2.7,2.75,7659056.0
2025-07-30 04:00:00+00:00,2.77,2.92,2.75,2.81,4511624.0
2025-07-31 04:00:00+00:00,2.89,3.05,2.84,2.93,11540657.0
2025-08-01 04:00:00+00:00,2.85,2.955,2.76,2.93,6486943.0
2025-08-04 04:00:00+00:00,3.05,3.19,2.96,3.09,8786061.0
2025-08-05 04:00:00+00:00,3.17,3.245,3.04,3.07,8047165.0
2025-08-06 04:00:00+00:00,3.05,3.05,2.91,2.98,6328618.0
2025-08-07 04:00:00+00:00,3.0,3.1,2.89,2.95,5617722.0
2025-08-08 04:00:00+00:00,3.02,3.0888,2.94,3.0,6073959.0
2025-08-11 04:00:00+00:00,3.14,3.45,3.015,3.02,15426124.0
2025-08-12 04:00:00+00:00,3.09,3.15,2.99,3.14,6833734.0
2025-08-13 04:00:00+00:00,3.17,3.2,3.025,3.14,7550385.0
2025-08-14 04:00:00+00:00,3.01,3.1,2.98,3.07,7086619.0
2025-08-15 04:00:00+00:00,3.05,3.0782,2.98,3.02,4777558.0
2025-08-18 04:00:00+00:00,3.06,3.45,3.035,3.43,17055444.0
2025-08-19 04:00:00+00:00,3.43,3.545,2.94,3.0,20711569.0
2025-08-20 04:00:00+00:00,3.04,3.08,2.85,3.03,12263846.0
2025-08-21 04:00:00+00:00,3.0,3.08,2.95,3.0,5173590.0
2025-08-22 04:00:00+00:00,2.98,3.13,2.9,3.06,8501211.0
2025-08-25 04:00:00+00:00,3.06,3.195,3.02,3.13,7282507.0
2025-08-26 04:00:00+00:00,3.11,3.16,3.04,3.07,5478464.0
2025-08-27 04:00:00+00:00,3.09,3.16,3.0666,3.11,5418928.0
2025-08-28 04:00:00+00:00,3.17,3.74,3.14,3.6,30345981.0
2025-08-29 04:00:00+00:00,3.55,3.75,3.52,3.74,12816409.0
2025-09-02 04:00:00+00:00,3.83,3.92,3.57,3.67,17773925.0
2025-09-03 04:00:00+00:00,3.79,4.27,3.79,4.1,21230203.0
2025-09-04 04:00:00+00:00,4.18,4.48,3.98,4.32,16165251.0
2025-09-05 04:00:00+00:00,4.395,4.65,4.22,4.27,13056142.0
2025-09-08 04:00:00+00:00,4.3,4.77,4.16,4.62,15381904.0
2025-09-09 04:00:00+00:00,4.94,5.63,4.92,5.62,29246044.0
2025-09-10 04:00:00+00:00,5.76,6.29,5.59,6.25,29966865.0
2025-09-11 04:00:00+00:00,6.62,7.365,6.51,6.79,40010497.0
2025-09-12 04:00:00+00:00,6.55,7.54,6.5,6.76,32030816.0
2025-09-15 04:00:00+00:00,7.1,8.32,7.09,7.72,34784308.0
2025-09-16 04:00:00+00:00,8.45,8.45,7.3,7.35,33813210.0
2025-09-17 04:00:00+00:00,6.82,7.42,6.67,7.11,33657376.0
2025-09-18 04:00:00+00:00,6.975,7.0465,6.56,6.89,20841408.0
2025-09-19 04:00:00+00:00,6.84,7.0288,6.6,6.66,24550548.0
2025-09-22 04:00:00+00:00,6.77,6.78,5.48,6.38,22500926.0
2025-09-23 04:00:00+00:00,6.55,7.44,6.55,7.18,20365732.0
2025-09-24 04:00:00+00:00,7.11,7.15,6.67,6.82,14416944.0
2025-09-25 04:00:00+00:00,6.5,6.79,6.33,6.67,12340955.0
2025-09-26 04:00:00+00:00,6.63,6.63,5.94,5.95,19882128.0
2025-09-29 04:00:00+00:00,6.3,6.31,5.01,5.24,37939621.0
2025-09-30 04:00:00+00:00,5.42,5.455,4.7,4.98,32030514.0
2025-10-01 04:00:00+00:00,6.05,6.23,4.94,5.06,94271237.0
2025-10-02 04:00:00+00:00,5.4,6.48,5.37,6.275,50964095.0
2025-10-03 04:00:00+00:00,6.79,7.58,6.73,6.79,55232184.0
2025-10-06 04:00:00+00:00,7.04,7.09,6.43,6.555,25827998.0
2025-10-07 04:00:00+00:00,6.8,6.96,6.12,6.26,23964281.0
2025-10-08 04:00:00+00:00,6.19,6.32,6.02,6.24,15883713.0
2025-10-09 04:00:00+00:00,6.19,6.2,5.78,5.78,20852168.0
2025-10-10 04:00:00+00:00,5.72,5.98,5.07,5.13,29558066.0
2025-10-13 04:00:00+00:00,5.38,5.47,5.12,5.46,14739562.0
2025-10-14 04:00:00+00:00,5.24,5.73,5.18,5.45,15112170.0
2025-10-15 04:00:00+00:00,5.61,5.64,5.2801,5.46,28077977.0
2025-10-16 04:00:00+00:00,5.46,5.75,4.96,5.04,29918047.0
2025-10-17 04:00:00+00:00,4.82,5.03,4.79,4.87,14872462.0
2025-10-20 04:00:00+00:00,5.01,5.14,4.83,4.91,12505243.0
2025-10-21 04:00:00+00:00,4.835,4.905,4.64,4.66,11651805.0
2025-10-22 04:00:00+00:00,4.361,4.46,4.06,4.32,19963493.0
2025-10-23 04:00:00+00:00,4.33,4.5,4.33,4.44,10673852.0
2025-10-24 04:00:00+00:00,4.58,4.845,4.52,4.72,10261589.0
2025-10-27 04:00:00+00:00,4.9,5.0,4.75,4.84,9180569.0
2025-10-28 04:00:00+00:00,4.81,4.89,4.43,4.45,10434715.0
2025-10-29 04:00:00+00:00,4.46,4.56,4.31,4.33,9080492.0
2025-10-30 04:00:00+00:00,4.14,4.35,4.06,4.09,12572967.0
2025-10-31 04:00:00+00:00,4.18,4.33,4.06,4.29,8457506.0
2025-11-03 05:00:00+00:00,4.35,4.38,4.065,4.1,8344968.0
2025-11-04 05:00:00+00:00,3.87,4.07,3.81,4.03,11864595.0
2025-11-05 05:00:00+00:00,4.13,4.1999,4.0,4.14,7420958.0
2025-11-06 05:00:00+00:00,4.2,4.237,3.84,3.85,9443020.0
2025-11-07 05:00:00+00:00,3.64,3.93,3.57,3.83,9917716.0
2025-11-10 05:00:00+00:00,4.0,4.05,3.69,3.78,15169545.0
2025-11-11 05:00:00+00:00,3.65,3.714,3.4,3.42,14491296.0
2025-11-12 05:00:00+00:00,3.41,3.49,3.205,3.24,17117396.0
2025-11-13 05:00:00+00:00,3.175,3.235,2.9445,2.97,15064009.0
2025-11-14 05:00:00+00:00,2.715,3.07,2.715,2.95,13583439.0
2025-11-17 05:00:00+00:00,2.92,2.95,2.67,2.75,13165397.0
2025-11-18 05:00:00+00:00,2.7,2.98,2.69,2.88,10780623.0
2025-11-19 05:00:00+00:00,2.9,3.165,2.865,3.01,13168607.0
2025-11-20 05:00:00+00:00,3.24,3.73,2.98,2.99,31383979.0
2025-11-21 05:00:00+00:00,3.0,3.18,2.84,3.0,14453755.0
2025-11-24 05:00:00+00:00,3.05,3.26,3.03,3.2,15310073.0
2025-11-25 05:00:00+00:00,3.13,3.155,2.96,3.01,16428740.0
2025-11-26 05:00:00+00:00,3.05,3.06,2.93,2.98,12274378.0
2025-11-28 05:00:00+00:00,3.02,3.12,3.0,3.05,5355835.0
