Date,Open,High,Low,Close,Volume
2025-07-01 04:00:00+00:00,15.0,15.36,14.85,15.25,968343.0
2025-07-02 04:00:00+00:00,15.25,15.25,15.0,15.13,1091100.0
2025-07-03 04:00:00+00:00,15.11,15.23,15.045,15.14,378267.0
2025-07-07 04:00:00+00:00,15.09,15.165,14.785,14.82,830076.0
2025-07-08 04:00:00+00:00,14.78,15.26,14.78,14.84,958007.0
2025-07-09 04:00:00+00:00,14.85,14.915,14.48,14.54,946556.0
2025-07-10 04:00:00+00:00,14.51,14.83,14.385,14.61,1300357.0
2025-07-11 04:00:00+00:00,14.48,14.835,14.44,14.74,905485.0
2025-07-14 04:00:00+00:00,14.66,14.94,14.62,14.93,892039.0
2025-07-15 04:00:00+00:00,15.01,15.07,14.52,14.6,1163049.0
2025-07-16 04:00:00+00:00,14.6,14.655,14.36,14.55,1084796.0
2025-07-17 04:00:00+00:00,14.55,14.85,14.51,14.77,1071182.0
2025-07-18 04:00:00+00:00,14.78,14.93,14.32,14.38,828252.0
2025-07-21 04:00:00+00:00,14.47,14.53,14.3,14.51,842608.0
2025-07-22 04:00:00+00:00,14.6,14.87,14.3919,14.4,666692.0
2025-07-23 04:00:00+00:00,14.55,14.74,14.4,14.74,858377.0
2025-07-24 04:00:00+00:00,14.68,14.7799,14.11,14.14,807196.0
2025-07-25 04:00:00+00:00,14.16,14.26,14.0,14.26,765705.0
2025-07-28 04:00:00+00:00,14.16,14.33,14.03,14.15,748781.0
2025-07-29 04:00:00+00:00,14.17,14.35,14.01,14.25,973796.0
2025-07-30 04:00:00+00:00,14.2,14.55,14.16,14.48,776297.0
2025-07-31 04:00:00+00:00,14.38,15.05,14.29,14.79,1635392.0
2025-08-01 04:00:00+00:00,15.165,15.165,12.34,12.57,2860683.0
2025-08-04 04:00:00+00:00,12.55,12.64,11.84,11.97,2556100.0
2025-08-05 04:00:00+00:00,12.08,12.33,11.725,11.77,1896346.0
2025-08-06 04:00:00+00:00,11.71,12.07,11.65,11.95,1506862.0
2025-08-07 04:00:00+00:00,12.1,12.13,11.74,11.9,1335460.0
2025-08-08 04:00:00+00:00,11.9,12.16,11.73,12.07,1213158.0
2025-08-11 04:00:00+00:00,12.12,12.205,12.0,12.07,1510915.0
2025-08-12 04:00:00+00:00,12.14,12.47,12.1,12.4,1118772.0
2025-08-13 04:00:00+00:00,12.47,12.835,12.42,12.67,992851.0
2025-08-14 04:00:00+00:00,12.55,12.7,12.44,12.6,977904.0
2025-08-15 04:00:00+00:00,12.72,12.78,12.53,12.71,1069744.0
2025-08-18 04:00:00+00:00,12.8,13.11,12.7311,12.95,1051568.0
2025-08-19 04:00:00+00:00,12.94,13.0,12.795,12.89,868305.0
2025-08-20 04:00:00+00:00,12.98,13.08,12.81,12.93,782145.0
2025-08-21 04:00:00+00:00,13.03,13.17,12.935,12.99,709168.0
2025-08-22 04:00:00+00:00,13.07,13.49,12.96,13.42,985367.0
2025-08-25 04:00:00+00:00,13.4,13.41,13.12,13.18,831561.0
2025-08-26 04:00:00+00:00,13.17,13.29,12.78,12.84,916847.0
2025-08-27 04:00:00+00:00,12.82,13.14,12.8,13.05,802351.0
2025-08-28 04:00:00+00:00,13.1,13.1227,12.89,13.04,912663.0
2025-08-29 04:00:00+00:00,13.11,13.136,12.92,13.01,582797.0
2025-09-02 04:00:00+00:00,12.91,13.065,12.88,13.02,765271.0
2025-09-03 04:00:00+00:00,12.89,12.98,12.7,12.92,972025.0
2025-09-04 04:00:00+00:00,12.99,13.02,12.84,13.01,861815.0
2025-09-05 04:00:00+00:00,12.99,13.39,12.98,13.1,833956.0
2025-09-08 04:00:00+00:00,13.19,13.27,13.005,13.25,1068067.0
2025-09-09 04:00:00+00:00,13.32,13.32,12.89,12.92,816790.0
2025-09-10 04:00:00+00:00,12.75,12.93,12.25,12.46,1149558.0
2025-09-11 04:00:00+00:00,12.48,12.85,12.44,12.81,1168751.0
2025-09-12 04:00:00+00:00,12.73,12.845,12.5,12.51,489917.0
2025-09-15 04:00:00+00:00,12.54,12.64,12.204,12.24,690115.0
2025-09-16 04:00:00+00:00,12.28,12.36,12.06,12.13,815993.0
2025-09-17 04:00:00+00:00,12.18,12.685,12.175,12.27,1047639.0
2025-09-18 04:00:00+00:00,12.36,12.66,12.33,12.63,1182519.0
2025-09-19 04:00:00+00:00,12.66,12.66,12.345,12.35,2355341.0
2025-09-22 04:00:00+00:00,12.39,12.745,12.35,12.67,1057539.0
2025-09-23 04:00:00+00:00,12.66,12.99,12.5,12.55,1016568.0
2025-09-24 04:00:00+00:00,12.52,12.695,12.46,12.67,807631.0
2025-09-25 04:00:00+00:00,12.66,12.715,12.28,12.41,942936.0
2025-09-26 04:00:00+00:00,12.44,12.65,12.41,12.64,809918.0
2025-09-29 04:00:00+00:00,12.66,12.67,12.38,12.5,796576.0
2025-09-30 04:00:00+00:00,12.49,12.84,12.43,12.84,1086270.0
2025-10-01 04:00:00+00:00,12.73,12.95,12.72,12.92,1213193.0
2025-10-02 04:00:00+00:00,12.94,12.995,12.76,12.95,1483033.0
2025-10-03 04:00:00+00:00,13.05,13.53,12.905,12.93,1719121.0
2025-10-06 04:00:00+00:00,12.97,13.125,12.825,13.01,1432711.0
2025-10-07 04:00:00+00:00,12.98,13.16,12.92,13.04,1748093.0
2025-10-08 04:00:00+00:00,14.325,15.35,14.24,14.24,3882155.0
2025-10-09 04:00:00+00:00,14.22,14.235,13.58,13.64,1786198.0
2025-10-10 04:00:00+00:00,13.76,13.76,13.28,13.32,1183995.0
2025-10-13 04:00:00+00:00,13.44,13.4886,13.18,13.19,727187.0
2025-10-14 04:00:00+00:00,13.09,13.525,12.97,13.42,917331.0
2025-10-15 04:00:00+00:00,13.53,13.66,13.3832,13.6,652519.0
2025-10-16 04:00:00+00:00,13.59,13.67,13.33,13.36,773573.0
2025-10-17 04:00:00+00:00,13.31,13.48,13.25,13.39,963884.0
2025-10-20 04:00:00+00:00,13.52,13.8099,13.42,13.79,746026.0
2025-10-21 04:00:00+00:00,13.67,13.91,13.64,13.81,832318.0
2025-10-22 04:00:00+00:00,13.94,14.35,13.87,14.29,875692.0
2025-10-23 04:00:00+00:00,14.3,14.435,14.07,14.27,1719794.0
2025-10-24 04:00:00+00:00,14.36,14.445,14.16,14.29,654537.0
2025-10-27 04:00:00+00:00,14.34,14.4,14.18,14.21,544347.0
2025-10-28 04:00:00+00:00,14.31,14.36,13.94,14.22,736448.0
2025-10-29 04:00:00+00:00,14.25,14.67,14.12,14.28,1294862.0
2025-10-30 04:00:00+00:00,14.04,14.53,14.04,14.2,2003788.0
2025-10-31 04:00:00+00:00,14.59,14.59,12.87,13.83,2521717.0
2025-11-03 05:00:00+00:00,13.69,13.765,13.18,13.42,1478861.0
