Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,2.26,2.85,2.03,2.67,631052.0
2024-12-03 05:00:00+00:00,2.68,2.73,2.31,2.31,91288.0
2024-12-04 05:00:00+00:00,2.25,2.37,2.0401,2.3,65495.0
2024-12-05 05:00:00+00:00,2.3,2.36,2.11,2.15,21944.0
2024-12-06 05:00:00+00:00,2.2,2.375,2.2,2.34,30715.0
2024-12-09 05:00:00+00:00,2.28,2.375,2.16,2.21,22814.0
2024-12-10 05:00:00+00:00,2.325,2.33,2.11,2.25,12954.0
2024-12-11 05:00:00+00:00,2.3,2.805,2.2058,2.62,113269.0
2024-12-12 05:00:00+00:00,2.54,2.7,2.39,2.39,35153.0
2024-12-13 05:00:00+00:00,2.33,2.4982,2.31,2.32,23302.0
2024-12-16 05:00:00+00:00,2.39,2.42,2.15,2.16,45162.0
2024-12-17 05:00:00+00:00,2.18,2.39,2.1001,2.25,12847.0
2024-12-18 05:00:00+00:00,2.33,2.37,2.15,2.17,23218.0
2024-12-19 05:00:00+00:00,2.2,2.31,2.1416,2.235,12973.0
2024-12-20 05:00:00+00:00,2.42,2.4791,2.26,2.47,23255.0
2024-12-23 05:00:00+00:00,2.4,2.4872,2.2,2.2,15764.0
2024-12-24 05:00:00+00:00,2.17,2.3203,2.17,2.3203,8693.0
2024-12-26 05:00:00+00:00,2.12,2.335,2.039,2.16,19042.0
2024-12-27 05:00:00+00:00,2.2,2.3803,2.0601,2.11,48106.0
2024-12-30 05:00:00+00:00,2.24,2.3062,2.0,2.09,13982.0
2024-12-31 05:00:00+00:00,2.26,2.305,2.125,2.204,17761.0
2025-01-02 05:00:00+00:00,2.21,2.29,2.0985,2.21,104013.0
2025-01-03 05:00:00+00:00,2.3,2.3193,2.22,2.27,6444.0
2025-01-06 05:00:00+00:00,2.32,2.4,2.11,2.22,17679.0
2025-01-07 05:00:00+00:00,2.07,2.26,2.06,2.09,9552.0
2025-01-08 05:00:00+00:00,2.07,2.2,2.05,2.125,16709.0
2025-01-10 05:00:00+00:00,2.18,2.19,2.0101,2.03,7917.0
2025-01-13 05:00:00+00:00,2.17,2.3761,2.0,2.24,47110.0
2025-01-14 05:00:00+00:00,2.16,2.3,2.05,2.08,21272.0
2025-01-15 05:00:00+00:00,2.08,2.2,2.0,2.06,21256.0
2025-01-16 05:00:00+00:00,2.14,2.18,2.0228,2.12,9427.0
2025-01-17 05:00:00+00:00,2.15,2.22,2.09,2.1927,33853.0
2025-01-21 05:00:00+00:00,2.16,2.22,2.15,2.15,15021.0
2025-01-22 05:00:00+00:00,2.17,2.88,2.115,2.75,384497.0
2025-01-23 05:00:00+00:00,2.85,2.85,1.96,2.0,575749.0
2025-01-24 05:00:00+00:00,1.92,2.28,1.92,2.13,379617.0
2025-01-27 05:00:00+00:00,2.07,2.4833,2.0,2.4273,375802.0
2025-01-28 05:00:00+00:00,2.55,2.6,2.35,2.35,331211.0
2025-01-29 05:00:00+00:00,2.3,2.64,2.05,2.47,419430.0
2025-01-30 05:00:00+00:00,2.24,3.8902,0.9,0.95,2443691.0
2025-01-31 05:00:00+00:00,1.6,2.15,0.9,1.16,24845084.0
2025-02-03 05:00:00+00:00,1.02,1.05,0.6653,0.7825,1172675.0
2025-02-04 05:00:00+00:00,0.7484,0.9875,0.73,0.92,730966.0
2025-02-05 05:00:00+00:00,0.97,0.97,0.83,0.84,143158.0
2025-02-06 05:00:00+00:00,0.87,0.89,0.7895,0.851,498539.0
2025-02-07 05:00:00+00:00,0.851,0.9,0.8,0.855,184228.0
2025-02-10 05:00:00+00:00,0.8585,0.8999,0.8,0.825,149312.0
2025-02-11 05:00:00+00:00,0.83,0.85,0.7,0.725,200988.0
2025-02-12 05:00:00+00:00,0.74,0.7998,0.7101,0.7431,62296.0
2025-02-13 05:00:00+00:00,0.74,0.74,0.6667,0.6776,191977.0
2025-02-14 05:00:00+00:00,0.6736,0.72,0.651,0.661,1506499.0
2025-02-18 05:00:00+00:00,0.675,0.7199,0.6626,0.7037,261006.0
2025-02-19 05:00:00+00:00,0.6966,0.749,0.6854,0.712,65721.0
2025-02-20 05:00:00+00:00,0.6997,0.74,0.68,0.711,60294.0
2025-02-21 05:00:00+00:00,0.69,0.74,0.69,0.7063,74802.0
2025-02-24 05:00:00+00:00,0.7,0.7047,0.661,0.664,43583.0
2025-02-25 05:00:00+00:00,0.678,0.6799,0.5112,0.5901,84371.0
2025-02-26 05:00:00+00:00,0.557,0.64,0.5501,0.5966,41330.0
2025-02-27 05:00:00+00:00,0.58,0.63,0.56,0.5857,44839.0
2025-02-28 05:00:00+00:00,0.56,0.62,0.5501,0.58,26159.0
2025-03-03 05:00:00+00:00,0.5546,0.58,0.5546,0.5738,58256.0
2025-03-04 05:00:00+00:00,0.55,0.5846,0.55,0.5697,61927.0
2025-03-05 05:00:00+00:00,0.58,0.63,0.5264,0.5711,112579.0
2025-03-06 05:00:00+00:00,0.63,0.644,0.572,0.612,107066.0
2025-03-07 05:00:00+00:00,0.612,0.6649,0.6101,0.64,39572.0
2025-03-10 04:00:00+00:00,0.6,0.7122,0.6,0.678,43559.0
2025-03-11 04:00:00+00:00,0.7129,0.749,0.6907,0.7201,149856.0
2025-03-12 04:00:00+00:00,0.7301,0.8,0.7201,0.7991,112050.0
2025-03-13 04:00:00+00:00,0.81,0.9325,0.7629,0.9164,302068.0
2025-03-14 04:00:00+00:00,0.9147,0.9949,0.85,0.98,132793.0
2025-03-17 04:00:00+00:00,0.895,1.2,0.895,1.2,256461.0
2025-03-18 04:00:00+00:00,1.2,1.3,1.125,1.17,202758.0
2025-03-19 04:00:00+00:00,1.2,1.2,0.9932,1.01,91797.0
2025-03-20 04:00:00+00:00,1.15,1.57,1.1,1.18,1773507.0
2025-03-21 04:00:00+00:00,1.27,1.4,1.12,1.3765,366605.0
2025-03-24 04:00:00+00:00,1.42,1.4384,1.25,1.4,262742.0
2025-03-25 04:00:00+00:00,1.44,1.51,1.3436,1.41,94617.0
2025-03-26 04:00:00+00:00,1.47,1.58,1.47,1.5101,162797.0
2025-03-27 04:00:00+00:00,1.87,1.95,0.5119,0.6094,45250518.0
2025-03-28 04:00:00+00:00,0.58,0.6,0.4009,0.405,4877605.0
2025-03-31 04:00:00+00:00,0.419,0.419,0.3429,0.346,1989046.0
2025-04-01 04:00:00+00:00,0.3477,0.3795,0.2883,0.2986,2992714.0
2025-04-02 04:00:00+00:00,0.3,0.3074,0.2313,0.2313,2727694.0
2025-04-03 04:00:00+00:00,0.23,0.2922,0.2098,0.2194,7883782.0
2025-04-04 04:00:00+00:00,0.232,0.2393,0.2005,0.218,3739386.0
2025-04-07 04:00:00+00:00,0.2,0.2645,0.2,0.257,3050876.0
2025-04-08 04:00:00+00:00,0.275,0.28,0.24,0.26,1679008.0
2025-04-09 04:00:00+00:00,0.2485,0.25,0.2245,0.228,1041351.0
2025-04-10 04:00:00+00:00,0.23,0.2438,0.23,0.2419,401155.0
2025-04-11 04:00:00+00:00,0.235,0.2461,0.2338,0.2438,206440.0
2025-04-14 04:00:00+00:00,0.2426,0.2599,0.2405,0.2427,506421.0
2025-04-15 04:00:00+00:00,0.24,0.2545,0.235,0.2375,619012.0
2025-04-16 04:00:00+00:00,0.2375,0.2466,0.2181,0.2295,535930.0
2025-04-17 04:00:00+00:00,0.22,0.2393,0.22,0.2341,292369.0
2025-04-21 04:00:00+00:00,0.2217,0.235,0.2217,0.2251,297814.0
2025-04-22 04:00:00+00:00,0.233,0.2475,0.2256,0.233,927391.0
2025-04-23 04:00:00+00:00,0.232,0.27,0.232,0.25,998742.0
2025-04-24 04:00:00+00:00,0.2572,0.2943,0.25,0.2606,2303989.0
2025-04-25 04:00:00+00:00,0.2744,0.2748,0.225,0.2476,9436046.0
2025-04-28 04:00:00+00:00,0.2332,0.2662,0.2332,0.2589,1607338.0
2025-04-29 04:00:00+00:00,0.245,0.2509,0.24,0.2426,838669.0
2025-04-30 04:00:00+00:00,0.24,0.247,0.237,0.241,373975.0
2025-05-01 04:00:00+00:00,0.245,0.279,0.2409,0.265,1458958.0
2025-05-02 04:00:00+00:00,0.2585,0.2604,0.2465,0.2477,721904.0
2025-05-05 04:00:00+00:00,0.255,0.255,0.2351,0.2372,484105.0
2025-05-06 04:00:00+00:00,0.2453,0.2453,0.235,0.2382,861124.0
2025-05-07 04:00:00+00:00,0.235,0.2395,0.221,0.2264,740089.0
2025-05-08 04:00:00+00:00,0.2235,0.2264,0.2034,0.2208,1065465.0
2025-05-09 04:00:00+00:00,0.229,0.229,0.215,0.2201,339229.0
2025-05-12 04:00:00+00:00,0.235,0.245,0.2248,0.235,803542.0
2025-05-13 04:00:00+00:00,0.235,0.2542,0.2318,0.2452,904544.0
2025-05-14 04:00:00+00:00,0.2354,0.2447,0.231,0.2398,210737.0
2025-05-15 04:00:00+00:00,0.2387,0.2387,0.215,0.216,829326.0
2025-05-16 04:00:00+00:00,0.235,0.2353,0.2176,0.22,366297.0
2025-05-19 04:00:00+00:00,0.215,0.2487,0.215,0.2389,797634.0
2025-05-20 04:00:00+00:00,0.2302,0.245,0.23,0.2375,379854.0
2025-05-21 04:00:00+00:00,0.2374,0.2375,0.222,0.2262,251396.0
2025-05-22 04:00:00+00:00,0.2261,0.2361,0.2238,0.2318,441942.0
2025-05-23 04:00:00+00:00,0.228,0.2625,0.228,0.2522,1747586.0
2025-05-27 04:00:00+00:00,0.26,0.297,0.26,0.283,2292173.0
2025-05-28 04:00:00+00:00,0.282,0.295,0.2661,0.2861,501816.0
2025-05-29 04:00:00+00:00,0.2911,0.3253,0.2911,0.308,1105683.0
2025-05-30 04:00:00+00:00,0.3277,0.3334,0.3101,0.332,1157666.0
2025-06-02 04:00:00+00:00,0.33,0.4298,0.33,0.333,3596536.0
2025-06-03 04:00:00+00:00,0.35,0.3798,0.35,0.3749,689662.0
2025-06-04 04:00:00+00:00,0.3694,0.3839,0.35,0.362,473981.0
2025-06-05 04:00:00+00:00,0.36,0.379,0.3543,0.3557,256281.0
2025-06-06 04:00:00+00:00,0.3457,0.3639,0.328,0.3355,553250.0
2025-06-09 04:00:00+00:00,0.339,0.3524,0.339,0.342,175278.0
2025-06-10 04:00:00+00:00,0.3503,0.3503,0.3143,0.326,140142.0
2025-06-11 04:00:00+00:00,0.3199,0.3375,0.311,0.3202,211006.0
2025-06-12 04:00:00+00:00,0.3876,0.4,0.172,0.2232,45431940.0
2025-06-13 04:00:00+00:00,0.212,0.2275,0.2,0.211,7132867.0
2025-06-16 04:00:00+00:00,0.2547,0.35,0.2144,0.2445,62043652.0
2025-06-17 04:00:00+00:00,0.2893,0.32,0.259,0.2798,47762639.0
2025-06-18 04:00:00+00:00,0.2566,0.27,0.2351,0.2489,3386517.0
2025-06-20 04:00:00+00:00,0.2407,0.26,0.2368,0.2383,2427857.0
2025-06-23 04:00:00+00:00,0.2209,0.237,0.2103,0.2142,3035357.0
2025-06-24 04:00:00+00:00,0.222,0.2417,0.2201,0.2373,2545150.0
2025-06-25 04:00:00+00:00,0.243,0.2461,0.2238,0.233,2342431.0
2025-06-26 04:00:00+00:00,0.2325,0.237,0.2163,0.2248,1287326.0
2025-06-27 04:00:00+00:00,0.225,0.2299,0.2102,0.215,1436425.0
2025-06-30 04:00:00+00:00,0.2155,0.2499,0.214,0.2421,5619737.0
2025-07-01 04:00:00+00:00,0.25,0.2502,0.2334,0.2369,2123805.0
2025-07-02 04:00:00+00:00,0.234,0.2709,0.23,0.2599,2999451.0
2025-07-03 04:00:00+00:00,0.26,0.2796,0.252,0.2689,2540335.0
2025-07-07 04:00:00+00:00,0.28,0.28,0.25,0.26,1324048.0
2025-07-08 04:00:00+00:00,0.2522,0.2773,0.25,0.2687,970865.0
2025-07-09 04:00:00+00:00,0.2826,0.3802,0.2616,0.3414,13336922.0
2025-07-10 04:00:00+00:00,0.318,0.415,0.3158,0.399,5219206.0
2025-07-11 04:00:00+00:00,0.4295,0.59,0.3578,0.3825,24133022.0
2025-07-14 04:00:00+00:00,0.42,0.4964,0.411,0.4559,8444241.0
2025-07-15 04:00:00+00:00,0.4377,0.77,0.424,0.725,26735478.0
2025-07-16 04:00:00+00:00,0.7509,1.35,0.73,0.869,39979964.0
2025-07-17 04:00:00+00:00,1.05,1.11,0.881,1.05,12801298.0
2025-07-18 04:00:00+00:00,1.22,1.7,1.18,1.43,25164209.0
2025-07-21 04:00:00+00:00,1.66,2.1,1.66,2.0,14013272.0
2025-07-22 04:00:00+00:00,2.23,2.68,1.86,2.24,14227106.0
2025-07-23 04:00:00+00:00,1.95,2.05,1.33,1.81,6982614.0
2025-07-24 04:00:00+00:00,1.33,1.73,1.12,1.35,7898195.0
2025-07-25 04:00:00+00:00,1.35,1.539,1.19,1.34,2801541.0
2025-07-28 04:00:00+00:00,1.28,1.48,1.26,1.45,2021817.0
2025-07-29 04:00:00+00:00,1.49,1.52,1.22,1.35,1719060.0
2025-07-30 04:00:00+00:00,1.36,1.4499,1.2906,1.4,893504.0
2025-07-31 04:00:00+00:00,1.41,1.6199,1.39,1.47,1143144.0
2025-11-03 05:00:00+00:00,0.73,0.755,0.6715,0.7098,121142.0
2025-11-04 05:00:00+00:00,0.65,0.66,0.5602,0.5642,309495.0
2025-11-05 05:00:00+00:00,0.5607,0.6364,0.5607,0.608,120762.0
2025-11-06 05:00:00+00:00,0.628,0.6606,0.561,0.5897,161824.0
