Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,2.9,2.91,2.685,2.7,609869.0
2025-03-04 05:00:00+00:00,2.65,2.745,2.605,2.71,395466.0
2025-03-05 05:00:00+00:00,2.73,2.86,2.685,2.75,569836.0
2025-03-06 05:00:00+00:00,2.68,2.8,2.65,2.79,293573.0
2025-03-07 05:00:00+00:00,2.79,2.98,2.74,2.97,411586.0
2025-03-10 04:00:00+00:00,2.89,2.975,2.815,2.96,716148.0
2025-03-11 04:00:00+00:00,2.96,2.96,2.83,2.85,518474.0
2025-03-12 04:00:00+00:00,2.92,2.92,2.635,2.7,272810.0
2025-03-13 04:00:00+00:00,2.66,2.73,2.615,2.67,328906.0
2025-03-14 04:00:00+00:00,2.69,2.78,2.68,2.77,107662.0
2025-03-17 04:00:00+00:00,2.78,2.81,2.68,2.73,384660.0
2025-03-18 04:00:00+00:00,2.71,2.815,2.66,2.77,289389.0
2025-03-19 04:00:00+00:00,2.81,2.825,2.72,2.79,219498.0
2025-03-20 04:00:00+00:00,2.76,2.81,2.705,2.72,163671.0
2025-03-21 04:00:00+00:00,2.66,2.75,2.63,2.73,277167.0
2025-03-24 04:00:00+00:00,2.75,2.805,2.725,2.75,195228.0
2025-03-25 04:00:00+00:00,2.76,2.775,2.7,2.73,124131.0
2025-03-26 04:00:00+00:00,2.74,2.755,2.675,2.71,123155.0
2025-03-27 04:00:00+00:00,2.71,2.82,2.685,2.79,234067.0
2025-03-28 04:00:00+00:00,2.79,2.79,2.68,2.71,129977.0
2025-03-31 04:00:00+00:00,2.68,2.73,2.58,2.69,636742.0
2025-04-01 04:00:00+00:00,2.66,2.73,2.57,2.67,275933.0
2025-04-02 04:00:00+00:00,2.65,2.765,2.65,2.72,185182.0
2025-04-03 04:00:00+00:00,2.65,2.7,2.57,2.6,249253.0
2025-04-04 04:00:00+00:00,2.52,2.52,2.31,2.37,331990.0
2025-04-07 04:00:00+00:00,2.23,2.385,2.13,2.29,659757.0
2025-04-08 04:00:00+00:00,2.38,2.415,2.19,2.2,228721.0
2025-04-09 04:00:00+00:00,2.17,2.54,2.17,2.5,551483.0
2025-04-10 04:00:00+00:00,2.46,2.54,2.285,2.36,372924.0
2025-04-11 04:00:00+00:00,2.32,2.45,2.32,2.41,270023.0
2025-04-14 04:00:00+00:00,2.46,2.5,2.415,2.49,145193.0
2025-04-15 04:00:00+00:00,2.49,2.49,2.395,2.45,170982.0
