Date,Open,High,Low,Close,Volume
2025-06-02 04:00:00+00:00,21.91,23.18,21.37,22.02,2550739.0
2025-06-03 04:00:00+00:00,21.51,21.9543,20.4175,21.81,2736686.0
2025-06-04 04:00:00+00:00,21.67,23.97,21.67,23.37,3147437.0
2025-06-05 04:00:00+00:00,24.72,31.65,24.46,30.02,11617649.0
2025-06-06 04:00:00+00:00,27.1,28.68,25.69,27.86,8056918.0
2025-06-09 04:00:00+00:00,29.64,30.36,25.145,25.33,6559486.0
2025-06-10 04:00:00+00:00,24.3,24.98,22.2,22.45,4305855.0
2025-06-11 04:00:00+00:00,21.31,22.9154,21.1992,22.4,3174940.0
2025-06-12 04:00:00+00:00,22.91,23.73,21.63,23.42,3790891.0
2025-06-13 04:00:00+00:00,24.2,24.298,21.405,22.53,5572954.0
2025-06-16 04:00:00+00:00,21.74,22.37,21.645,22.02,2130270.0
2025-06-17 04:00:00+00:00,22.42,23.92,22.27,23.73,2638777.0
2025-06-18 04:00:00+00:00,23.6,23.859,21.79,22.88,2918361.0
2025-06-20 04:00:00+00:00,22.11,23.485,21.45,22.87,2564831.0
2025-06-23 04:00:00+00:00,22.12,22.12,17.85,19.12,9744072.0
2025-06-24 04:00:00+00:00,18.26,20.01,18.26,20.01,4037255.0
2025-06-25 04:00:00+00:00,19.71,22.36,19.71,21.52,4279024.0
2025-06-26 04:00:00+00:00,21.89,22.04,21.09,21.77,2090374.0
2025-06-27 04:00:00+00:00,21.98,22.88,21.31,22.05,2462011.0
2025-06-30 04:00:00+00:00,22.63,23.03,21.82,22.89,1932462.0
2025-07-01 04:00:00+00:00,25.68,26.405,24.59,25.33,6175200.0
2025-07-02 04:00:00+00:00,23.34,24.8,22.63,22.83,5050946.0
2025-07-03 04:00:00+00:00,22.56,23.24,22.44,22.9,1879803.0
2025-07-07 04:00:00+00:00,26.36,26.74,25.67,25.97,5039639.0
2025-07-08 04:00:00+00:00,25.45,25.9,24.22,25.31,3066822.0
2025-07-09 04:00:00+00:00,25.32,26.03,24.94,25.64,1611191.0
2025-07-10 04:00:00+00:00,24.91,24.93,23.13,23.22,3187070.0
2025-07-11 04:00:00+00:00,23.58,23.86,22.61,22.7,2829351.0
2025-07-14 04:00:00+00:00,22.14,22.82,21.4,22.21,2696384.0
2025-07-15 04:00:00+00:00,21.83,23.1,21.62,23.07,1923957.0
2025-07-16 04:00:00+00:00,22.78,22.78,21.2,21.45,4035955.0
2025-07-17 04:00:00+00:00,21.26,22.065,21.11,21.76,2113152.0
2025-07-18 04:00:00+00:00,21.45,21.49,20.22,20.38,2837559.0
2025-07-21 04:00:00+00:00,19.8,20.71,19.37,20.52,1551760.0
2025-07-22 04:00:00+00:00,20.4,21.393,19.68,20.09,2662101.0
2025-07-23 04:00:00+00:00,20.22,20.4903,19.59,19.99,4218820.0
2025-07-24 04:00:00+00:00,22.73,23.89,22.73,23.33,4078756.0
2025-07-25 04:00:00+00:00,22.8,22.9,20.5309,21.67,6514291.0
2025-07-28 04:00:00+00:00,21.39,21.7393,19.72,20.39,3917232.0
2025-07-29 04:00:00+00:00,20.37,21.3,20.34,20.91,2489338.0
2025-07-30 04:00:00+00:00,20.8,22.18,20.52,21.22,2336819.0
2025-07-31 04:00:00+00:00,21.13,22.94,20.9247,22.67,1789285.0
