Date,Open,High,Low,Close,Volume
2025-11-03 05:00:00+00:00,0.9635,0.9968,0.932,0.94,305798.0
2025-11-04 05:00:00+00:00,0.9298,0.9298,0.8398,0.882,682104.0
2025-11-05 05:00:00+00:00,0.87,0.9,0.848,0.869,363259.0
2025-11-06 05:00:00+00:00,0.8596,0.87,0.79,0.8319,434063.0
2025-11-07 05:00:00+00:00,0.83,0.8318,0.78,0.83,285023.0
2025-11-10 05:00:00+00:00,0.84,0.87,0.8115,0.8355,221867.0
2025-11-11 05:00:00+00:00,0.8331,0.85,0.7999,0.85,218786.0
2025-11-12 05:00:00+00:00,0.87,0.87,0.7981,0.831,220678.0
2025-11-13 05:00:00+00:00,0.847,0.847,0.7319,0.7507,527318.0
2025-11-14 05:00:00+00:00,0.75,0.799,0.7302,0.7979,252565.0
2025-11-17 05:00:00+00:00,0.844,0.844,0.71,0.713,375641.0
2025-11-18 05:00:00+00:00,0.7262,0.8316,0.72,0.813,323193.0
2025-11-19 05:00:00+00:00,0.815,0.815,0.735,0.7465,178114.0
2025-11-20 05:00:00+00:00,0.7678,0.7992,0.706,0.719,282230.0
2025-11-21 05:00:00+00:00,0.7143,0.749,0.7065,0.7205,175414.0
2025-11-24 05:00:00+00:00,0.7245,0.7872,0.7245,0.7699,191391.0
2025-11-25 05:00:00+00:00,0.7797,0.8109,0.7351,0.748,283151.0
2025-11-26 05:00:00+00:00,0.7701,0.8358,0.75,0.8099,425500.0
2025-11-28 05:00:00+00:00,0.86,0.87,0.8,0.81,267579.0
2025-12-01 05:00:00+00:00,0.8,0.87,0.755,0.755,276800.0
2025-12-02 05:00:00+00:00,0.7848,0.794,0.7264,0.739,283323.0
2025-12-03 05:00:00+00:00,0.7408,0.8247,0.7408,0.82,350082.0
2025-12-04 05:00:00+00:00,0.7975,0.9123,0.7761,0.855,367103.0
2025-12-05 05:00:00+00:00,0.86,0.9,0.8007,0.85,466556.0
2025-12-08 05:00:00+00:00,0.896,0.896,0.802,0.8139,505062.0
2025-12-09 05:00:00+00:00,0.8259,0.8393,0.78,0.7861,257169.0
2025-12-10 05:00:00+00:00,0.7922,0.8,0.754,0.76,210529.0
2025-12-11 05:00:00+00:00,0.7938,0.7938,0.76,0.7676,243737.0
2025-12-12 05:00:00+00:00,0.7675,0.7898,0.702,0.7257,363120.0
2025-12-15 05:00:00+00:00,0.765,0.7663,0.6792,0.6833,421690.0
2025-12-16 05:00:00+00:00,0.6934,0.71,0.667,0.698,181674.0
2025-12-17 05:00:00+00:00,0.71,0.7156,0.68,0.6938,149688.0
2025-12-18 05:00:00+00:00,0.7124,0.72,0.6804,0.7006,325126.0
2025-12-19 05:00:00+00:00,0.7069,0.7801,0.7006,0.7529,468229.0
2025-12-22 05:00:00+00:00,0.735,0.7697,0.701,0.701,187849.0
2025-12-23 05:00:00+00:00,0.738,0.738,0.6909,0.7087,161773.0
2025-12-24 05:00:00+00:00,0.73,0.7416,0.6822,0.7109,107188.0
2025-12-26 05:00:00+00:00,0.7119,0.72,0.685,0.694,108006.0
2025-12-29 05:00:00+00:00,0.67,0.699,0.64,0.65,408710.0
2025-12-30 05:00:00+00:00,0.6227,0.6666,0.6157,0.63,402836.0
2025-12-31 05:00:00+00:00,0.63,0.641,0.6021,0.6348,238178.0
2026-01-02 05:00:00+00:00,0.6624,0.6624,0.6159,0.6555,161248.0
2026-01-05 05:00:00+00:00,0.6549,0.6867,0.6534,0.6778,167414.0
2026-01-06 05:00:00+00:00,0.6713,0.6713,0.63,0.633,230074.0
2026-01-07 05:00:00+00:00,0.614,0.6448,0.6108,0.619,155552.0
2026-01-08 05:00:00+00:00,0.64,0.6405,0.5869,0.6169,288345.0
2026-01-09 05:00:00+00:00,0.62,0.6358,0.5812,0.588,146659.0
2026-01-12 05:00:00+00:00,0.5704,0.6099,0.5704,0.603,257044.0
2026-01-13 05:00:00+00:00,0.6104,0.6104,0.5802,0.5924,83877.0
2026-01-14 05:00:00+00:00,0.5966,0.6075,0.581,0.5951,98455.0
2026-01-15 05:00:00+00:00,0.6005,0.6009,0.5751,0.5885,157700.0
2026-01-16 05:00:00+00:00,0.567,0.595,0.563,0.5661,250816.0
2026-01-20 05:00:00+00:00,0.5714,0.5773,0.5207,0.54,164356.0
2026-01-21 05:00:00+00:00,0.5266,0.5867,0.5112,0.5697,164317.0
2026-01-22 05:00:00+00:00,0.596,0.6198,0.58,0.5986,151911.0
2026-01-23 05:00:00+00:00,0.5806,0.5986,0.5605,0.57,152555.0
2026-01-26 05:00:00+00:00,0.56,0.5973,0.56,0.565,26319465.0
2026-01-27 05:00:00+00:00,0.6546,0.69,0.4713,0.6611,44094325.0
2026-01-28 05:00:00+00:00,0.57,0.6434,0.53,0.6109,2484241.0
2026-01-29 05:00:00+00:00,0.58,0.58,0.52,0.5299,1707724.0
2026-01-30 05:00:00+00:00,0.48,0.5186,0.4572,0.4572,739537.0
2026-02-02 05:00:00+00:00,0.4512,0.5371,0.4511,0.5053,723219.0
2026-02-03 05:00:00+00:00,0.51,0.51,0.46,0.4814,473029.0
2026-02-04 05:00:00+00:00,0.486,0.498,0.4414,0.4589,612143.0
2026-02-05 05:00:00+00:00,0.4664,0.474,0.4284,0.439,300090.0
2026-02-06 05:00:00+00:00,0.4412,0.5,0.4341,0.4624,623028.0
2026-02-09 05:00:00+00:00,0.451,0.5154,0.451,0.5046,232515.0
2026-02-10 05:00:00+00:00,0.5,0.5313,0.4792,0.4805,194342.0
2026-02-11 05:00:00+00:00,0.4881,0.4916,0.4365,0.459,379555.0
2026-02-12 05:00:00+00:00,0.484,0.484,0.41,0.4322,360408.0
2026-02-13 05:00:00+00:00,0.44,0.4626,0.4252,0.4413,259672.0
2026-02-17 05:00:00+00:00,0.43,0.43,0.4044,0.4215,523148.0
2026-02-18 05:00:00+00:00,0.45,0.45,0.4079,0.413,399538.0
2026-02-19 05:00:00+00:00,0.4122,0.4341,0.3953,0.4029,259774.0
2026-02-20 05:00:00+00:00,0.4029,0.4156,0.3832,0.407,323249.0
2026-02-23 05:00:00+00:00,0.426,0.4368,0.3931,0.4273,421083.300846
2026-02-24 05:00:00+00:00,0.4254,0.449,0.3981,0.4055,484531.0
2026-02-25 05:00:00+00:00,0.4,0.4126,0.382,0.386,549542.052034
2026-02-26 05:00:00+00:00,0.3968,0.4,0.38,0.3888,292757.243476
2026-02-27 05:00:00+00:00,0.3854,0.3888,0.3556,0.3698,343659.068644
