Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,1.96,2.0,1.8935,1.95,100502.0
2024-12-03 05:00:00+00:00,1.92,1.98,1.82,1.86,96006.0
2024-12-04 05:00:00+00:00,1.84,1.9358,1.72,1.74,89939.0
2024-12-05 05:00:00+00:00,1.74,1.82,1.69,1.71,87108.0
2024-12-06 05:00:00+00:00,1.77,1.84,1.67,1.79,159784.0
2024-12-09 05:00:00+00:00,1.79,1.85,1.745,1.84,49725.0
2024-12-10 05:00:00+00:00,1.78,1.98,1.76,1.81,337106.0
2024-12-11 05:00:00+00:00,1.76,1.8219,1.68,1.7,105857.0
2024-12-12 05:00:00+00:00,1.7,1.7173,1.6,1.61,116017.0
2024-12-13 05:00:00+00:00,1.61,1.61,1.5399,1.57,69742.0
2024-12-16 05:00:00+00:00,1.6,1.6,1.5143,1.54,66761.0
2024-12-17 05:00:00+00:00,1.57,1.73,1.55,1.7,120729.0
2024-12-18 05:00:00+00:00,1.71,2.38,1.6001,2.37,4015643.0
2024-12-19 05:00:00+00:00,2.27,2.27,1.7801,1.89,1048157.0
2024-12-20 05:00:00+00:00,1.79,1.9287,1.7,1.75,382140.0
2024-12-23 05:00:00+00:00,1.7,2.05,1.6812,1.92,404628.0
2024-12-24 05:00:00+00:00,1.82,1.872,1.62,1.72,182795.0
2024-12-26 05:00:00+00:00,1.8,1.81,1.64,1.73,204843.0
2024-12-27 05:00:00+00:00,1.67,2.18,1.67,2.1,946423.0
2024-12-30 05:00:00+00:00,2.29,2.31,1.8259,2.06,642697.0
2024-12-31 05:00:00+00:00,1.96,2.42,1.9512,2.25,643040.0
2025-01-02 05:00:00+00:00,2.26,2.26,2.07,2.21,302424.0
2025-01-03 05:00:00+00:00,2.26,2.7293,2.26,2.43,972782.0
2025-01-06 05:00:00+00:00,2.57,3.2,2.33,3.11,2175045.0
2025-01-07 05:00:00+00:00,3.0,3.0999,2.53,2.77,860609.0
2025-01-08 05:00:00+00:00,2.73,2.73,2.14,2.34,352380.0
2025-01-10 05:00:00+00:00,2.38,2.47,2.21,2.42,125257.0
2025-01-13 05:00:00+00:00,2.42,2.61,2.3,2.38,351501.0
2025-01-14 05:00:00+00:00,2.45,2.52,2.19,2.29,191084.0
2025-01-15 05:00:00+00:00,2.2,2.4575,2.0,2.07,292834.0
2025-01-16 05:00:00+00:00,2.06,2.17,1.85,2.14,268765.0
2025-01-17 05:00:00+00:00,2.3,2.33,2.11,2.18,266655.0
2025-01-21 05:00:00+00:00,2.21,2.22,2.03,2.09,123068.0
2025-01-22 05:00:00+00:00,2.1,2.33,2.1,2.14,97779.0
2025-01-23 05:00:00+00:00,2.08,2.1981,2.06,2.07,126777.0
2025-01-24 05:00:00+00:00,2.16,2.16,1.99,2.13,170392.0
2025-01-27 05:00:00+00:00,2.1,2.1978,2.05,2.07,172877.0
2025-01-28 05:00:00+00:00,2.15,2.15,1.99,2.05,54364.0
2025-01-29 05:00:00+00:00,2.04,2.09,1.87,1.92,130143.0
2025-01-30 05:00:00+00:00,1.92,2.0069,1.55,1.69,363729.0
2025-01-31 05:00:00+00:00,1.72,1.7462,1.6,1.69,119119.0
2025-02-03 05:00:00+00:00,1.66,1.85,1.56,1.67,129145.0
2025-02-04 05:00:00+00:00,1.67,1.7,1.61,1.67,37479.0
2025-02-05 05:00:00+00:00,1.67,1.86,1.67,1.75,370574.0
2025-02-06 05:00:00+00:00,1.75,1.83,1.69,1.8,113946.0
2025-02-07 05:00:00+00:00,1.79,2.29,1.5817,1.71,1631397.0
2025-02-10 05:00:00+00:00,1.63,1.83,1.6,1.62,420153.0
2025-02-11 05:00:00+00:00,1.83,1.92,1.76,1.89,754119.0
2025-02-12 05:00:00+00:00,1.9,2.1,1.8101,2.04,367278.0
2025-02-13 05:00:00+00:00,2.07,2.09,1.84,1.88,153947.0
2025-02-14 05:00:00+00:00,1.89,1.9699,1.86,1.9043,51199.0
2025-02-18 05:00:00+00:00,1.93,1.94,1.81,1.88,190622.0
2025-02-19 05:00:00+00:00,1.85,1.8593,1.75,1.75,87197.0
2025-02-20 05:00:00+00:00,1.75,1.82,1.6501,1.82,92251.0
2025-02-21 05:00:00+00:00,1.78,1.9112,1.7,1.87,675265.0
2025-02-24 05:00:00+00:00,1.95,1.95,1.6,1.73,367314.0
2025-02-25 05:00:00+00:00,1.73,1.75,1.62,1.69,108330.0
2025-02-26 05:00:00+00:00,1.7,1.815,1.65,1.73,212837.0
2025-02-27 05:00:00+00:00,1.72,1.85,1.68,1.71,205157.0
2025-02-28 05:00:00+00:00,1.73,1.7499,1.65,1.67,54088.0
2025-03-03 05:00:00+00:00,1.68,1.84,1.59,1.59,209816.0
2025-03-04 05:00:00+00:00,1.58,1.626,1.4405,1.47,140521.0
2025-03-05 05:00:00+00:00,1.47,1.5,1.33,1.36,216809.0
2025-03-06 05:00:00+00:00,1.29,1.4,1.22,1.36,164917.0
2025-03-07 05:00:00+00:00,1.36,1.45,1.3249,1.4,93086.0
2025-03-10 04:00:00+00:00,1.45,1.52,1.35,1.365,228844.0
2025-03-11 04:00:00+00:00,1.41,1.52,1.41,1.48,259767.0
2025-03-12 04:00:00+00:00,1.4701,1.51,1.47,1.4717,102138.0
2025-03-13 04:00:00+00:00,1.4665,1.58,1.26,1.29,329372.0
2025-03-14 04:00:00+00:00,1.3,1.42,1.3,1.37,103575.0
2025-03-17 04:00:00+00:00,1.38,1.43,1.25,1.28,275835.0
2025-03-18 04:00:00+00:00,1.28,1.34,1.25,1.2601,98160.0
2025-03-19 04:00:00+00:00,1.26,1.27,1.22,1.23,86058.0
2025-03-20 04:00:00+00:00,1.23,1.27,1.21,1.27,21967.0
2025-03-21 04:00:00+00:00,1.25,1.29,1.2001,1.22,42644.0
2025-03-24 04:00:00+00:00,1.27,1.29,1.23,1.28,52881.0
2025-03-25 04:00:00+00:00,1.31,1.3494,1.27,1.29,112657.0
2025-03-26 04:00:00+00:00,1.3206,1.35,1.255,1.27,43802.0
