Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,22.62,22.78,22.23,22.29,610550.0
2025-03-04 05:00:00+00:00,21.91,22.615,21.34,22.21,575997.0
2025-03-05 05:00:00+00:00,22.21,22.62,21.92,22.34,554157.0
2025-03-06 05:00:00+00:00,22.02,22.34,21.55,21.95,395201.0
2025-03-07 05:00:00+00:00,21.74,22.35,21.56,22.21,664814.0
2025-03-10 04:00:00+00:00,21.77,21.9414,21.2,21.64,757041.0
2025-03-11 04:00:00+00:00,21.64,21.84,21.24,21.4,503308.0
2025-03-12 04:00:00+00:00,21.58,21.595,21.13,21.35,717536.0
2025-03-13 04:00:00+00:00,21.46,21.57,20.67,20.84,609399.0
2025-03-14 04:00:00+00:00,21.15,22.32,21.09,21.75,908394.0
2025-03-17 04:00:00+00:00,21.79,22.865,21.715,22.56,824496.0
2025-03-18 04:00:00+00:00,22.36,22.4,21.71,22.02,843311.0
2025-03-19 04:00:00+00:00,22.08,22.76,22.04,22.48,625584.0
2025-03-20 04:00:00+00:00,22.16,22.464,21.84,21.89,495653.0
2025-03-21 04:00:00+00:00,21.57,21.86,21.33,21.4,1390516.0
2025-03-24 04:00:00+00:00,21.91,22.12,21.77,21.94,828432.0
2025-03-25 04:00:00+00:00,22.04,22.272,21.595,21.8,1442306.0
2025-03-26 04:00:00+00:00,21.96,22.09,21.53,21.62,1433701.0
2025-03-27 04:00:00+00:00,19.635,19.85,18.17,18.73,3788414.0
2025-03-28 04:00:00+00:00,18.61,18.83,17.635,17.85,1453285.0
2025-03-31 04:00:00+00:00,17.6,18.0,17.27,17.85,1125388.0
2025-04-01 04:00:00+00:00,17.68,18.07,17.4549,17.83,977123.0
2025-04-02 04:00:00+00:00,17.46,18.2148,17.35,18.02,890310.0
2025-04-03 04:00:00+00:00,17.1,17.225,15.87,15.98,1258981.0
2025-04-04 04:00:00+00:00,15.4,15.4,14.16,15.2,1424078.0
2025-04-07 04:00:00+00:00,14.63,16.05,14.56,15.26,1216142.0
2025-04-08 04:00:00+00:00,15.7,15.89,14.29,14.55,986873.0
2025-04-09 04:00:00+00:00,14.16,16.47,14.154,16.07,1430902.0
2025-04-10 04:00:00+00:00,15.69,15.88,15.0211,15.46,1164902.0
2025-04-11 04:00:00+00:00,15.45,15.955,15.1,15.88,1020943.0
2025-04-14 04:00:00+00:00,16.26,16.45,15.79,16.32,1113686.0
2025-04-15 04:00:00+00:00,16.22,16.74,16.22,16.51,1153717.0
2025-04-16 04:00:00+00:00,16.32,16.645,15.85,15.96,978430.0
2025-04-17 04:00:00+00:00,15.99,16.2,15.91,15.99,814927.0
2025-04-21 04:00:00+00:00,15.71,15.85,15.5401,15.62,751064.0
2025-04-22 04:00:00+00:00,15.83,16.23,15.72,16.2,797118.0
2025-04-23 04:00:00+00:00,16.735,17.31,16.655,16.85,979491.0
2025-04-24 04:00:00+00:00,16.88,17.98,16.82,17.96,859645.0
2025-04-25 04:00:00+00:00,17.87,18.44,17.71,18.23,903844.0
2025-04-28 04:00:00+00:00,18.28,18.495,17.9,18.22,780823.0
2025-04-29 04:00:00+00:00,18.19,18.36,18.06,18.27,791255.0
2025-04-30 04:00:00+00:00,17.75,17.87,17.36,17.64,801877.0
2025-05-01 04:00:00+00:00,18.13,18.25,17.62,17.73,682228.0
2025-05-02 04:00:00+00:00,17.91,18.0579,17.72,17.82,536322.0
2025-05-05 04:00:00+00:00,17.63,18.12,17.55,17.7,512317.0
2025-05-06 04:00:00+00:00,17.47,17.76,17.26,17.31,534113.0
2025-05-07 04:00:00+00:00,17.5,17.635,17.22,17.4,431865.0
2025-05-08 04:00:00+00:00,17.59,18.22,17.585,18.03,409983.0
2025-05-09 04:00:00+00:00,18.11,18.24,17.74,17.87,762225.0
2025-05-12 04:00:00+00:00,18.93,19.21,18.68,18.69,705838.0
2025-05-13 04:00:00+00:00,18.84,18.905,18.67,18.69,557007.0
2025-05-14 04:00:00+00:00,18.7,18.84,18.41,18.54,567822.0
2025-05-15 04:00:00+00:00,18.44,18.455,17.87,18.09,484423.0
2025-05-16 04:00:00+00:00,18.05,18.23,17.98,18.19,491798.0
2025-05-19 04:00:00+00:00,17.79,17.96,17.76,17.93,418589.0
2025-05-20 04:00:00+00:00,17.89,17.89,17.48,17.62,563288.0
2025-05-21 04:00:00+00:00,17.42,17.545,16.53,16.55,439146.0
2025-05-22 04:00:00+00:00,16.52,17.12,16.35,17.06,551571.0
2025-05-23 04:00:00+00:00,16.53,17.02,16.37,16.8,620699.0
2025-05-27 04:00:00+00:00,17.01,17.33,16.765,17.14,594153.0
2025-05-28 04:00:00+00:00,17.14,17.42,17.11,17.25,894355.0
2025-05-29 04:00:00+00:00,17.41,17.9,17.2,17.88,1494095.0
2025-05-30 04:00:00+00:00,17.7,17.84,17.43,17.54,1026697.0
2025-06-02 04:00:00+00:00,17.33,17.6,17.02,17.22,742185.0
