Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,1.53,2.37,1.53,1.75,1086314.0
2024-12-03 05:00:00+00:00,1.77,1.77,1.55,1.58,153818.0
2024-12-04 05:00:00+00:00,1.6,1.87,1.6,1.77,188878.0
2024-12-05 05:00:00+00:00,1.8,1.8396,1.72,1.75,83208.0
2024-12-06 05:00:00+00:00,1.75,1.87,1.7,1.72,87793.0
2024-12-09 05:00:00+00:00,1.73,2.1399,1.72,2.07,307473.0
2024-12-10 05:00:00+00:00,2.07,2.07,1.75,1.91,88556.0
2024-12-11 05:00:00+00:00,1.86,1.99,1.841,1.96,26993.0
2024-12-12 05:00:00+00:00,2.03,2.04,1.81,1.81,57178.0
2024-12-13 05:00:00+00:00,1.78,1.85,1.6962,1.72,51432.0
2024-12-16 05:00:00+00:00,1.73,1.79,1.69,1.76,54726.0
2024-12-17 05:00:00+00:00,1.78,1.94,1.76,1.92,79368.0
2024-12-18 05:00:00+00:00,1.9,2.0399,1.81,1.84,108913.0
2024-12-19 05:00:00+00:00,1.88,1.9,1.81,1.84,42409.0
2024-12-20 05:00:00+00:00,1.85,2.2397,1.81,2.18,152152.0
2024-12-23 05:00:00+00:00,2.34,2.34,1.95,2.14,168854.0
2024-12-24 05:00:00+00:00,2.22,2.22,1.9564,2.09,68652.0
2024-12-26 05:00:00+00:00,2.03,2.44,1.93,2.37,107965.0
2024-12-27 05:00:00+00:00,2.47,2.74,2.16,2.28,114356.0
2024-12-30 05:00:00+00:00,2.21,2.27,2.13,2.18,62200.0
2024-12-31 05:00:00+00:00,2.13,2.23,2.1,2.2,86641.0
2025-01-02 05:00:00+00:00,2.22,2.42,2.22,2.29,66948.0
2025-01-03 05:00:00+00:00,2.29,2.3605,2.2401,2.33,24654.0
2025-01-06 05:00:00+00:00,2.33,2.5,2.3108,2.46,60298.0
2025-01-07 05:00:00+00:00,2.5,2.51,2.3,2.34,52961.0
2025-01-08 05:00:00+00:00,2.37,2.37,1.9301,2.07,62927.0
2025-01-10 05:00:00+00:00,2.04,2.065,1.87,2.025,91316.0
2025-01-13 05:00:00+00:00,2.0068,2.12,1.905,2.0,76515.0
2025-01-14 05:00:00+00:00,1.95,2.0,1.8321,1.94,12828.0
2025-01-15 05:00:00+00:00,1.98,2.14,1.9201,2.04,43153.0
2025-01-16 05:00:00+00:00,2.01,2.1399,1.92,1.92,3384643.0
2025-01-17 05:00:00+00:00,3.4,3.79,2.57,2.76,65291137.0
2025-01-21 05:00:00+00:00,2.71,2.85,2.5,2.57,1032844.0
2025-01-22 05:00:00+00:00,2.56,2.85,2.56,2.78,423051.0
2025-01-23 05:00:00+00:00,2.89,2.91,2.71,2.81,197166.0
2025-01-24 05:00:00+00:00,2.65,2.88,2.65,2.74,177451.0
2025-01-27 05:00:00+00:00,2.6,2.73,2.27,2.32,177762.0
2025-01-28 05:00:00+00:00,2.39,2.438,2.2507,2.36,71005.0
2025-01-29 05:00:00+00:00,2.31,2.4,2.2,2.33,64817.0
2025-01-30 05:00:00+00:00,2.38,2.44,2.15,2.26,85156.0
2025-01-31 05:00:00+00:00,2.3,2.3298,2.1918,2.29,44260.0
2025-02-03 05:00:00+00:00,2.27,2.27,2.041,2.08,98725.0
2025-02-04 05:00:00+00:00,2.07,2.08,1.98,2.06,42533.0
2025-02-05 05:00:00+00:00,2.01,2.16,2.01,2.12,43584.0
2025-02-06 05:00:00+00:00,2.18,2.22,2.1,2.15,23994.0
2025-02-07 05:00:00+00:00,2.23,2.23,2.11,2.11,38885.0
2025-02-10 05:00:00+00:00,2.18,2.18,2.0,2.05,22265.0
2025-02-11 05:00:00+00:00,2.08,2.1284,1.93,1.99,39996.0
2025-02-12 05:00:00+00:00,2.15,2.15,1.9901,2.02,24094.0
2025-02-13 05:00:00+00:00,1.98,2.09,1.9446,2.09,58117.0
2025-02-14 05:00:00+00:00,2.1,2.1,2.0,2.0,26867.0
