Date,Open,High,Low,Close,Volume
2025-03-03 05:00:00+00:00,3.52,3.52,3.2172,3.3,147862.0
2025-03-04 05:00:00+00:00,3.23,3.29,3.07,3.24,87370.0
2025-03-05 05:00:00+00:00,3.28,3.565,3.2,3.46,73483.0
2025-03-06 05:00:00+00:00,3.46,3.8117,3.35,3.72,177811.0
2025-03-07 05:00:00+00:00,3.7,3.81,3.51,3.69,73352.0
2025-03-10 04:00:00+00:00,3.61,3.61,3.22,3.23,116201.0
2025-03-11 04:00:00+00:00,3.35,3.43,3.23,3.36,52822.0
2025-03-12 04:00:00+00:00,3.42,3.4889,3.16,3.27,58762.0
2025-03-13 04:00:00+00:00,3.24,3.35,3.07,3.16,73485.0
2025-03-14 04:00:00+00:00,3.17,3.33,3.1,3.3,50331.0
2025-03-17 04:00:00+00:00,3.31,3.6549,3.31,3.58,69240.0
2025-03-18 04:00:00+00:00,3.6,3.61,3.3612,3.55,34509.0
2025-03-19 04:00:00+00:00,3.48,3.6,3.41,3.53,32222.0
2025-03-20 04:00:00+00:00,3.5615,3.7,3.5,3.51,39401.0
2025-03-21 04:00:00+00:00,3.52,3.6808,3.45,3.6,62043.0
2025-03-24 04:00:00+00:00,3.69,3.75,3.5,3.71,43230.0
2025-03-25 04:00:00+00:00,3.65,3.8092,3.3608,3.49,66886.0
2025-03-26 04:00:00+00:00,3.36,3.5,3.17,3.2,76791.0
2025-03-27 04:00:00+00:00,3.24,3.2842,3.07,3.19,41318.0
2025-03-28 04:00:00+00:00,3.16,3.36,2.84,3.11,125838.0
2025-03-31 04:00:00+00:00,3.16,3.17,2.81,2.85,145429.0
2025-04-01 04:00:00+00:00,2.82,2.89,2.5812,2.63,168340.0
2025-04-02 04:00:00+00:00,2.61,2.74,2.38,2.57,160508.0
2025-04-03 04:00:00+00:00,2.53,2.62,2.44,2.57,79295.0
2025-04-04 04:00:00+00:00,2.49,2.65,2.4202,2.55,50056.0
2025-04-07 04:00:00+00:00,2.44,2.5808,2.3664,2.52,49730.0
2025-04-08 04:00:00+00:00,2.53,2.595,2.18,2.23,100199.0
2025-04-09 04:00:00+00:00,2.24,2.5983,1.9966,2.48,137223.0
2025-04-10 04:00:00+00:00,2.47,2.505,2.15,2.29,80558.0
2025-04-11 04:00:00+00:00,2.368,2.41,2.2001,2.33,39707.0
2025-04-14 04:00:00+00:00,2.32,2.32,2.11,2.25,98495.0
2025-04-15 04:00:00+00:00,2.32,2.33,2.11,2.19,79234.0
2025-04-16 04:00:00+00:00,2.12,2.19,2.0038,2.08,208337.0
2025-04-17 04:00:00+00:00,2.09,2.12,1.98,2.1,81525.0
2025-04-21 04:00:00+00:00,2.15,2.26,2.1,2.2,70410.0
2025-04-22 04:00:00+00:00,2.2189,2.4,2.2189,2.3,86150.0
2025-04-23 04:00:00+00:00,2.36,2.53,2.352,2.52,97020.0
2025-04-24 04:00:00+00:00,2.53,2.71,2.46,2.71,88852.0
2025-04-25 04:00:00+00:00,2.64,2.66,2.5535,2.63,54134.0
2025-04-28 04:00:00+00:00,2.69,2.7356,2.5977,2.68,38385.0
2025-04-29 04:00:00+00:00,2.7,2.74,2.55,2.64,35568.0
2025-04-30 04:00:00+00:00,2.62,2.88,2.53,2.84,92691.0
2025-05-01 04:00:00+00:00,2.78,2.7948,2.65,2.73,89484.0
2025-05-02 04:00:00+00:00,2.78,2.8173,2.64,2.73,73068.0
2025-05-05 04:00:00+00:00,2.7,2.73,2.5301,2.61,52389.0
2025-05-06 04:00:00+00:00,2.55,2.6912,2.5,2.57,63169.0
