Date,Open,High,Low,Close,Volume
2025-11-14 05:00:00+00:00,20.02,39.22,20.02,30.21,25701
2025-11-17 05:00:00+00:00,51.0,59.999,33.61,39.51,302384
2025-11-18 05:00:00+00:00,39.5,40.0,29.0,33.0,27274
2025-11-19 05:00:00+00:00,38.0,250.0,38.0,200.0,268914
2025-11-20 05:00:00+00:00,132.99,200.0,122.39,154.85,61148
2025-11-21 05:00:00+00:00,152.49,152.49,90.0,113.4,16254
2025-11-24 05:00:00+00:00,109.975,130.0,98.98,130.0,13482
2025-11-25 05:00:00+00:00,163.0,225.0,150.06,150.06,39106
2025-11-26 05:00:00+00:00,173.0,179.9999,133.6,145.21,25028
2025-11-28 05:00:00+00:00,130.0001,154.61,130.0001,140.7,12042
2025-12-01 05:00:00+00:00,140.0,140.0,125.1,125.1,17779
2025-12-02 05:00:00+00:00,128.23,155.0,121.05,145.1,24253
2025-12-03 05:00:00+00:00,174.52,174.52,131.2444,145.0,16398
2025-12-04 05:00:00+00:00,136.7,136.7,134.0,134.6,4393
2025-12-05 05:00:00+00:00,119.55,133.15,119.55,126.61,5778
2025-12-08 05:00:00+00:00,115.0001,120.06,115.0,120.0,3812
2025-12-09 05:00:00+00:00,99.0,99.0,95.21,95.21,3572
2025-12-10 05:00:00+00:00,93.92,93.92,93.92,93.92,1700
2025-12-11 05:00:00+00:00,93.62,94.02,93.62,94.02,2367
2025-12-12 05:00:00+00:00,112.1,142.04,112.1,116.0,14870
2025-12-15 05:00:00+00:00,116.17,129.0,113.5,120.01,8390
2025-12-16 05:00:00+00:00,128.0,139.88,123.525,125.0,11288
2025-12-17 05:00:00+00:00,116.0,119.0,107.88,118.11,6615
2025-12-18 05:00:00+00:00,115.91,115.91,115.91,115.91,2231
2025-12-19 05:00:00+00:00,116.85,130.0,115.16,130.0,8294
2025-12-22 05:00:00+00:00,126.26,126.26,106.0,106.0,29116
2025-12-23 05:00:00+00:00,110.0,112.5,101.25,101.25,36831
2025-12-24 05:00:00+00:00,104.5,110.05,102.2,110.0,23253
2025-12-26 05:00:00+00:00,117.95,117.95,110.0,111.85,32902
2025-12-29 05:00:00+00:00,109.5,112.0,105.0,106.8,34410
2025-12-30 05:00:00+00:00,110.0,110.0,93.25,95.25,16436
2025-12-31 05:00:00+00:00,100.0,100.0,93.25,95.0,5143
