Date,Open,High,Low,Close,Volume
2025-03-10 04:00:00+00:00,12.09,13.254,9.129,9.6,1961650.433333
2025-03-11 04:00:00+00:00,7.122,9.225,6.75,7.884,133968.633333
2025-03-12 04:00:00+00:00,7.8,9.0,7.236,7.728,61065.9
2025-03-13 04:00:00+00:00,7.497,8.07,6.618,7.68,23471.233333
2025-03-14 04:00:00+00:00,7.449,7.638,6.63,7.422,14857.4
2025-03-17 04:00:00+00:00,6.9,7.317,6.747,6.9,11280.0
2025-03-18 04:00:00+00:00,6.693,6.87,6.45,6.684,8052.333333
2025-03-19 04:00:00+00:00,6.483,6.858,6.231,6.231,10146.766667
2025-03-20 04:00:00+00:00,6.504,6.507,5.703,5.703,12856.2
2025-03-21 04:00:00+00:00,5.385,5.847,5.124,5.472,12076.3
2025-03-24 04:00:00+00:00,5.472,5.472,5.025,5.034,21048.233333
2025-03-25 04:00:00+00:00,5.07,5.07,3.753,4.845,33470.333333
2025-03-26 04:00:00+00:00,4.701,5.286,4.701,5.1,5023.233333
2025-03-27 04:00:00+00:00,4.794,4.8,4.191,4.65,7514.633333
2025-03-28 04:00:00+00:00,4.371,4.581,3.0,3.69,11996.466667
2025-03-31 04:00:00+00:00,3.69,3.927,3.423,3.753,5681.833333
2025-04-01 04:00:00+00:00,4.182,4.677,3.624,3.783,24239.733333
2025-04-02 04:00:00+00:00,3.735,4.509,3.735,3.957,18046.966667
2025-04-03 04:00:00+00:00,3.993,4.5,3.66,4.062,7684.633333
2025-04-04 04:00:00+00:00,3.819,3.906,3.453,3.531,4699.866667
2025-04-07 04:00:00+00:00,3.57,3.6,3.045,3.6,8139.066667
2025-04-08 04:00:00+00:00,3.81,4.437,3.3,3.561,16325.833333
2025-04-09 04:00:00+00:00,3.6,3.9,3.267,3.84,5410.9
2025-04-10 04:00:00+00:00,3.9,4.035,3.51,3.858,2051.633333
2025-04-11 04:00:00+00:00,3.72,4.14,3.54,3.738,3658.466667
2025-04-14 04:00:00+00:00,8.964,9.309,5.043,6.12,9930879.2
2025-04-15 04:00:00+00:00,5.241,5.886,4.812,5.337,318006.366667
2025-04-16 04:00:00+00:00,4.83,5.1,4.668,4.776,75790.866667
2025-04-17 04:00:00+00:00,4.842,4.842,4.263,4.686,41233.2
2025-04-21 04:00:00+00:00,4.509,5.49,4.509,5.331,57543.866667
2025-04-22 04:00:00+00:00,5.01,5.454,4.836,5.322,20948.033333
2025-04-23 04:00:00+00:00,5.163,5.319,4.872,4.92,16204.066667
2025-04-24 04:00:00+00:00,4.914,5.007,4.59,4.8,22873.3
2025-04-25 04:00:00+00:00,4.776,4.926,4.623,4.926,12999.4
2025-04-28 04:00:00+00:00,4.59,4.926,4.59,4.8,9862.666667
2025-04-29 04:00:00+00:00,4.8,4.929,4.665,4.8,10486.233333
2025-04-30 04:00:00+00:00,4.8,5.1,4.662,4.68,16061.8
2025-05-01 04:00:00+00:00,4.761,5.547,4.593,5.265,136425.366667
2025-05-02 04:00:00+00:00,4.95,5.001,4.665,4.95,27469.533333
2025-05-05 04:00:00+00:00,4.8,4.89,4.68,4.89,5165.4
2025-05-06 04:00:00+00:00,4.701,4.893,4.65,4.656,9272.2
2025-05-07 04:00:00+00:00,4.68,4.683,4.2,4.323,14085.266667
2025-05-08 04:00:00+00:00,4.2,4.65,4.2,4.65,15689.366667
2025-05-09 04:00:00+00:00,4.509,4.602,4.35,4.59,11616.5
2025-05-12 04:00:00+00:00,4.065,4.497,3.81,3.81,62225.266667
2025-05-13 04:00:00+00:00,3.897,3.897,3.51,3.783,20673.233333
2025-05-14 04:00:00+00:00,3.79,4.22,2.63,2.8,134135.0
2025-05-15 04:00:00+00:00,2.78,3.16,2.78,3.085,39856.0
2025-05-16 04:00:00+00:00,3.24,3.33,2.8701,3.0,17496.0
2025-05-19 04:00:00+00:00,3.03,3.68,3.0,3.55,141313.0
2025-05-20 04:00:00+00:00,3.55,3.74,3.2,3.26,49537.0
2025-05-21 04:00:00+00:00,3.47,3.63,3.0,3.06,1354636.0
2025-05-22 04:00:00+00:00,4.85,4.95,3.4,3.45,21679852.0
2025-05-23 04:00:00+00:00,3.18,3.19,2.29,2.38,508702.0
2025-05-27 04:00:00+00:00,2.43,2.95,2.4101,2.63,451860.0
2025-05-28 04:00:00+00:00,2.54,3.05,2.43,2.96,256872.0
2025-05-29 04:00:00+00:00,3.06,4.3,3.05,3.74,1174842.0
2025-05-30 04:00:00+00:00,3.44,3.8999,3.21,3.3,269807.0
2025-06-02 04:00:00+00:00,3.18,3.5601,3.15,3.27,97816.0
2025-06-03 04:00:00+00:00,3.2963,3.73,3.25,3.25,222148.0
2025-06-04 04:00:00+00:00,3.29,3.4873,3.11,3.25,63432.0
2025-06-05 04:00:00+00:00,3.16,3.1949,2.9,2.94,99253.0
2025-06-06 04:00:00+00:00,2.84,3.0707,2.71,2.73,79873.0
2025-06-09 04:00:00+00:00,2.73,2.75,2.5,2.56,55850.0
2025-06-10 04:00:00+00:00,2.7,2.87,2.59,2.68,169682.0
2025-06-11 04:00:00+00:00,2.63,2.75,2.5413,2.65,30792.0
2025-06-12 04:00:00+00:00,2.67,2.7107,2.55,2.64,44133.0
2025-06-13 04:00:00+00:00,2.61,2.6705,2.52,2.6,23813.0
2025-06-16 04:00:00+00:00,2.62,2.69,2.37,2.43,55154.0
2025-06-17 04:00:00+00:00,2.39,2.437,2.2,2.27,43788.0
2025-06-18 04:00:00+00:00,2.35,2.59,2.35,2.47,68587.0
2025-06-20 04:00:00+00:00,2.49,2.49,2.36,2.41,12964.0
2025-06-23 04:00:00+00:00,2.44,2.7,2.3272,2.69,82227.0
2025-06-24 04:00:00+00:00,2.8,3.1,2.55,2.92,347219.0
2025-06-25 04:00:00+00:00,2.77,2.8328,2.57,2.57,52438.0
2025-06-26 04:00:00+00:00,2.59,2.71,2.5215,2.61,30153.0
2025-06-27 04:00:00+00:00,2.7,2.8,2.44,2.59,52616.0
2025-06-30 04:00:00+00:00,2.5,2.5493,2.3701,2.52,29240.0
2025-07-01 04:00:00+00:00,2.45,2.4965,2.38,2.45,18767.0
2025-07-02 04:00:00+00:00,2.45,2.56,2.42,2.42,9472.0
2025-07-03 04:00:00+00:00,2.43,2.46,2.4,2.44,10621.0
2025-07-07 04:00:00+00:00,2.4,2.48,2.31,2.35,20236.0
2025-07-08 04:00:00+00:00,2.4,2.482,2.31,2.36,28723.0
2025-07-09 04:00:00+00:00,2.36,2.39,2.28,2.3706,23584.0
2025-07-10 04:00:00+00:00,2.37,2.82,2.37,2.77,134422.0
2025-07-11 04:00:00+00:00,2.69,2.78,2.6,2.68,32554.0
2025-07-14 04:00:00+00:00,2.7,2.7,2.6,2.645,2776419.0
2025-07-15 04:00:00+00:00,6.49,8.27,4.97,5.7,104318749.0
2025-07-16 04:00:00+00:00,6.0,6.18,5.08,5.78,1507299.0
2025-07-17 04:00:00+00:00,5.36,5.5,4.26,4.32,605255.0
2025-07-18 04:00:00+00:00,4.51,4.69,3.6,3.63,333513.0
2025-07-21 04:00:00+00:00,3.61,4.25,3.4502,3.99,226498.0
2025-07-22 04:00:00+00:00,3.9,4.5,3.8628,4.16,152970.0
2025-07-23 04:00:00+00:00,4.08,4.25,4.0301,4.16,71070.0
2025-07-24 04:00:00+00:00,4.08,4.2199,4.05,4.06,42154.0
