Date,Open,High,Low,Close,Volume
2024-12-02 05:00:00+00:00,1.1,1.12,1.02,1.04,53011.0
2024-12-03 05:00:00+00:00,1.02,1.0485,0.982,1.02,157954.0
2024-12-04 05:00:00+00:00,1.02,1.06,1.02,1.045,39767.0
2024-12-05 05:00:00+00:00,1.07,1.07,1.01,1.05,29768.0
2024-12-06 05:00:00+00:00,1.06,1.11,1.05,1.09,65997.0
2024-12-09 05:00:00+00:00,1.09,1.12,1.04,1.08,102237.0
2024-12-10 05:00:00+00:00,1.1,1.1086,1.02,1.065,22115.0
2024-12-11 05:00:00+00:00,1.06,1.1191,1.02,1.04,50402.0
2024-12-12 05:00:00+00:00,1.03,1.12,0.9607,1.03,249584.0
2024-12-13 05:00:00+00:00,1.03,1.03,0.9521,0.9688,50041.0
2024-12-16 05:00:00+00:00,1.01,1.03,0.9,0.9579,331706.0
2024-12-17 05:00:00+00:00,0.9292,0.9578,0.83,0.9273,167764.0
2024-12-18 05:00:00+00:00,0.87,0.97,0.8235,0.8665,248274.0
2024-12-19 05:00:00+00:00,0.9474,0.95,0.846,0.938,4736557.0
2024-12-20 05:00:00+00:00,1.06,1.28,0.8364,1.28,6832356.0
2024-12-23 05:00:00+00:00,1.25,1.25,1.1011,1.11,1287596.0
2024-12-24 05:00:00+00:00,1.13,1.2,1.06,1.15,380990.0
2024-12-26 05:00:00+00:00,1.14,1.15,0.96,0.975,1284315.0
2024-12-27 05:00:00+00:00,1.0,1.05,0.965,0.9722,749983.0
2024-12-30 05:00:00+00:00,0.9836,1.02,0.9118,0.97,614783.0
2024-12-31 05:00:00+00:00,0.9506,0.99,0.9318,0.955,172374.0
2025-01-02 05:00:00+00:00,0.978,1.07,0.965,1.07,267347.0
2025-01-03 05:00:00+00:00,1.05,1.14,1.0369,1.1,549558.0
2025-01-06 05:00:00+00:00,1.1,1.1,0.95,1.01,763708.0
2025-01-07 05:00:00+00:00,1.03,1.05,0.97,1.005,369881.0
2025-01-08 05:00:00+00:00,0.9902,1.16,0.975,1.12,660638.0
2025-01-10 05:00:00+00:00,1.09,1.1153,1.05,1.1,230539.0
2025-01-13 05:00:00+00:00,1.11,1.1139,1.04,1.1,166144.0
2025-01-14 05:00:00+00:00,1.11,1.11,1.04,1.08,105830.0
2025-01-15 05:00:00+00:00,1.1,1.1,1.0401,1.08,173533.0
2025-01-16 05:00:00+00:00,1.07,1.2167,1.05,1.14,464770.0
2025-01-17 05:00:00+00:00,1.17,1.18,1.092,1.14,164379.0
2025-01-21 05:00:00+00:00,1.17,1.2799,1.13,1.27,805930.0
2025-01-22 05:00:00+00:00,0.96,1.09,0.78,0.8901,2434120.0
2025-01-23 05:00:00+00:00,0.8929,0.94,0.794,0.8297,459651.0
2025-01-24 05:00:00+00:00,0.8327,0.8547,0.8096,0.8201,147423.0
2025-01-27 05:00:00+00:00,0.78,0.78,0.67,0.722,411440.0
2025-01-28 05:00:00+00:00,0.709,0.7499,0.709,0.7397,144949.0
2025-01-29 05:00:00+00:00,0.72,0.75,0.6926,0.7155,119190.0
2025-01-30 05:00:00+00:00,0.7299,0.7299,0.684,0.6949,166154.0
2025-01-31 05:00:00+00:00,0.684,0.7192,0.68,0.705,61845.0
2025-02-03 05:00:00+00:00,0.7016,0.705,0.6666,0.692,110473.0
2025-02-04 05:00:00+00:00,0.692,0.692,0.63,0.6553,266583.0
2025-02-05 05:00:00+00:00,0.6659,0.7182,0.645,0.6928,191190.0
2025-02-06 05:00:00+00:00,0.6974,0.7005,0.6666,0.69,92346.0
2025-02-07 05:00:00+00:00,0.69,0.7199,0.654,0.68,193045.0
2025-02-10 05:00:00+00:00,0.6844,0.69,0.6411,0.67,121235.0
2025-02-11 05:00:00+00:00,0.6584,0.67,0.6315,0.657,191854.0
2025-02-12 05:00:00+00:00,1.35,1.7,1.21,1.48,169200964.0
2025-02-13 05:00:00+00:00,1.49,1.49,1.26,1.29,16602896.0
2025-02-14 05:00:00+00:00,1.29,1.3,1.0,1.14,9348414.0
2025-02-18 05:00:00+00:00,1.15,1.18,0.97,1.11,4276318.0
2025-02-19 05:00:00+00:00,1.16,1.215,1.08,1.17,4607251.0
2025-02-20 05:00:00+00:00,1.14,1.16,1.06,1.06,3806562.0
2025-02-21 05:00:00+00:00,1.04,1.06,0.9184,0.93,3505126.0
2025-02-24 05:00:00+00:00,0.8998,0.97,0.83,0.9392,2396275.0
2025-02-25 05:00:00+00:00,0.92,0.989,0.87,0.891,1172782.0
2025-02-26 05:00:00+00:00,0.91,1.03,0.9006,0.9775,1326999.0
2025-02-27 05:00:00+00:00,0.955,0.9998,0.8901,0.8921,748374.0
2025-02-28 05:00:00+00:00,0.888,0.9238,0.88,0.906,420425.0
2025-03-03 05:00:00+00:00,0.8891,0.9799,0.81,0.905,1023110.0
2025-03-04 05:00:00+00:00,0.88,0.8887,0.835,0.8582,288605.0
2025-03-05 05:00:00+00:00,0.85,0.9339,0.85,0.9094,372739.0
2025-03-06 05:00:00+00:00,0.9,0.975,0.8913,0.9327,388933.0
2025-03-07 05:00:00+00:00,0.9357,0.9595,0.8521,0.9085,590913.0
2025-03-10 04:00:00+00:00,0.8701,0.9513,0.8306,0.8449,558310.0
2025-03-11 04:00:00+00:00,0.83,0.84,0.729,0.7925,1240038.0
2025-03-12 04:00:00+00:00,0.79,0.83,0.7607,0.825,381517.0
2025-03-13 04:00:00+00:00,0.82,0.8247,0.76,0.799,294349.0
2025-03-14 04:00:00+00:00,0.837,0.8699,0.7696,0.8002,1534466.0
2025-03-17 04:00:00+00:00,0.8,0.8243,0.78,0.8072,345035.0
2025-03-18 04:00:00+00:00,0.8078,0.8078,0.7621,0.775,338823.0
2025-03-19 04:00:00+00:00,0.797,0.8015,0.7648,0.7934,186353.0
2025-03-20 04:00:00+00:00,0.7781,0.816,0.752,0.784,181046.0
2025-03-21 04:00:00+00:00,0.784,0.79,0.7525,0.79,168621.0
2025-03-24 04:00:00+00:00,0.81,0.81,0.7407,0.7857,372145.0
2025-03-25 04:00:00+00:00,0.78,0.785,0.75,0.76,135332.0
2025-03-26 04:00:00+00:00,0.7602,0.7652,0.73,0.7329,285481.0
2025-03-27 04:00:00+00:00,0.71,0.77,0.71,0.7299,338578.0
2025-03-28 04:00:00+00:00,0.73,0.746,0.69,0.746,310159.0
2025-03-31 04:00:00+00:00,0.7401,0.7401,0.706,0.7244,178413.0
2025-04-01 04:00:00+00:00,0.7346,0.735,0.68,0.681,284518.0
2025-04-02 04:00:00+00:00,0.6806,0.74,0.68,0.7312,223452.0
2025-04-03 04:00:00+00:00,0.7093,0.75,0.7,0.7002,271083.0
2025-04-04 04:00:00+00:00,0.714,0.7299,0.67,0.6797,312491.0
2025-04-07 04:00:00+00:00,0.66,0.6871,0.62,0.6729,276185.0
2025-04-08 04:00:00+00:00,0.695,0.72,0.6426,0.6456,100448.0
2025-04-09 04:00:00+00:00,0.64,0.7,0.6322,0.68,296655.0
2025-04-10 04:00:00+00:00,0.6697,0.6797,0.651,0.6615,89094.0
2025-04-11 04:00:00+00:00,0.68,0.7154,0.6508,0.709,142488.0
2025-04-14 04:00:00+00:00,0.71,0.729,0.6931,0.7144,108412.0
2025-04-15 04:00:00+00:00,0.7,0.75,0.7,0.712,163749.0
2025-04-16 04:00:00+00:00,0.73,0.8012,0.7161,0.7579,255749.0
