Datetime,Open,High,Low,Close,Volume
2024-01-02 14:30:00+00:00,1.15,1.15,1.15,1.15,262.0
2024-01-02 14:52:00+00:00,1.08,1.08,1.08,1.08,2007.0
2024-01-02 15:00:00+00:00,1.11,1.11,1.11,1.11,2256.0
2024-01-02 15:38:00+00:00,1.1,1.1,1.0855,1.0855,1105.0
2024-01-02 15:44:00+00:00,1.1,1.1,1.1,1.1,632.0
2024-01-02 18:16:00+00:00,1.098,1.1,1.098,1.1,3680.0
2024-01-02 18:32:00+00:00,1.1198,1.1198,1.09,1.09,811.0
2024-01-02 19:38:00+00:00,1.09,1.09,1.09,1.09,400.0
2024-01-02 19:40:00+00:00,1.09,1.09,1.09,1.09,223.0
2024-01-02 19:42:00+00:00,1.082,1.088,1.082,1.082,978.0
2024-01-02 20:04:00+00:00,1.1199,1.1199,1.1199,1.1199,790.0
2024-01-02 20:52:00+00:00,1.09,1.09,1.09,1.09,191.0
2024-01-02 20:56:00+00:00,1.08,1.08,1.08,1.08,471.0
2024-01-02 21:00:00+00:00,0.9741,0.9741,0.9741,0.9741,681.0
2024-01-03 14:30:00+00:00,1.09,1.09,1.09,1.09,197.0
2024-01-03 14:46:00+00:00,1.2342,1.2342,1.2342,1.2342,221.0
2024-01-03 15:02:00+00:00,1.04,1.04,1.04,1.04,240.0
2024-01-03 15:44:00+00:00,1.05,1.05,1.05,1.05,100.0
2024-01-03 19:00:00+00:00,1.0716,1.0716,1.0716,1.0716,100.0
2024-01-03 20:58:00+00:00,1.05,1.05,1.04,1.04,284.0
2024-01-03 21:00:00+00:00,1.04,1.04,1.04,1.04,148.0
2024-01-04 00:04:00+00:00,1.07,1.07,1.07,1.07,200.0
2024-01-04 13:00:00+00:00,1.2,1.2,1.2,1.2,133.0
2024-01-04 17:10:00+00:00,1.14,1.1499,1.14,1.1499,2000.0
2024-01-04 17:46:00+00:00,1.115,1.115,1.115,1.115,135.0
2024-01-04 19:00:00+00:00,1.0901,1.0901,1.0901,1.0901,2000.0
2024-01-04 19:32:00+00:00,1.09,1.09,1.09,1.09,300.0
2024-01-04 22:10:00+00:00,1.09,1.09,1.09,1.09,141.0
2024-01-05 15:08:00+00:00,1.09,1.09,1.09,1.09,285.0
2024-01-05 15:14:00+00:00,1.1999,1.1999,1.1999,1.1999,105.0
2024-01-05 15:26:00+00:00,1.1906,1.1906,1.1906,1.1906,3001.0
2024-01-05 15:34:00+00:00,1.1999,1.1999,1.1999,1.1999,200.0
2024-01-05 16:00:00+00:00,1.2,1.2,1.19,1.2,1756.0
2024-01-05 16:02:00+00:00,1.1101,1.1101,1.1101,1.1101,1000.0
2024-01-05 16:22:00+00:00,1.1941,1.1941,1.1941,1.1941,1650.0
2024-01-05 16:26:00+00:00,1.1316,1.1316,1.1316,1.1316,190.0
2024-01-05 16:28:00+00:00,1.1489,1.1489,1.1489,1.1489,1819.0
2024-01-05 17:30:00+00:00,1.111,1.12,1.05,1.05,1100.0
2024-01-05 19:20:00+00:00,1.0884,1.0884,1.0884,1.0884,201.0
2024-01-05 19:44:00+00:00,1.09,1.09,1.09,1.09,253.0
2024-01-05 20:04:00+00:00,1.16,1.16,1.13,1.13,200.0
2024-01-05 20:22:00+00:00,1.1447,1.1447,1.1447,1.1447,200.0
2024-01-05 20:58:00+00:00,1.11,1.11,1.11,1.11,139.0
2024-01-05 22:10:00+00:00,1.11,1.11,1.11,1.11,700.0
2024-01-08 14:12:00+00:00,1.06,1.06,1.06,1.06,304.0
2024-01-08 14:30:00+00:00,1.06,1.06,1.06,1.06,1521.0
2024-01-08 14:38:00+00:00,1.05,1.05,1.05,1.05,752.0
2024-01-08 14:48:00+00:00,1.05,1.05,1.05,1.05,150.0
2024-01-08 14:50:00+00:00,1.0511,1.0511,1.0511,1.0511,200.0
2024-01-08 15:44:00+00:00,1.05,1.05,1.05,1.05,631.0
2024-01-08 16:36:00+00:00,1.05,1.05,1.0301,1.0301,7210.0
2024-01-08 18:10:00+00:00,1.049,1.05,1.0486,1.05,2637.0
2024-01-08 18:12:00+00:00,1.06,1.06,1.06,1.06,251.0
2024-01-08 18:24:00+00:00,1.03,1.03,1.03,1.03,2450.0
2024-01-08 18:32:00+00:00,1.0598,1.0598,1.0598,1.0598,123.0
2024-01-08 19:22:00+00:00,1.06,1.06,1.06,1.06,143.0
2024-01-08 19:24:00+00:00,1.05,1.05,1.05,1.05,156.0
2024-01-08 20:58:00+00:00,1.06,1.06,1.06,1.06,400.0
2024-01-08 21:00:00+00:00,1.05,1.05,1.05,1.05,253.0
2024-01-09 14:30:00+00:00,1.05,1.05,1.05,1.05,215.0
2024-01-09 15:44:00+00:00,1.115,1.115,1.115,1.115,300.0
2024-01-09 20:06:00+00:00,1.111,1.111,1.111,1.111,100.0
2024-01-10 14:48:00+00:00,1.1,1.1,1.06,1.06,1669.0
2024-01-10 14:50:00+00:00,1.15,1.15,1.15,1.15,121.0
2024-01-10 15:14:00+00:00,1.16,1.16,1.16,1.16,4478.0
2024-01-10 15:16:00+00:00,1.16,1.16,1.16,1.16,520.0
2024-01-10 15:38:00+00:00,1.0953,1.0953,1.0953,1.0953,200.0
2024-01-10 17:24:00+00:00,1.16,1.16,1.16,1.16,100.0
2024-01-10 18:10:00+00:00,1.09,1.091,1.09,1.091,479.0
2024-01-10 18:14:00+00:00,1.09,1.09,1.09,1.09,100.0
2024-01-10 18:30:00+00:00,1.14,1.14,1.14,1.14,124.0
2024-01-10 19:38:00+00:00,1.14,1.14,1.14,1.14,1245.0
2024-01-10 19:40:00+00:00,1.105,1.105,1.105,1.105,1364.0
2024-01-10 20:08:00+00:00,1.09,1.09,1.09,1.09,128.0
2024-01-10 20:50:00+00:00,1.15,1.15,1.15,1.15,779.0
2024-01-11 14:42:00+00:00,1.0451,1.0451,1.0451,1.0451,177.0
2024-01-11 14:46:00+00:00,1.06,1.06,1.05,1.05,427.0
2024-01-11 15:14:00+00:00,1.115,1.115,1.115,1.115,177.0
2024-01-11 15:24:00+00:00,1.115,1.115,1.115,1.115,400.0
2024-01-11 15:30:00+00:00,1.115,1.1999,1.115,1.1999,15037.0
2024-01-11 15:32:00+00:00,1.1999,1.2,1.115,1.18,10388.0
2024-01-11 15:34:00+00:00,1.2,1.2,1.12,1.16,2225.0
2024-01-11 15:38:00+00:00,1.13,1.13,1.13,1.13,108.0
2024-01-11 15:58:00+00:00,1.1001,1.16,1.02,1.0501,18400.0
2024-01-11 16:00:00+00:00,1.06,1.07,1.06,1.07,900.0
2024-01-11 16:24:00+00:00,1.12,1.12,1.12,1.12,100.0
2024-01-11 18:28:00+00:00,1.12,1.12,1.12,1.12,200.0
2024-01-11 18:30:00+00:00,1.12,1.12,1.12,1.12,178.0
2024-01-11 18:50:00+00:00,1.0958,1.0958,1.0901,1.0901,200.0
2024-01-11 19:06:00+00:00,1.09,1.09,1.03,1.03,1000.0
2024-01-11 20:46:00+00:00,1.0501,1.0501,1.02,1.02,1638.0
2024-01-11 20:50:00+00:00,1.0201,1.03,0.9208,0.9208,3178.0
2024-01-11 20:56:00+00:00,1.02,1.02,1.02,1.02,101.0
2024-01-12 14:30:00+00:00,1.02,1.02,1.02,1.02,841.0
2024-01-12 14:32:00+00:00,1.02,1.02,1.02,1.02,236.0
2024-01-12 15:54:00+00:00,1.04,1.04,1.04,1.04,100.0
2024-01-12 16:34:00+00:00,1.055,1.06,1.055,1.06,276.0
2024-01-12 18:16:00+00:00,1.0799,1.0799,1.0799,1.0799,400.0
2024-01-12 20:02:00+00:00,1.0401,1.0401,1.0401,1.0401,690.0
2024-01-12 20:34:00+00:00,1.06,1.06,1.06,1.06,100.0
2024-01-12 20:56:00+00:00,1.06,1.06,1.06,1.06,100.0
2024-01-12 22:00:00+00:00,1.08,1.08,1.08,1.08,211.0
2024-01-12 22:40:00+00:00,1.11,1.11,1.11,1.11,400.0
2024-01-16 14:30:00+00:00,1.05,1.05,1.05,1.05,282.0
2024-01-16 14:44:00+00:00,1.08,1.08,1.08,1.08,290.0
2024-01-16 15:00:00+00:00,1.0502,1.0502,1.05,1.05,500.0
2024-01-16 15:04:00+00:00,1.051,1.051,1.05,1.05,2795.0
2024-01-16 15:20:00+00:00,0.9413,0.9413,0.9413,0.9413,400.0
2024-01-16 15:24:00+00:00,0.9443,0.9443,0.9443,0.9443,779.0
2024-01-16 15:34:00+00:00,0.9543,0.9543,0.9454,0.9454,4574.0
2024-01-16 15:44:00+00:00,1.0498,1.0498,1.0498,1.0498,251.0
2024-01-16 18:32:00+00:00,1.05,1.05,1.05,1.05,137.0
2024-01-17 15:08:00+00:00,1.045,1.045,1.045,1.045,167.0
2024-01-17 15:22:00+00:00,1.031,1.031,1.03,1.03,400.0
2024-01-17 15:36:00+00:00,1.03,1.03,1.03,1.03,298.0
2024-01-17 15:52:00+00:00,1.03,1.03,1.03,1.03,300.0
2024-01-17 15:56:00+00:00,1.03,1.07,1.03,1.07,1000.0
2024-01-17 15:58:00+00:00,1.03,1.03,1.0,1.0001,4929.0
2024-01-17 16:00:00+00:00,1.0,1.023,1.0,1.023,4000.0
2024-01-17 16:22:00+00:00,1.0009,1.0009,1.0009,1.0009,196.0
2024-01-17 16:24:00+00:00,1.0,1.0,1.0,1.0,1000.0
2024-01-17 16:34:00+00:00,1.0,1.0,1.0,1.0,103.0
2024-01-17 16:36:00+00:00,1.0,1.0,1.0,1.0,282.0
2024-01-17 16:50:00+00:00,1.0,1.0,1.0,1.0,600.0
2024-01-17 18:42:00+00:00,1.0699,1.0699,1.0699,1.0699,194.0
2024-01-17 20:38:00+00:00,1.025,1.025,1.025,1.025,100.0
2024-01-17 20:40:00+00:00,1.025,1.025,1.0,1.0,350.0
2024-01-17 20:50:00+00:00,1.0,1.0,1.0,1.0,211.0
2024-01-17 20:52:00+00:00,1.0,1.04,1.0,1.04,2786.0
2024-01-17 20:58:00+00:00,1.05,1.05,1.05,1.05,165.0
2024-01-18 18:20:00+00:00,1.05,1.053,1.04875,1.053,1114.0
2024-01-18 18:48:00+00:00,1.05,1.05,1.05,1.05,400.0
2024-01-18 18:52:00+00:00,1.05,1.05,1.05,1.05,594.0
2024-01-18 19:30:00+00:00,1.05,1.05,1.05,1.05,101.0
2024-01-18 20:58:00+00:00,1.08,1.08,1.08,1.08,100.0
2024-01-19 14:30:00+00:00,1.05,1.05,1.05,1.05,187.0
2024-01-19 14:40:00+00:00,1.05,1.05,1.05,1.05,100.0
2024-01-19 15:18:00+00:00,1.1031,1.1031,1.1031,1.1031,100.0
2024-01-19 18:22:00+00:00,1.09,1.09,1.09,1.09,472.0
2024-01-19 19:52:00+00:00,1.08,1.08,1.08,1.08,200.0
2024-01-19 20:00:00+00:00,1.08,1.08,1.08,1.08,298.0
2024-01-19 20:02:00+00:00,1.1053,1.1053,1.1053,1.1053,100.0
2024-01-19 20:58:00+00:00,1.09,1.09,1.09,1.09,200.0
2024-01-19 21:00:00+00:00,1.09,1.09,1.09,1.09,162.0
2024-01-22 14:30:00+00:00,1.09,1.09,1.09,1.09,165.0
2024-01-22 14:40:00+00:00,1.09,1.09,1.09,1.09,100.0
2024-01-22 14:42:00+00:00,1.1086,1.1086,1.1086,1.1086,100.0
2024-01-22 14:52:00+00:00,1.09,1.09,1.09,1.09,882.0
2024-01-22 14:56:00+00:00,1.1,1.1,1.1,1.1,100.0
2024-01-22 14:58:00+00:00,1.09,1.09,1.06,1.06,2410.0
2024-01-22 15:32:00+00:00,1.06,1.06,1.06,1.06,102.0
2024-01-22 15:46:00+00:00,1.05,1.05,1.05,1.05,100.0
2024-01-22 16:04:00+00:00,1.05,1.05,1.05,1.05,100.0
2024-01-22 16:10:00+00:00,1.05,1.05,1.05,1.05,1600.0
2024-01-22 16:14:00+00:00,1.05,1.06,1.05,1.05,3200.0
2024-01-22 16:18:00+00:00,1.1013,1.1013,1.05,1.05,4800.0
2024-01-22 16:20:00+00:00,1.05,1.05,1.05,1.05,400.0
