Datetime,Open,High,Low,Close,Volume
2025-06-03 08:46:00+00:00,4.12,4.51,4.12,4.51,7057
2025-06-03 08:48:00+00:00,4.6,5.09,4.5,5.08,10755
2025-06-03 08:50:00+00:00,5.23,5.23,4.95,4.99,45262
2025-06-03 08:52:00+00:00,4.99,5.05,4.99,5.01,18686
2025-06-03 08:54:00+00:00,5.0,5.01,4.66,4.72,3283
2025-06-03 08:56:00+00:00,4.77,4.81,4.73,4.73,2215
2025-06-03 08:58:00+00:00,4.81,4.83,4.8,4.8,2074
2025-06-03 09:00:00+00:00,4.79,4.79,4.73,4.73,1008
2025-06-03 09:02:00+00:00,4.79,4.8,4.79,4.79,1397
2025-06-03 09:04:00+00:00,4.72,4.72,4.65,4.65,1233
2025-06-03 09:06:00+00:00,4.74,4.74,4.69,4.74,1415
2025-06-03 09:12:00+00:00,4.79,4.79,4.79,4.79,100
2025-06-03 09:16:00+00:00,4.7,4.7,4.7,4.7,197
2025-06-03 09:18:00+00:00,4.67,4.67,4.67,4.67,300
2025-06-03 09:20:00+00:00,4.65,4.65,4.65,4.65,596
2025-06-03 09:22:00+00:00,4.65,4.65,4.63,4.63,816
2025-06-03 09:24:00+00:00,4.57,4.57,4.57,4.57,140
2025-06-03 09:26:00+00:00,4.56,4.56,4.55,4.55,1697
2025-06-03 09:38:00+00:00,4.66,4.68,4.66,4.68,1950
2025-06-03 09:42:00+00:00,4.65,4.65,4.65,4.65,700
2025-06-03 09:46:00+00:00,4.63,4.64,4.63,4.64,750
2025-06-03 09:54:00+00:00,4.68,4.9,4.68,4.89,12213
2025-06-03 10:08:00+00:00,4.79,4.81,4.79,4.81,1000
2025-06-03 10:10:00+00:00,4.81,4.93,4.81,4.93,13045
2025-06-03 10:20:00+00:00,4.87,4.91,4.87,4.91,1499
2025-06-03 10:22:00+00:00,4.9,4.9,4.9,4.9,154
2025-06-03 10:24:00+00:00,4.9,4.9,4.9,4.9,1033
2025-06-03 10:26:00+00:00,4.91,4.91,4.9,4.9,749
2025-06-03 10:28:00+00:00,4.9,4.9,4.9,4.9,310
2025-06-03 10:32:00+00:00,4.91,4.92,4.91,4.92,400
2025-06-03 10:36:00+00:00,4.94,4.94,4.94,4.94,300
2025-06-03 10:38:00+00:00,4.94,4.94,4.92,4.92,231
2025-06-03 10:40:00+00:00,4.95,4.95,4.92,4.92,231
2025-06-03 10:42:00+00:00,4.94,4.94,4.92,4.92,295
2025-06-03 10:44:00+00:00,4.9,4.9,4.9,4.9,261
2025-06-03 10:46:00+00:00,4.9,4.94,4.9,4.92,13036
2025-06-03 10:48:00+00:00,4.9,4.95,4.9,4.94,1817
2025-06-03 10:52:00+00:00,4.91,4.91,4.9,4.9,1000
2025-06-03 11:30:00+00:00,5.5,7.18,4.95,5.87,537162
2025-06-03 11:32:00+00:00,5.84,5.88,5.24,5.62,184592
2025-06-03 11:34:00+00:00,5.55,5.66,5.4,5.64,67588
2025-06-03 11:36:00+00:00,5.6,5.64,5.4,5.48,51096
2025-06-03 11:38:00+00:00,5.46,5.63,5.44,5.58,33663
2025-06-03 11:40:00+00:00,5.58,5.75,5.46,5.57,64765
2025-06-03 11:42:00+00:00,5.53,5.6,5.38,5.55,42847
2025-06-03 11:44:00+00:00,5.55,5.59,4.87,4.89,100653
2025-06-03 11:46:00+00:00,4.88,5.07,4.77,5.07,34923
2025-06-03 11:48:00+00:00,5.04,5.04,4.69,4.9,52211
2025-06-03 11:50:00+00:00,4.92,5.1,4.92,5.1,21658
2025-06-03 11:52:00+00:00,5.07,5.07,4.94,5.05,30023
2025-06-03 11:54:00+00:00,5.03,5.19,5.03,5.19,14110
2025-06-03 11:56:00+00:00,5.17,5.17,5.03,5.05,9563
2025-06-03 11:58:00+00:00,5.04,5.09,4.95,5.08,23471
2025-06-03 12:00:00+00:00,5.3,6.6601,4.46,5.2,742348
2025-06-03 12:02:00+00:00,5.4797,6.37,4.9997,5.35,101888
2025-06-03 12:04:00+00:00,5.35,6.74,5.1,5.15,117421
2025-06-03 12:06:00+00:00,5.15,7.11,5.11,5.2,74691
2025-06-03 12:08:00+00:00,5.2,5.25,5.18,5.23,29102
2025-06-03 12:10:00+00:00,5.25,7.17,5.22,5.24,52653
2025-06-03 12:12:00+00:00,5.25,5.27,5.21,5.23,53160
2025-06-03 12:14:00+00:00,5.22,5.27,5.2,5.25,37605
2025-06-03 12:16:00+00:00,5.2502,5.28,4.95,4.95,65633
2025-06-03 12:18:00+00:00,4.94,5.1,4.84,5.08,63573
2025-06-03 12:20:00+00:00,5.03,5.08,4.99,5.0382,40017
2025-06-03 12:22:00+00:00,5.0017,5.08,5.0017,5.05,7585
2025-06-03 12:24:00+00:00,5.0401,5.22,5.0401,5.17,14741
2025-06-03 12:26:00+00:00,5.2,5.2,5.1,5.11,18792
2025-06-03 12:28:00+00:00,5.11,5.2,5.1,5.15,16573
2025-06-03 12:30:00+00:00,5.16,5.17,5.06,5.07,33346
2025-06-03 12:32:00+00:00,5.08,5.09,5.02,5.04,30388
2025-06-03 12:34:00+00:00,5.02,5.06,5.0,5.0182,16083
2025-06-03 12:36:00+00:00,5.01,5.07,4.99,5.0,33425
2025-06-03 12:38:00+00:00,5.02,5.05,4.96,4.96,31102
2025-06-03 12:40:00+00:00,4.95,4.95,4.8601,4.92,31399
2025-06-03 12:42:00+00:00,4.92,4.94,4.9,4.93,24086
2025-06-03 12:44:00+00:00,4.9398,5.0,4.9388,4.99,18020
2025-06-03 12:46:00+00:00,5.0,5.0,4.9599,4.97,7950
2025-06-03 12:48:00+00:00,4.98,5.0,4.97,4.98,29751
2025-06-03 12:50:00+00:00,4.97,4.99,4.95,4.95,7622
2025-06-03 12:52:00+00:00,4.94,4.96,4.92,4.94,11532
2025-06-03 12:54:00+00:00,4.95,4.97,4.92,4.97,4635
2025-06-03 12:56:00+00:00,4.9518,5.0,4.95,4.99,9544
2025-06-03 12:58:00+00:00,5.0,5.0,4.97,4.99,9018
2025-06-03 13:00:00+00:00,4.9718,4.99,4.97,4.97,2563
2025-06-03 13:02:00+00:00,4.9518,4.971,4.95,4.95,9813
2025-06-03 13:04:00+00:00,4.95,4.95,4.91,4.9482,8501
2025-06-03 13:06:00+00:00,4.94,4.95,4.91,4.91,4703
2025-06-03 13:08:00+00:00,4.9188,4.93,4.9112,4.93,3299
2025-06-03 13:10:00+00:00,4.9412,5.11,4.9412,5.08,26990
2025-06-03 13:12:00+00:00,5.1,5.11,4.98,5.0,28181
2025-06-03 13:14:00+00:00,5.0012,5.01,4.97,4.98,5614
2025-06-03 13:16:00+00:00,4.9712,4.98,4.92,4.92,7381
2025-06-03 13:18:00+00:00,4.92,4.95,4.9088,4.9101,5914
2025-06-03 13:20:00+00:00,4.92,4.94,4.92,4.94,2179
2025-06-03 13:22:00+00:00,4.94,4.97,4.9088,4.91,12982
2025-06-03 13:24:00+00:00,4.93,4.96,4.9,4.91,14519
2025-06-03 13:26:00+00:00,4.9,4.95,4.9,4.93,13761
2025-06-03 13:28:00+00:00,4.93,4.93,4.75,4.83,36393
2025-06-03 13:30:00+00:00,4.825,4.898,4.5,4.51,290487
2025-06-03 13:32:00+00:00,4.54,4.7188,4.54,4.61,117832
2025-06-03 13:34:00+00:00,4.62,4.6799,4.39,4.435,141675
2025-06-03 13:36:00+00:00,4.45,4.45,4.2916,4.3732,149923
2025-06-03 13:38:00+00:00,4.34,4.3799,4.19,4.19,88313
2025-06-03 13:40:00+00:00,4.21,4.3,4.16,4.285,111554
2025-06-03 13:42:00+00:00,4.29,4.43,4.2615,4.39,74808
2025-06-03 13:44:00+00:00,4.42,4.4784,4.3124,4.39,56964
2025-06-03 13:46:00+00:00,4.36,4.5,4.36,4.42,37336
2025-06-03 13:48:00+00:00,4.415,4.4999,4.4,4.455,36482
2025-06-03 13:50:00+00:00,4.45,4.48,4.3,4.3,59826
2025-06-03 13:52:00+00:00,4.33,4.33,4.26,4.2899,32543
2025-06-03 13:54:00+00:00,4.25,4.33,4.25,4.305,33883
2025-06-03 13:56:00+00:00,4.2962,4.4,4.25,4.37,28221
2025-06-03 13:58:00+00:00,4.37,4.42,4.35,4.3884,24812
2025-06-03 14:00:00+00:00,4.4,4.59,4.37,4.57,88904
2025-06-03 14:02:00+00:00,4.58,4.6,4.49,4.535,61230
2025-06-03 14:04:00+00:00,4.51,4.52,4.37,4.465,46689
2025-06-03 14:06:00+00:00,4.4799,4.485,4.4344,4.465,12337
2025-06-03 14:08:00+00:00,4.4887,4.6,4.475,4.58,30094
2025-06-03 14:10:00+00:00,4.5884,4.6,4.52,4.566,50017
2025-06-03 14:12:00+00:00,4.5744,4.65,4.5,4.5952,99396
2025-06-03 14:14:00+00:00,4.59,4.76,4.59,4.736,72614
2025-06-03 14:16:00+00:00,4.7301,4.82,4.7301,4.78,56046
2025-06-03 14:18:00+00:00,4.775,4.82,4.75,4.77,35367
2025-06-03 14:20:00+00:00,4.775,4.81,4.7501,4.79,46951
2025-06-03 14:22:00+00:00,4.79,4.825,4.74,4.77,18254
2025-06-03 14:24:00+00:00,4.7706,4.7937,4.72,4.74,20107
2025-06-03 14:26:00+00:00,4.74,4.7583,4.6494,4.684,27565
2025-06-03 14:28:00+00:00,4.7,4.74,4.68,4.6972,9214
2025-06-03 14:30:00+00:00,4.695,4.7195,4.66,4.66,8452
2025-06-03 14:32:00+00:00,4.66,4.69,4.6417,4.69,11203
2025-06-03 14:34:00+00:00,4.6805,4.79,4.6805,4.7784,31853
2025-06-03 14:36:00+00:00,4.78,5.01,4.7672,5.01,210275
2025-06-03 14:38:00+00:00,5.0193,5.03,4.97,5.0098,146916
2025-06-03 14:40:00+00:00,5.0099,5.05,4.92,4.93,113423
2025-06-03 14:42:00+00:00,4.9382,4.99,4.92,4.97,37986
2025-06-03 14:44:00+00:00,4.96,4.99,4.94,4.9895,50355
2025-06-03 14:46:00+00:00,4.97,4.97,4.94,4.97,22914
2025-06-03 14:48:00+00:00,4.953,4.955,4.83,4.865,125426
2025-06-03 14:50:00+00:00,4.88,4.9184,4.85,4.91,57886
2025-06-03 14:52:00+00:00,4.9019,5.01,4.9019,4.98,56484
2025-06-03 14:54:00+00:00,4.974,5.0,4.925,4.998,18993
2025-06-03 14:56:00+00:00,4.9807,5.02,4.965,4.97,91104
2025-06-03 14:58:00+00:00,4.97,5.0,4.94,4.98,27188
2025-06-03 15:00:00+00:00,4.9778,5.0082,4.94,4.945,34419
2025-06-03 15:02:00+00:00,4.94,4.96,4.91,4.96,26126
2025-06-03 15:04:00+00:00,4.9687,5.025,4.9687,5.015,48451
2025-06-03 15:06:00+00:00,5.0182,5.0182,4.9812,4.99,22122
2025-06-03 15:08:00+00:00,4.9981,5.0285,4.99,5.01,14030
2025-06-03 15:10:00+00:00,5.01,5.065,5.01,5.06,30848
2025-06-03 15:12:00+00:00,5.0594,5.0968,5.01,5.02,48293
2025-06-03 15:14:00+00:00,5.0499,5.06,5.0014,5.06,29195
2025-06-03 15:16:00+00:00,5.06,5.06,5.021,5.035,24081
2025-06-03 15:18:00+00:00,5.04,5.05,4.98,5.04,36530
2025-06-03 15:20:00+00:00,5.04,5.09,5.0314,5.0708,23960
2025-06-03 15:22:00+00:00,5.075,5.093,5.065,5.07,32228
2025-06-03 15:24:00+00:00,5.07,5.07,4.99,5.0202,106163
2025-06-03 15:26:00+00:00,5.02,5.08,5.01,5.03,39243
2025-06-03 15:28:00+00:00,5.06,5.07,5.0248,5.0248,34065
2025-06-03 15:30:00+00:00,5.03,5.04,5.02,5.02,13758
2025-06-03 15:32:00+00:00,5.01,5.04,4.92,4.98,43679
2025-06-03 15:34:00+00:00,4.9754,4.9754,4.945,4.9628,39684
2025-06-03 15:36:00+00:00,4.965,5.0,4.95,4.98,16994
2025-06-03 15:38:00+00:00,4.9804,5.0,4.97,4.98,14943
2025-06-03 15:40:00+00:00,4.98,4.99,4.92,4.961,58615
2025-06-03 15:42:00+00:00,4.98,5.005,4.97,5.0,24470
2025-06-03 15:44:00+00:00,5.0,5.01,4.9705,4.9982,6723
2025-06-03 15:46:00+00:00,4.995,5.05,4.995,5.01,28474
2025-06-03 15:48:00+00:00,5.05,5.15,5.0482,5.11,90710
2025-06-03 15:50:00+00:00,5.1002,5.15,5.1002,5.13,43552
2025-06-03 15:52:00+00:00,5.13,5.14,5.09,5.11,40007
2025-06-03 15:54:00+00:00,5.12,5.12,5.0811,5.0918,40138
2025-06-03 15:56:00+00:00,5.09,5.09,5.04,5.0692,15318
2025-06-03 15:58:00+00:00,5.065,5.12,5.065,5.11,10973
2025-06-03 16:00:00+00:00,5.115,5.13,5.1,5.11,16732
2025-06-03 16:02:00+00:00,5.1,5.12,5.081,5.115,8976
2025-06-03 16:04:00+00:00,5.1185,5.14,5.11,5.11,10693
2025-06-03 16:06:00+00:00,5.1287,5.1287,5.0548,5.0548,11682
2025-06-03 16:08:00+00:00,5.0586,5.1,5.02,5.0924,29655
2025-06-03 16:10:00+00:00,5.1,5.13,5.1,5.12,11948
2025-06-03 16:12:00+00:00,5.1113,5.13,5.1018,5.13,12014
2025-06-03 16:14:00+00:00,5.13,5.13,4.9918,4.9918,38598
2025-06-03 16:16:00+00:00,4.9902,5.0,4.95,4.985,22300
2025-06-03 16:18:00+00:00,4.985,5.0411,4.97,5.01,19711
2025-06-03 16:20:00+00:00,5.015,5.05,5.0,5.0494,58808
2025-06-03 16:22:00+00:00,5.04,5.06,5.03,5.06,14852
2025-06-03 16:24:00+00:00,5.0688,5.07,5.06,5.0654,3067
2025-06-03 16:26:00+00:00,5.0659,5.08,5.06,5.06,6895
2025-06-03 16:28:00+00:00,5.065,5.065,5.025,5.05,10362
2025-06-03 16:30:00+00:00,5.045,5.07,5.04,5.07,7737
2025-06-03 16:32:00+00:00,5.07,5.09,5.07,5.085,2196
2025-06-03 16:34:00+00:00,5.1,5.11,4.98,5.005,44725
2025-06-03 16:36:00+00:00,4.9919,5.015,4.95,4.97,17819
2025-06-03 16:38:00+00:00,4.9707,4.99,4.941,4.95,9896
2025-06-03 16:40:00+00:00,4.95,4.96,4.92,4.939,20306
2025-06-03 16:42:00+00:00,4.9382,5.005,4.92,4.985,25479
2025-06-03 16:44:00+00:00,4.985,5.0093,4.94,4.9782,53286
2025-06-03 16:46:00+00:00,4.97,4.97,4.93,4.9605,10331
2025-06-03 16:48:00+00:00,4.965,5.01,4.965,5.01,13024
2025-06-03 16:50:00+00:00,5.02,5.02,5.0,5.0,2055
2025-06-03 16:52:00+00:00,5.0,5.02,4.9901,5.0,2916
2025-06-03 16:54:00+00:00,4.995,4.995,4.96,4.977,4860
2025-06-03 16:56:00+00:00,4.9648,4.9648,4.94,4.95,17328
2025-06-03 16:58:00+00:00,4.96,4.96,4.92,4.9287,15926
2025-06-03 17:00:00+00:00,4.93,4.94,4.91,4.935,18045
2025-06-03 17:02:00+00:00,4.945,4.95,4.93,4.95,25917
2025-06-03 17:04:00+00:00,4.95,4.955,4.92,4.925,10285
2025-06-03 17:06:00+00:00,4.93,4.9304,4.915,4.915,2809
2025-06-03 17:08:00+00:00,4.92,4.93,4.9155,4.92,10788
2025-06-03 17:10:00+00:00,4.9201,4.95,4.9201,4.95,4416
2025-06-03 17:12:00+00:00,4.95,4.95,4.945,4.945,4764
2025-06-03 17:14:00+00:00,4.945,4.98,4.94,4.98,12393
2025-06-03 17:16:00+00:00,4.97,4.97,4.97,4.97,1254
2025-06-03 17:18:00+00:00,4.96,4.96,4.95,4.96,836
