Datetime,Open,High,Low,Close,Volume
2026-01-14 09:02:00+00:00,3.24,3.24,3.24,3.24,400
2026-01-14 09:04:00+00:00,3.24,3.24,3.24,3.24,230
2026-01-14 09:06:00+00:00,3.24,3.24,3.24,3.24,591
2026-01-14 09:08:00+00:00,3.24,3.24,3.24,3.24,300
2026-01-14 09:12:00+00:00,3.24,3.24,3.24,3.24,682
2026-01-14 09:14:00+00:00,3.24,3.24,3.24,3.24,300
2026-01-14 09:24:00+00:00,3.24,3.24,3.24,3.24,1000
2026-01-14 09:26:00+00:00,3.24,3.24,3.24,3.24,5291
2026-01-14 09:52:00+00:00,3.28,3.29,3.28,3.29,850
2026-01-14 09:54:00+00:00,3.29,3.29,3.29,3.29,800
2026-01-14 10:02:00+00:00,3.29,3.29,3.29,3.29,112
2026-01-14 10:04:00+00:00,3.29,3.29,3.29,3.29,100
2026-01-14 10:08:00+00:00,3.3,3.3,3.3,3.3,377
2026-01-14 10:14:00+00:00,3.3,3.3,3.3,3.3,215
2026-01-14 10:16:00+00:00,3.3,3.3,3.3,3.3,225
2026-01-14 10:18:00+00:00,3.3,3.3,3.3,3.3,300
2026-01-14 10:20:00+00:00,3.3,3.32,3.3,3.32,3430
2026-01-14 10:22:00+00:00,3.34,3.34,3.34,3.34,200
2026-01-14 10:24:00+00:00,3.34,3.34,3.34,3.34,202
2026-01-14 10:26:00+00:00,3.42,3.5,3.42,3.5,10013
2026-01-14 10:28:00+00:00,3.5,3.5,3.5,3.5,100
2026-01-14 10:30:00+00:00,3.5,3.5,3.5,3.5,487
2026-01-14 10:40:00+00:00,3.57,3.62,3.57,3.61,8282
2026-01-14 10:42:00+00:00,3.62,3.68,3.6,3.62,5584
2026-01-14 10:44:00+00:00,3.56,3.62,3.56,3.62,2839
2026-01-14 10:48:00+00:00,3.58,3.65,3.58,3.58,4899
2026-01-14 10:50:00+00:00,3.61,3.61,3.61,3.61,179
2026-01-14 10:52:00+00:00,3.64,3.64,3.61,3.61,337
2026-01-14 10:54:00+00:00,3.58,3.58,3.58,3.58,144
2026-01-14 10:56:00+00:00,3.61,3.62,3.61,3.62,1000
2026-01-14 10:58:00+00:00,3.59,3.6,3.59,3.6,562
2026-01-14 11:00:00+00:00,3.6,3.6,3.6,3.6,926
2026-01-14 11:02:00+00:00,3.6,3.62,3.6,3.62,550
2026-01-14 11:04:00+00:00,3.62,3.63,3.61,3.63,1681
2026-01-14 11:06:00+00:00,3.63,3.64,3.63,3.64,766
2026-01-14 11:08:00+00:00,3.64,3.65,3.64,3.65,260
2026-01-14 11:12:00+00:00,3.68,3.68,3.68,3.68,329
2026-01-14 11:16:00+00:00,3.69,3.71,3.69,3.7,1552
2026-01-14 11:18:00+00:00,3.69,3.71,3.69,3.71,235
2026-01-14 11:20:00+00:00,3.71,3.79,3.71,3.79,8429
2026-01-14 11:22:00+00:00,3.78,3.8,3.78,3.8,1587
2026-01-14 11:24:00+00:00,3.82,3.83,3.67,3.67,4967
2026-01-14 11:26:00+00:00,3.7,3.75,3.66,3.66,2444
2026-01-14 11:28:00+00:00,3.66,3.66,3.56,3.6,6118
2026-01-14 11:30:00+00:00,3.63,3.63,3.63,3.63,397
2026-01-14 11:34:00+00:00,3.63,3.63,3.6,3.6,1280
2026-01-14 11:38:00+00:00,3.6,3.6,3.5,3.5,5869
2026-01-14 11:40:00+00:00,3.54,3.55,3.54,3.55,340
2026-01-14 11:42:00+00:00,3.56,3.56,3.56,3.56,205
2026-01-14 11:44:00+00:00,3.555,3.555,3.55,3.55,325
2026-01-14 11:46:00+00:00,3.555,3.56,3.55,3.56,1891
2026-01-14 11:48:00+00:00,3.61,3.61,3.61,3.61,301
2026-01-14 11:50:00+00:00,3.61,3.63,3.61,3.62,1075
2026-01-14 11:52:00+00:00,3.68,3.7,3.68,3.7,315
2026-01-14 11:54:00+00:00,3.7,3.73,3.7,3.7,2986
2026-01-14 11:56:00+00:00,3.69,3.69,3.69,3.69,240
2026-01-14 11:58:00+00:00,3.69,3.69,3.67,3.67,1935
2026-01-14 12:00:00+00:00,3.65,3.65,3.63,3.63,2382
2026-01-14 12:02:00+00:00,3.62,3.62,3.61,3.61,1204
2026-01-14 12:06:00+00:00,3.65,3.65,3.61,3.61,6474
2026-01-14 12:08:00+00:00,3.62,3.62,3.62,3.62,3024
2026-01-14 12:12:00+00:00,3.62,3.62,3.62,3.62,500
2026-01-14 12:14:00+00:00,3.56,3.56,3.545,3.55,655
2026-01-14 12:28:00+00:00,3.65,3.65,3.65,3.65,4335
2026-01-14 12:34:00+00:00,3.59,3.59,3.59,3.59,528
2026-01-14 12:42:00+00:00,3.54,3.54,3.44,3.44,3225
2026-01-14 12:44:00+00:00,3.48,3.48,3.43,3.43,500
2026-01-14 12:46:00+00:00,3.44,3.52,3.44,3.52,3456
2026-01-14 12:48:00+00:00,3.6,3.65,3.6,3.65,2510
2026-01-14 12:50:00+00:00,3.63,3.65,3.55,3.58,956
2026-01-14 12:56:00+00:00,3.58,3.58,3.54,3.54,216
2026-01-14 13:00:00+00:00,3.2306,3.84,3.2306,3.52,84168
2026-01-14 13:02:00+00:00,3.3,3.7599,3.3,3.5,4030
2026-01-14 13:04:00+00:00,3.27,3.51,3.27,3.48,1219
2026-01-14 13:06:00+00:00,3.48,3.51,3.48,3.51,1497
2026-01-14 13:08:00+00:00,3.51,3.52,3.51,3.52,741
2026-01-14 13:12:00+00:00,3.56,3.57,3.56,3.57,375
2026-01-14 13:14:00+00:00,3.5981,3.5981,3.5981,3.5981,100
2026-01-14 13:16:00+00:00,3.59,3.61,3.59,3.6,1077
2026-01-14 13:18:00+00:00,3.59,3.61,3.59,3.61,1308
2026-01-14 13:20:00+00:00,3.57,3.57,3.55,3.55,2523
2026-01-14 13:22:00+00:00,3.57,3.57,3.57,3.57,111
2026-01-14 13:24:00+00:00,3.57,3.58,3.57,3.58,1212
2026-01-14 13:26:00+00:00,3.57,3.58,3.57,3.58,1730
2026-01-14 13:28:00+00:00,3.58,3.61,3.58,3.61,1493
2026-01-14 13:30:00+00:00,3.61,3.63,3.61,3.63,2490
2026-01-14 13:32:00+00:00,3.65,3.65,3.65,3.65,430
2026-01-14 13:34:00+00:00,3.6,3.6,3.57,3.58,3340
2026-01-14 13:36:00+00:00,3.59,3.63,3.59,3.63,1576
2026-01-14 13:40:00+00:00,3.64,3.64,3.64,3.64,980
2026-01-14 13:42:00+00:00,3.64,3.64,3.64,3.64,200
2026-01-14 13:44:00+00:00,3.67,3.67,3.67,3.67,350
2026-01-14 13:46:00+00:00,3.65,3.65,3.6207,3.6207,796
2026-01-14 13:48:00+00:00,3.61,3.64,3.61,3.64,509
2026-01-14 13:50:00+00:00,3.64,3.64,3.62,3.64,1546
2026-01-14 13:52:00+00:00,3.61,3.61,3.61,3.61,685
2026-01-14 13:54:00+00:00,3.61,3.6101,3.61,3.61,1515
2026-01-14 13:58:00+00:00,3.63,3.66,3.63,3.66,2184
2026-01-14 14:00:00+00:00,3.63,3.63,3.62,3.62,3150
2026-01-14 14:02:00+00:00,3.65,3.65,3.65,3.65,525
2026-01-14 14:04:00+00:00,3.65,3.69,3.65,3.69,989
2026-01-14 14:08:00+00:00,3.72,3.72,3.7,3.7,2403
2026-01-14 14:10:00+00:00,3.6231,3.64,3.6231,3.64,3389
2026-01-14 14:12:00+00:00,3.68,3.69,3.68,3.68,1189
2026-01-14 14:14:00+00:00,3.7,3.72,3.69,3.69,1813
2026-01-14 14:16:00+00:00,3.69,3.71,3.6613,3.71,2660
2026-01-14 14:18:00+00:00,3.67,3.67,3.67,3.67,500
